Relatório de Composição de Garantias;;;
Data de Emissão: 21/05/2019 17:58;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Não Informado;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Estatístico;;;
Data de Referência: 30/04/2019;;;
Tipo de Composição: Credor;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Garantia Total;255.756.888.512,90;;100%
Externa;142.572.622.786,18;100%;55,75%
Organismos Multilaterais;124.085.909.991,81;87,03%;48,52%
BIRD;61.297.608.061,48;42,99%;23,97%
BID;55.907.444.901,60;39,21%;21,86%
CAF;5.210.570.824,69;3,65%;2,04%
BEI;883.983.918,00;0,62%;0,35%
FIDA;407.193.842,71;0,29%;0,16%
FONPLATA;270.894.500,59;0,19%;0,11%
NIB;108.213.942,74;0,08%;0,04%
NDB;0;0%;0%
Credores Privados;10.576.688.009,32;7,42%;4,14%
CREDIT SUISSE;4.509.477.900,00;3,16%;1,76%
BOFA;4.223.813.884,09;2,96%;1,65%
Santander;986.522.265,00;0,69%;0,39%
SMBC;327.566.574,00;0,23%;0,13%
BB Viena;236.718.000,00;0,17%;0,09%
UniCredit;162.834.134,64;0,11%;0,06%
BBVA;129.755.251,59;0,09%;0,05%
Agências Governamentais;7.910.024.785,05;5,55%;3,09%
AFD;4.689.923.057,59;3,29%;1,83%
JICA;2.626.967.277,66;1,84%;1,03%
KFW;517.619.169,94;0,36%;0,20%
JBIC;75.515.279,87;0,05%;0,03%
Interna;113.184.265.726,72;100%;44,25%
Bancos Federais;108.509.529.441,90;95,87%;42,43%
BB;45.691.625.368,80;40,37%;17,87%
BNDES;42.425.100.513,48;37,48%;16,59%
CAIXA;19.949.982.675,79;17,63%;7,80%
BNB;442.820.883,82;0,39%;0,17%
Credores Privados;4.674.736.284,82;4,13%;1,83%
BNP Int;3.095.610.396,28;2,74%;1,21%
CREDIT SUISSE-BRASIL;1.199.125.888,54;1,06%;0,47%
SANTANDER BR;380.000.000,00;0,34%;0,15%
