Relatório de Composição de Garantias;;;
Data de Emissão: 22/05/2019 16:32;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Mutuário(s) Específico(s);;;
Nome: Rio de Janeiro;;;
Classificação: Estados;;;
Esfera de Governo: Estadual;;;
Unidade Federativa: Rio de Janeiro;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Estatístico;;;
Data de Referência: 30/04/2019;;;
Tipo de Composição: Credor;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Garantia Total;36.966.246.894,27;;100%
Interna;23.785.480.957,40;100%;64,34%
Bancos Federais;19.490.744.672,58;81,94%;52,73%
BB;10.887.641.145,26;45,77%;29,45%
BNDES;6.785.891.858,39;28,53%;18,36%
CAIXA;1.817.211.668,93;7,64%;4,92%
Credores Privados;4.294.736.284,82;18,06%;11,62%
BNP Int;3.095.610.396,28;13,01%;8,37%
CREDIT SUISSE-BRASIL;1.199.125.888,54;5,04%;3,24%
Externa;13.180.765.936,87;100%;35,66%
Organismos Multilaterais;11.741.076.650,62;89,08%;31,76%
BIRD;9.279.484.098,26;70,40%;25,10%
CAF;1.637.961.198,46;12,43%;4,43%
BID;823.631.353,90;6,25%;2,23%
Agências Governamentais;1.439.689.286,25;10,92%;3,89%
AFD;1.439.689.286,25;10,92%;3,89%
