Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 21/05/2019 15:59;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2019;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
AFD CBR 1031;AFDB1031;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,78%;2.716.316,54;34.610,40;2.750.926,94;3.043.089,42;38.774,03;3.081.863,45;12.005.900,69;152.975,18;12.158.875,87
AFD CBR 1031;AFDB1031;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,36%;2.700.000,00;16.830,00;2.716.830,00;3.024.810,00;18.854,65;3.043.664,65;11.933.782,89;74.387,25;12.008.170,14
AFD CBR 1031;AFDB1031;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,21%;3.100.383,44;17.194,21;3.117.577,65;3.473.359,57;19.262,67;3.492.622,24;13.703.445,50;75.997,03;13.779.442,53
AFD CBR 1042;TA621694;12246;Externa;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;243.275.000,00;0;243.275.000,00;243.275.000,00;0;243.275.000,00;959.792.857,50;0;959.792.857,50
AFD CBR 1042;TA621694;12246;Externa;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,09%;121.637.500,00;0;121.637.500,00;121.637.500,00;0;121.637.500,00;479.896.428,75;0;479.896.428,75
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,24%;17.521.421,64;183.663,44;17.705.085,08;17.521.421,64;183.663,44;17.705.085,08;69.127.264,80;724.607,37;69.851.872,17
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,95%;7.124.668,69;87.188,13;7.211.856,82;7.124.668,69;87.188,13;7.211.856,82;28.108.955,38;343.983,33;28.452.938,71
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,94%;7.000.000,00;85.489,44;7.085.489,44;7.000.000,00;85.489,44;7.085.489,44;27.617.100,00;337.281,49;27.954.381,49
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;4.480.043,73;47.071,57;4.527.115,30;4.480.043,73;47.071,57;4.527.115,30;17.675.116,53;185.711,47;17.860.827,99
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,39%;7.828.947,37;84.968,00;7.913.915,37;7.828.947,37;84.968,00;7.913.915,37;30.887.546,06;335.224,25;31.222.770,31
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;5,09%;9.058.142,56;113.984,14;9.172.126,70;9.058.142,56;113.984,14;9.172.126,70;35.737.089,84;449.701,63;36.186.791,47
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,33%;24.419.622,40;93.988,41;24.513.610,81;24.419.622,40;93.988,41;24.513.610,81;96.342.736,25;370.812,47;96.713.548,73
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,02%;21.335.163,83;76.237,65;21.411.401,48;21.335.163,83;76.237,65;21.411.401,48;84.173.621,86;300.780,40;84.474.402,26
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,81%;11.748.035,58;50.229,38;11.798.264,96;11.748.035,58;50.229,38;11.798.264,96;46.349.524,77;198.169,97;46.547.694,75
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,70%;12.739.330,92;53.222,09;12.792.553,01;12.739.330,92;53.222,09;12.792.553,01;50.260.482,28;209.977,11;50.470.459,39
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;7.504.566,10;28.350,58;7.532.916,68;7.504.566,10;28.350,58;7.532.916,68;29.607.764,63;111.851,54;29.719.616,18
AFD CBR 1046;AFD10460;12247;Externa;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,21%;280.000.000,00;3.695.066,67;283.695.066,67;313.684.000,00;4.139.583,19;317.823.583,19;1.237.577.485,20;16.331.897,56;1.253.909.382,76
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,38%;50.000.000,00;49.583,33;50.049.583,33;56.015.000,00;55.548,20;56.070.548,20;220.995.979,50;219.154,33;221.215.133,83
AFD CBR 1049;AFD01049;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,27%;30.000.000,00;28.375,00;30.028.375,00;33.609.000,00;31.788,51;33.640.788,51;132.597.587,70;125.415,22;132.723.002,92
