Relatório de Percentual Vincendo Garantias;;;;;;;;;;;;;;
Data de Emissão: 21/05/2019 17:35;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;
Data de Referência: 30/04/2019;;;;;;;;;;;;;;
Data Inicial: 01/05/2019;;;;;;;;;;;;;;
Data Final: 01/01/2100;;;;;;;;;;;;;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;;;;;;;;;;;;;
Cenário: Não Informado;;;;;;;;;;;;;;
Tipo de Cálculo: Valor Corrente;;;;;;;;;;;;;;
Tipo Percentual Vincendo: Tipo de Mutuário;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%)
Garantia Total;32386982052;8,81%;35642936127;9,69%;30843449493;8,39%;29379622371;7,99%;26609161480;7,24%;2,12811E+11;57,88%;3,67673E+11;100%
Estados;23298838775;8,03%;27195441404;9,37%;22808589436;7,86%;22248788321;7,67%;20444120778;7,04%;1,74257E+11;60,04%;2,90252E+11;100%
Acre;235984573,9;6,34%;238800408,1;6,42%;239959488,1;6,45%;242364879,6;6,51%;226251427,2;6,08%;2536817999;68,19%;3720178776;100%
Alagoas;232580741,3;6,45%;225400077,7;6,25%;229361274,6;6,36%;246335258,3;6,84%;240427905,7;6,67%;2429881406;67,42%;3603986664;100%
Amapá;209184270,4;8,90%;200603396,2;8,53%;193770725,7;8,24%;186141779,1;7,92%;179202677,3;7,62%;1382048349;58,79%;2350951198;100%
Amazonas;658495487,2;8,92%;627477163;8,50%;607596191,8;8,23%;587814727,5;7,96%;567548411,3;7,68%;4337315447;58,72%;7386247428;100%
Bahia;1390168350;7,08%;1401787640;7,14%;1381265698;7,04%;1452121345;7,40%;1400269141;7,13%;12606204006;64,21%;19631816180;100%
Ceará;1043278731;7,28%;1001603114;6,99%;1023032890;7,14%;1075742408;7,50%;1050771848;7,33%;9142819900;63,77%;14337248890;100%
Distrito Federal;335960715,4;11,00%;343648655,6;11,25%;332451952,9;10,88%;302907601,5;9,92%;281155637,6;9,20%;1458821914;47,75%;3054946477;100%
Espírito Santo;472591832;6,53%;545767603;7,54%;528786346,6;7,31%;518768959;7,17%;506680360,6;7,00%;4665478803;64,46%;7238073905;100%
Goiás;1220379400;9,10%;1236760870;9,22%;1205449200;8,99%;1171867870;8,74%;1140161466;8,50%;7432788958;55,44%;13407407763;100%
Maranhão;859795030,9;12,49%;858734490,5;12,47%;871906475,2;12,66%;908652552,8;13,20%;670991774,6;9,75%;2715077875;39,43%;6885158199;100%
Mato Grosso;674693165,5;15,98%;667732839,5;15,81%;680933413,4;16,12%;513602392,7;12,16%;266943398,9;6,32%;1419288618;33,61%;4223193828;100%
Mato Grosso do Sul;201045589,5;7,04%;280726458,5;9,83%;277285883,2;9,71%;276913904,4;9,70%;188008069,4;6,58%;1631415269;57,13%;2855395174;100%
Minas Gerais;2885472364;8,81%;2798675599;8,55%;2729527193;8,34%;2656237608;8,11%;2527309242;7,72%;19144907249;58,47%;32742129256;100%
Paraná;294935136,3;7,09%;306546434,9;7,37%;337877822,6;8,13%;381651805;9,18%;321016710,6;7,72%;2515694152;60,51%;4157722061;100%
Paraíba;200226449,2;9,10%;193249534,5;8,78%;198708766,2;9,03%;199408772,4;9,06%;153061334,3;6,95%;1256339577;57,08%;2200994434;100%
