Relatório de Custo Médio de Garantias;;
Data de Emissão: 21/05/2019 17:17;;
Tipo de Dívida: Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Estatístico;;
Data de Referência: 30/04/2019;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;16,13%;142.572.622.786,18
Estados;16,33%;106.329.467.789,68
São Paulo;14,73%;23.448.520.681,82
Rio de Janeiro;17,54%;13.180.765.936,87
Minas Gerais;15,83%;13.051.271.843,07
Bahia;16,95%;9.685.772.229,33
Rio Grande do Sul;15,71%;8.529.260.733,43
Pernambuco;17,27%;7.615.259.604,27
Ceará;15,80%;5.600.889.975,66
Amazonas;17,39%;3.706.544.699,59
Santa Catarina;17,84%;3.451.190.928,16
Piauí;16,72%;2.356.552.873,42
Paraná;16,16%;1.940.938.892,57
Acre;17,31%;1.863.134.775,64
Maranhão;19,63%;1.664.719.865,92
Alagoas;17,23%;1.633.519.040,63
Mato Grosso do Sul;17,10%;1.272.427.931,36
Espírito Santo;17,23%;1.152.402.551,61
Tocantins;15,04%;1.131.599.675,53
Mato Grosso;19,10%;1.036.123.025,38
Pará;16,01%;917.219.614,24
Distrito Federal;17,68%;894.167.286,81
Sergipe;16,36%;890.704.173,57
Rio Grande do Norte;17,51%;864.439.560,03
Paraíba;14,69%;377.371.584,34
Goiás;17,44%;41.151.319,52
Rondônia;17,44%;22.298.069,11
Amapá;17,13%;1.220.917,82
Municípios;16,83%;13.648.519.616,64
Rio de Janeiro;16,94%;4.652.486.644,35
Belo Horizonte;17,94%;1.264.717.255,19
São Bernardo do Campo;17,85%;1.019.905.146,28
Manaus;17,44%;931.107.701,15
Fortaleza;17,93%;900.554.307,48
São Paulo;17,38%;414.742.890,67
Curitiba;5,52%;396.510.511,42
Recife;17,27%;381.723.366,00
Porto Alegre;18,05%;379.339.095,00
Niterói;18,33%;229.650.184,90
Belém;17,44%;221.035.455,74
São José dos Campos;17,44%;194.217.466,98
Goiânia;17,44%;180.153.030,82
Canoas;19,36%;164.387.499,97
Blumenau;17,44%;160.442.016,79
Florianópolis;18,00%;158.400.118,61
Campo Grande;17,80%;150.503.844,88
Teresina;15,70%;144.694.859,17
Salvador;4,22%;118.810.749,24
Joinville;17,92%;116.388.475,65
Aparecida de Goiânia;19,36%;109.317.687,57
Vitória;17,44%;105.227.161,19
Taubaté;18,62%;100.236.564,92
Cascavel;17,44%;92.325.074,99
Aracaju;17,44%;83.133.196,42
São Luís;16,69%;81.317.113,52
Caxias do Sul;15,78%;77.764.860,17
Santos;16,72%;73.437.361,36
Hortolândia;17,12%;66.703.178,85
Toledo;2,12%;57.896.681,71
Novo Hamburgo;17,44%;51.790.648,58
Paranaguá;17,44%;49.162.275,36
Corumbá;19,60%;37.756.887,12
Chapecó;19,62%;36.861.454,62
Colatina;17,44%;36.182.168,13
Maringá;7,12%;32.120.586,09
Pelotas;16,44%;31.187.355,24
Passo Fundo;17,44%;30.828.682,46
Belford Roxo;17,44%;29.966.718,52
Alagoinhas;18,85%;29.699.232,08
Santa Maria;17,09%;27.775.469,67
Catanduva;17,44%;27.467.869,03
Uberaba;16,46%;26.268.450,44
Ponta Grossa;17,44%;23.603.504,92
Cachoeirinha;19,36%;23.031.028,83
Itajaí;4,35%;20.704.126,95
Betim;16,91%;20.490.494,76
Caucaia;2,80%;16.604.702,75
Campinas;18,42%;15.480.128,08
Bagé;16,46%;15.430.022,50
Rio Grande;17,17%;14.226.326,54
Sobral;5,20%;10.221.554,26
Sorocaba;2,09%;6.941.999,96
Uruguaiana;17,84%;6.404.720,40
Santo André;3,95%;1.183.708,36
Bancos Federais;17,33%;12.888.589.777,86
BNDES;17,36%;12.266.210.472,61
Banco do Nordeste;16,57%;560.124.793,22
CAIXA;17,40%;62.254.512,03
Entidades Estaduais Controladas;11,98%;7.473.374.051,92
SABESP-SP;11,66%;4.728.532.121,63
CEEE-D-RS;17,88%;770.786.142,53
CEEE-GT-RS;16,90%;537.089.260,82
CELESC-SC;2,46%;315.934.223,08
CAESB-DF;17,44%;303.830.120,84
COPASA-MG;-5,86%;245.551.088,18
CAGECE-CE;18,34%;212.507.385,57
DAEE-SP;7,30%;141.751.314,69
CASAN-SC;3,10%;130.722.616,06
SANEAGO-GO;18,22%;86.441.623,33
CEMIG-MG;-6,13%;228.155,19
Estatais Federais;9,26%;2.231.908.844,43
FINEP;6,77%;1.178.349.579,60
ELETROBRÁS;8,92%;666.378.297,36
Furnas Centrais Elétricas;17,44%;387.180.967,46
Empresas Privatizadas;-5,93%;762.705,66
CELPE-PE;-5,93%;762.705,66
