Relatório de Custo Médio de Garantias;;
Data de Emissão: 21/05/2019 17:10;;
Tipo de Dívida: Interna;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Estatístico;;
Data de Referência: 30/04/2019;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;11,29%;113.184.265.726,72
Estados;12,34%;91.303.017.898,05
Rio de Janeiro;14,66%;23.785.480.957,40
Minas Gerais;18,52%;9.550.095.590,51
Goiás;10,43%;8.986.467.264,77
São Paulo;17,04%;8.555.848.181,55
Santa Catarina;10,21%;6.743.333.482,69
Bahia;13,20%;3.738.936.862,36
Espírito Santo;5,83%;3.690.686.176,06
Maranhão;7,12%;3.244.489.185,41
Ceará;7,15%;2.919.506.979,73
Mato Grosso;8,54%;1.992.156.739,99
Pernambuco;7,58%;1.657.559.588,43
Amazonas;8,06%;1.623.898.092,33
Piauí;13,79%;1.612.702.458,44
Amapá;7,04%;1.555.695.572,52
Rio Grande do Sul;7,23%;1.437.308.198,96
Distrito Federal;14,83%;1.272.736.979,17
Tocantins;14,12%;1.238.816.564,76
Pará;7,21%;1.190.857.195,65
Paraíba;7,28%;1.034.099.804,21
Paraná;7,41%;941.850.840,11
Alagoas;6,42%;817.705.073,31
Mato Grosso do Sul;7,30%;758.305.884,84
Roraima;7,02%;745.488.477,03
Sergipe;7,10%;684.117.097,49
Acre;7,43%;623.660.614,46
Rio Grande do Norte;7,92%;568.305.913,43
Rondônia;7,20%;332.908.122,45
Estatais Federais;6,72%;12.094.243.257,17
FINEP;6,84%;5.072.570.847,49
ELETROBRÁS;7,78%;3.772.580.000,29
ELETRONUCLEAR;5,29%;3.249.092.409,39
Bancos Federais;6,69%;5.854.656.309,42
CAIXA;6,68%;5.704.115.493,89
Banco do Brasil;7,20%;150.540.815,53
Municípios;7,47%;3.804.668.773,23
Rio de Janeiro;7,80%;2.341.727.295,07
Mauá;8,47%;531.680.199,47
Natal;6,08%;206.278.208,23
Fortaleza;6,78%;169.761.608,05
Porto Alegre;8,21%;147.989.344,50
São Paulo;5,32%;130.000.000,00
Manaus;2,43%;100.000.000,00
Ribeirão Preto;6,53%;89.964.853,22
Sete Lagoas;6,08%;43.052.874,24
Curitiba;8,22%;24.614.390,45
Rio Branco;3,26%;14.500.000,00
Teresina;0,29%;5.100.000,00
Entidades Estaduais Controladas;15,72%;127.679.488,84
CESP-SP;15,72%;127.679.488,84
