Relatório de Custo Médio de Garantias;;
Data de Emissão: 21/05/2019 17:02;;
Tipo de Dívida: Interna - Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Estatístico;;
Data de Referência: 30/04/2019;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;13,99%;255.756.888.512,90
Estados;14,49%;197.632.485.687,73
Rio de Janeiro;15,69%;36.966.246.894,27
São Paulo;15,35%;32.004.368.863,37
Minas Gerais;16,97%;22.601.367.433,58
Bahia;15,91%;13.424.709.091,69
Santa Catarina;12,79%;10.194.524.410,85
Rio Grande do Sul;14,49%;9.966.568.932,39
Pernambuco;15,54%;9.272.819.192,70
Goiás;10,46%;9.027.618.584,29
Ceará;12,84%;8.520.396.955,39
Amazonas;14,54%;5.330.442.791,92
Maranhão;11,37%;4.909.209.051,33
Espírito Santo;8,54%;4.843.088.727,67
Piauí;15,53%;3.969.255.331,86
Mato Grosso;12,15%;3.028.279.765,37
Paraná;13,30%;2.882.789.732,68
Acre;14,83%;2.486.795.390,10
Alagoas;13,63%;2.451.224.113,94
Tocantins;14,56%;2.370.416.240,29
Distrito Federal;16,00%;2.166.904.265,98
Pará;11,04%;2.108.076.809,89
Mato Grosso do Sul;13,44%;2.030.733.816,20
Sergipe;12,34%;1.574.821.271,06
Amapá;7,05%;1.556.916.490,34
Rio Grande do Norte;13,71%;1.432.745.473,46
Paraíba;9,26%;1.411.471.388,55
Roraima;7,02%;745.488.477,03
Rondônia;7,84%;355.206.191,56
Bancos Federais;14,00%;18.743.246.087,28
BNDES;17,36%;12.266.210.472,61
CAIXA;6,79%;5.766.370.005,92
Banco do Nordeste;16,57%;560.124.793,22
Banco do Brasil;7,20%;150.540.815,53
Municípios;14,79%;17.453.188.389,87
Rio de Janeiro;13,88%;6.994.213.939,43
Belo Horizonte;17,94%;1.264.717.255,19
Fortaleza;16,16%;1.070.315.915,53
Manaus;15,98%;1.031.107.701,15
São Bernardo do Campo;17,85%;1.019.905.146,28
São Paulo;14,50%;544.742.890,67
Mauá;8,47%;531.680.199,47
Porto Alegre;15,29%;527.328.439,50
Curitiba;5,68%;421.124.901,87
Recife;17,27%;381.723.366,00
Niterói;18,33%;229.650.184,90
Belém;17,44%;221.035.455,74
Natal;6,08%;206.278.208,23
São José dos Campos;17,44%;194.217.466,98
Goiânia;17,44%;180.153.030,82
Canoas;19,36%;164.387.499,97
Blumenau;17,44%;160.442.016,79
Florianópolis;18,00%;158.400.118,61
Campo Grande;17,80%;150.503.844,88
Teresina;15,18%;149.794.859,17
Salvador;4,22%;118.810.749,24
Joinville;17,92%;116.388.475,65
Aparecida de Goiânia;19,36%;109.317.687,57
Vitória;17,44%;105.227.161,19
Taubaté;18,62%;100.236.564,92
Cascavel;17,44%;92.325.074,99
Ribeirão Preto;6,53%;89.964.853,22
Aracaju;17,44%;83.133.196,42
São Luís;16,69%;81.317.113,52
Caxias do Sul;15,78%;77.764.860,17
Santos;16,72%;73.437.361,36
Hortolândia;17,12%;66.703.178,85
Toledo;2,12%;57.896.681,71
Novo Hamburgo;17,44%;51.790.648,58
Paranaguá;17,44%;49.162.275,36
Sete Lagoas;6,08%;43.052.874,24
Corumbá;19,60%;37.756.887,12
Chapecó;19,62%;36.861.454,62
Colatina;17,44%;36.182.168,13
Maringá;7,12%;32.120.586,09
Pelotas;16,44%;31.187.355,24
Passo Fundo;17,44%;30.828.682,46
Belford Roxo;17,44%;29.966.718,52
Alagoinhas;18,85%;29.699.232,08
Santa Maria;17,09%;27.775.469,67
Catanduva;17,44%;27.467.869,03
Uberaba;16,46%;26.268.450,44
Ponta Grossa;17,44%;23.603.504,92
Cachoeirinha;19,36%;23.031.028,83
Itajaí;4,35%;20.704.126,95
Betim;16,91%;20.490.494,76
Caucaia;2,80%;16.604.702,75
Campinas;18,42%;15.480.128,08
Bagé;16,46%;15.430.022,50
Rio Branco;3,26%;14.500.000,00
Rio Grande;17,17%;14.226.326,54
Sobral;5,20%;10.221.554,26
Sorocaba;2,09%;6.941.999,96
Uruguaiana;17,84%;6.404.720,40
Santo André;3,95%;1.183.708,36
Estatais Federais;7,11%;14.326.152.101,60
FINEP;6,83%;6.250.920.427,09
ELETROBRÁS;7,95%;4.438.958.297,65
ELETRONUCLEAR;5,29%;3.249.092.409,39
Furnas Centrais Elétricas;17,44%;387.180.967,46
Entidades Estaduais Controladas;12,04%;7.601.053.540,77
SABESP-SP;11,66%;4.728.532.121,63
CEEE-D-RS;17,88%;770.786.142,53
CEEE-GT-RS;16,90%;537.089.260,82
CELESC-SC;2,46%;315.934.223,08
CAESB-DF;17,44%;303.830.120,84
COPASA-MG;-5,86%;245.551.088,18
CAGECE-CE;18,34%;212.507.385,57
DAEE-SP;7,30%;141.751.314,69
CASAN-SC;3,10%;130.722.616,06
CESP-SP;15,72%;127.679.488,84
SANEAGO-GO;18,22%;86.441.623,33
CEMIG-MG;-6,13%;228.155,19
Empresas Privatizadas;-5,93%;762.705,66
CELPE-PE;-5,93%;762.705,66
