Relatório de Composição de Garantias;;;
Data de Emissão: 15/01/2020 11:07;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Não Informado;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Diário;;;
Data de Referência: 31/12/2019;;;
Tipo de Composição: Credor;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Garantia Total;255.917.889.078,98;;100%
Externa;146.620.132.972,74;100%;57,29%
Organismos Multilaterais;129.775.632.385,03;88,51%;50,71%
BIRD;63.214.637.517,20;43,11%;24,70%
BID;59.446.529.781,34;40,54%;23,23%
CAF;5.416.179.570,61;3,69%;2,12%
BEI;906.101.360,00;0,62%;0,35%
FIDA;413.193.896,55;0,28%;0,16%
FONPLATA;300.622.785,82;0,21%;0,12%
NIB;55.278.171,29;0,04%;0,02%
NDB;23.089.302,22;0,02%;0,01%
Credores Privados;9.076.949.412,78;6,19%;3,55%
CREDIT SUISSE;4.607.090.100,00;3,14%;1,80%
BOFA;2.797.759.151,49;1,91%;1,09%
Santander;940.765.380,00;0,64%;0,37%
SMBC;271.073.239,57;0,18%;0,11%
BB Viena;217.657.800,00;0,15%;0,09%
UniCredit;124.769.132,87;0,09%;0,05%
BBVA;117.834.608,85;0,08%;0,05%
Agências Governamentais;7.767.551.174,93;5,30%;3,04%
AFD;4.601.623.265,94;3,14%;1,80%
JICA;2.665.643.758,11;1,82%;1,04%
KFW;460.682.049,86;0,31%;0,18%
JBIC;39.602.101,02;0,03%;0,02%
Interna;109.297.756.106,24;100%;42,71%
Bancos Federais;104.143.987.549,87;95,28%;40,69%
BB;45.662.418.370,31;41,78%;17,84%
BNDES;38.394.026.761,02;35,13%;15,00%
CAIXA;19.665.744.882,84;17,99%;7,68%
BNB;421.797.535,70;0,39%;0,16%
Credores Privados;5.153.768.556,36;4,72%;2,01%
BNP Int;3.124.252.317,92;2,86%;1,22%
CREDIT SUISSE-BRASIL;1.166.153.143,23;1,07%;0,46%
SANTANDER BR;683.363.095,21;0,63%;0,27%
Itaú;180.000.000,00;0,16%;0,07%
