Relatório de Composição de Garantias;;;
Data de Emissão: 15/01/2020 11:09;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Mutuário(s) Específico(s);;;
Nome: Rio de Janeiro;;;
Classificação: Estados;;;
Esfera de Governo: Estadual;;;
Unidade Federativa: Rio de Janeiro;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Diário;;;
Data de Referência: 31/12/2019;;;
Tipo de Composição: Credor;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Garantia Total;36.033.371.146,68;;100%
Interna;22.988.419.505,91;100%;63,80%
Bancos Federais;18.698.014.044,76;81,34%;51,89%
BB;10.327.513.224,22;44,92%;28,66%
BNDES;6.635.092.831,70;28,86%;18,41%
CAIXA;1.735.407.988,84;7,55%;4,82%
Credores Privados;4.290.405.461,15;18,66%;11,91%
BNP Int;3.124.252.317,92;13,59%;8,67%
CREDIT SUISSE-BRASIL;1.166.153.143,23;5,07%;3,24%
Externa;13.044.951.640,77;100%;36,20%
Organismos Multilaterais;11.613.851.605,77;89,03%;32,23%
BIRD;9.303.400.910,54;71,32%;25,82%
CAF;1.522.290.425,01;11,67%;4,22%
BID;788.160.270,21;6,04%;2,19%
Agências Governamentais;1.431.100.035,00;10,97%;3,97%
AFD;1.431.100.035,00;10,97%;3,97%
