Relatório de Composição de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 15/01/2020 11:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Diário;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 31/12/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Composição: Indexador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Todas;255.917.889.078,98;100%;2.765.206.784,22;1,08%;1.430.225.641,94;0,56%;49.555.139.492,35;19,36%;2.767.919.792,49;1,08%;178.210.724.257,98;69,64%;21.188.673.110,00;8,28%;109.297.756.106,24;100%;31.590.591.285,24;28,90%;2.765.206.784,22;2,53%;1.430.225.641,94;1,31%;49.555.139.492,35;45,34%;2.767.919.792,49;2,53%;21.188.673.110,00;19,39%;146.620.132.972,74;100%;139.110.579.140,14;94,88%;4.046.870.938,52;2,76%;3.071.048.708,14;2,09%;391.634.185,94;0,27%
Estados;200.495.472.414,37;78,34%;2.538.519.320,55;0,99%;1.430.225.641,94;0,56%;40.147.146.512,49;15,69%;1.752.011.900,79;0,68%;141.176.733.160,22;55,16%;13.450.835.878,38;5,26%;90.909.330.539,39;83,18%;31.590.591.285,24;28,90%;2.538.519.320,55;2,32%;1.430.225.641,94;1,31%;40.147.146.512,49;36,73%;1.752.011.900,79;1,60%;13.450.835.878,38;12,31%;109.586.141.874,99;74,74%;105.167.854.882,96;71,73%;3.443.433.434,74;2,35%;583.219.371,34;0,40%;391.634.185,94;0,27%
Rio de Janeiro;36.033.371.146,68;14,08%;2.538.519.320,55;0,99%;1.422.086.178,31;0,56%;5.939.010.263,46;2,32%;343.342.099,40;0,13%;23.890.413.284,96;9,34%;1.900.000.000,00;0,74%;22.988.419.505,91;21,03%;10.845.461.644,19;9,92%;2.538.519.320,55;2,32%;1.422.086.178,31;1,30%;5.939.010.263,46;5,43%;343.342.099,40;0,31%;1.900.000.000,00;1,74%;13.044.951.640,77;8,90%;13.044.951.640,77;8,90%;0;0,00%;0;0,00%;0;0,00%
São Paulo;33.270.233.914,18;13,00%;0;0,00%;0;0,00%;1.705.770.449,86;0,67%;0;0,00%;30.066.119.308,49;11,75%;1.498.344.155,83;0,59%;9.058.785.841,93;8,29%;5.854.671.236,24;5,36%;0;0,00%;0;0,00%;1.705.770.449,86;1,56%;0;0,00%;1.498.344.155,83;1,37%;24.211.448.072,25;16,51%;21.720.426.500,68;14,81%;2.219.948.332,00;1,51%;271.073.239,57;0,18%;0;0,00%
Minas Gerais;22.215.116.968,03;8,68%;0;0,00%;0;0,00%;1.313.287.032,03;0,51%;132.988.814,46;0,05%;20.768.841.121,54;8,12%;0;0,00%;9.197.610.215,28;8,42%;7.751.334.368,79;7,09%;0;0,00%;0;0,00%;1.313.287.032,03;1,20%;132.988.814,46;0,12%;0;0,00%;13.017.506.752,75;8,88%;11.839.574.984,75;8,07%;1.177.931.768,00;0,80%;0;0,00%;0;0,00%
Bahia;13.693.232.436,26;5,35%;0;0,00%;0;0,00%;1.671.404.077,73;0,65%;0;0,00%;11.541.828.358,53;4,51%;480.000.000,00;0,19%;3.636.052.740,79;3,33%;1.484.648.663,06;1,36%;0;0,00%;0;0,00%;1.671.404.077,73;1,53%;0;0,00%;480.000.000,00;0,44%;10.057.179.695,48;6,86%;9.874.400.178,03;6,73%;0;0,00%;38.903.144,29;0,03%;143.876.373,15;0,10%
Ceará;11.085.176.200,40;4,33%;0;0,00%;0;0,00%;1.608.010.982,47;0,63%;345.159.206,92;0,13%;7.559.383.788,77;2,95%;1.572.622.222,24;0,61%;3.629.671.172,72;3,32%;103.878.761,09;0,10%;0;0,00%;0;0,00%;1.608.010.982,47;1,47%;345.159.206,92;0,32%;1.572.622.222,24;1,44%;7.455.505.027,67;5,08%;7.325.768.002,39;5,00%;36.519.330,30;0,02%;1.272.383,51;0,00%;91.945.311,47;0,06%
Rio Grande do Sul;10.044.071.168,24;3,92%;0;0,00%;8.139.463,63;0,00%;1.411.415.538,34;0,55%;0;0,00%;8.624.516.166,27;3,37%;0;0,00%;1.419.555.001,97;1,30%;0;0,00%;0;0,00%;8.139.463,63;0,01%;1.411.415.538,34;1,29%;0;0,00%;0;0,00%;8.624.516.166,27;5,88%;8.624.516.166,27;5,88%;0;0,00%;0;0,00%;0;0,00%
Santa Catarina;9.802.996.633,09;3,83%;0;0,00%;0;0,00%;3.617.431.039,41;1,41%;0;0,00%;4.469.436.561,42;1,75%;1.716.129.032,26;0,67%;6.648.061.040,30;6,08%;1.314.500.968,63;1,20%;0;0,00%;0;0,00%;3.617.431.039,41;3,31%;0;0,00%;1.716.129.032,26;1,57%;3.154.935.592,79;2,15%;3.154.935.592,79;2,15%;0;0,00%;0;0,00%;0;0,00%
Pernambuco;9.191.267.123,80;3,59%;0;0,00%;0;0,00%;1.311.590.326,71;0,51%;0;0,00%;7.730.509.685,98;3,02%;149.167.111,11;0,06%;1.597.732.253,38;1,46%;136.974.815,56;0,13%;0;0,00%;0;0,00%;1.311.590.326,71;1,20%;0;0,00%;149.167.111,11;0,14%;7.593.534.870,42;5,18%;7.584.500.865,98;5,17%;9.034.004,44;0,01%;0;0,00%;0;0,00%
Goiás;8.711.573.922,46;3,40%;0;0,00%;0;0,00%;4.523.883.881,84;1,77%;0;0,00%;2.255.416.598,62;0,88%;1.932.273.442,00;0,76%;8.671.102.130,56;7,93%;2.214.944.806,72;2,03%;0;0,00%;0;0,00%;4.523.883.881,84;4,14%;0;0,00%;1.932.273.442,00;1,77%;40.471.791,90;0,03%;40.471.791,90;0,03%;0;0,00%;0;0,00%;0;0,00%
Amazonas;5.780.763.151,55;2,26%;0;0,00%;0;0,00%;412.438.391,71;0,16%;0;0,00%;3.869.950.856,47;1,51%;1.498.373.903,37;0,59%;1.910.812.295,08;1,75%;0;0,00%;0;0,00%;0;0,00%;412.438.391,71;0,38%;0;0,00%;1.498.373.903,37;1,37%;3.869.950.856,47;2,64%;3.869.950.856,47;2,64%;0;0,00%;0;0,00%;0;0,00%
Espírito Santo;4.981.331.057,14;1,95%;0;0,00%;0;0,00%;2.999.037.475,56;1,17%;816.301.312,85;0,32%;1.165.992.268,73;0,46%;0;0,00%;3.815.338.788,41;3,49%;0;0,00%;0;0,00%;0;0,00%;2.999.037.475,56;2,74%;816.301.312,85;0,75%;0;0,00%;1.165.992.268,73;0,80%;1.165.992.268,73;0,80%;0;0,00%;0;0,00%;0;0,00%
Maranhão;4.852.114.723,84;1,90%;0;0,00%;0;0,00%;2.861.504.037,33;1,12%;0;0,00%;1.560.800.328,31;0,61%;429.810.358,20;0,17%;3.291.314.395,53;3,01%;0;0,00%;0;0,00%;0;0,00%;2.861.504.037,33;2,62%;0;0,00%;429.810.358,20;0,39%;1.560.800.328,31;1,06%;1.560.800.328,31;1,06%;0;0,00%;0;0,00%;0;0,00%
Piauí;4.007.165.534,49;1,57%;0;0,00%;0;0,00%;575.947.378,30;0,23%;0;0,00%;3.148.301.489,53;1,23%;282.916.666,66;0,11%;1.602.435.542,15;1,47%;743.571.497,19;0,68%;0;0,00%;0;0,00%;575.947.378,30;0,53%;0;0,00%;282.916.666,66;0,26%;2.404.729.992,34;1,64%;2.353.939.698,53;1,61%;0;0,00%;0;0,00%;50.790.293,81;0,03%
Paraná;3.002.837.878,63;1,17%;0;0,00%;0;0,00%;931.228.446,81;0,36%;0;0,00%;2.071.609.431,82;0,81%;0;0,00%;931.228.446,81;0,85%;0;0,00%;0;0,00%;0;0,00%;931.228.446,81;0,85%;0;0,00%;0;0,00%;2.071.609.431,82;1,41%;1.905.185.457,30;1,30%;0;0,00%;166.423.974,52;0,11%;0;0,00%
Mato Grosso;2.908.190.113,17;1,14%;0;0,00%;0;0,00%;1.329.228.699,82;0,52%;0;0,00%;1.045.909.887,22;0,41%;533.051.526,13;0,21%;1.862.280.225,95;1,70%;0;0,00%;0;0,00%;0;0,00%;1.329.228.699,82;1,22%;0;0,00%;533.051.526,13;0,49%;1.045.909.887,22;0,71%;1.045.909.887,22;0,71%;0;0,00%;0;0,00%;0;0,00%
Alagoas;2.501.608.043,78;0,98%;0;0,00%;0;0,00%;596.936.703,59;0,23%;0;0,00%;1.619.338.006,85;0,63%;285.333.333,34;0,11%;882.270.036,93;0,81%;0;0,00%;0;0,00%;0;0,00%;596.936.703,59;0,55%;0;0,00%;285.333.333,34;0,26%;1.619.338.006,85;1,10%;1.619.338.006,85;1,10%;0;0,00%;0;0,00%;0;0,00%
