Relatório de Composição de Garantias;;;
Data de Emissão: 15/01/2020 11:01;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Não Informado;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Diário;;;
Data de Referência: 31/12/2019;;;
Tipo de Composição: Tipo de Mutuário;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Garantia Total;255.917.889.078,98;;100%
Estados;200.495.472.414,37;100%;78,34%
Rio de Janeiro;36.033.371.146,68;17,97%;14,08%
São Paulo;33.270.233.914,18;16,59%;13,00%
Minas Gerais;22.215.116.968,03;11,08%;8,68%
Bahia;13.693.232.436,26;6,83%;5,35%
Ceará;11.085.176.200,40;5,53%;4,33%
Rio Grande do Sul;10.044.071.168,24;5,01%;3,92%
Santa Catarina;9.802.996.633,09;4,89%;3,83%
Pernambuco;9.191.267.123,80;4,58%;3,59%
Goiás;8.711.573.922,46;4,35%;3,40%
Amazonas;5.780.763.151,55;2,88%;2,26%
Espírito Santo;4.981.331.057,14;2,48%;1,95%
Maranhão;4.852.114.723,84;2,42%;1,90%
Piauí;4.007.165.534,49;2,00%;1,57%
Paraná;3.002.837.878,63;1,50%;1,17%
Mato Grosso;2.908.190.113,17;1,45%;1,14%
Alagoas;2.501.608.043,78;1,25%;0,98%
Acre;2.425.705.474,03;1,21%;0,95%
Tocantins;2.349.147.234,97;1,17%;0,92%
Pará;2.312.352.381,13;1,15%;0,90%
Distrito Federal;2.243.113.582,53;1,12%;0,88%
Mato Grosso do Sul;1.996.465.655,00;1,00%;0,78%
Sergipe;1.607.520.366,76;0,80%;0,63%
Rio Grande do Norte;1.556.987.601,55;0,78%;0,61%
Amapá;1.486.048.645,07;0,74%;0,58%
Paraíba;1.393.012.550,03;0,69%;0,54%
Roraima;712.730.904,00;0,36%;0,28%
Rondônia;331.338.003,56;0,17%;0,13%
Municípios;19.475.684.466,14;100%;7,61%
Rio de Janeiro;6.710.872.826,24;34,46%;2,62%
Manaus;1.435.125.484,98;7,37%;0,56%
Fortaleza;1.410.934.541,22;7,24%;0,55%
Belo Horizonte;1.356.800.661,12;6,97%;0,53%
São Bernardo do Campo;1.233.228.943,19;6,33%;0,48%
São Paulo;741.531.440,40;3,81%;0,29%
Porto Alegre;547.170.048,36;2,81%;0,21%
Mauá;531.909.694,90;2,73%;0,21%
Recife;435.821.449,67;2,24%;0,17%
Curitiba;395.175.613,38;2,03%;0,15%
Salvador;332.026.612,48;1,70%;0,13%
Goiânia;307.917.537,46;1,58%;0,12%
São José dos Campos;285.124.440,37;1,46%;0,11%
Niterói;264.987.350,32;1,36%;0,10%
Teresina;223.145.505,85;1,15%;0,09%
Belém;211.646.040,33;1,09%;0,08%
Natal;201.019.445,59;1,03%;0,08%
Florianópolis;192.884.387,36;0,99%;0,08%
Blumenau;191.691.326,11;0,98%;0,07%
Taubaté;188.260.196,53;0,97%;0,07%
Campo Grande;165.712.550,13;0,85%;0,06%
Canoas;145.553.055,51;0,75%;0,06%
Joinville;113.349.243,87;0,58%;0,04%
Cascavel;110.554.737,39;0,57%;0,04%
Aparecida de Goiânia;105.805.875,08;0,54%;0,04%
São Luís;105.661.959,66;0,54%;0,04%
Ribeirão Preto;103.822.777,80;0,53%;0,04%
Vitória;103.665.448,23;0,53%;0,04%
Hortolândia;92.170.181,23;0,47%;0,04%
Aracaju;82.434.677,83;0,42%;0,03%
Novo Hamburgo;77.993.936,78;0,40%;0,03%
Corumbá;75.633.657,29;0,39%;0,03%
Santos;73.197.132,51;0,38%;0,03%
Caxias do Sul;72.192.898,88;0,37%;0,03%
Serra;60.750.000,00;0,31%;0,02%
Toledo;55.679.783,99;0,29%;0,02%
Paranaguá;48.377.458,68;0,25%;0,02%
Sete Lagoas;42.012.537,58;0,22%;0,02%
Alagoinhas;39.612.711,93;0,20%;0,02%
Rio Branco;38.327.380,96;0,20%;0,01%
Caucaia;37.423.961,49;0,19%;0,01%
Colatina;35.966.303,70;0,18%;0,01%
Itajaí;33.901.331,27;0,17%;0,01%
Chapecó;33.695.215,02;0,17%;0,01%
Maringá;31.790.372,70;0,16%;0,01%
Passo Fundo;30.511.750,38;0,16%;0,01%
Belford Roxo;29.594.865,77;0,15%;0,01%
Pelotas;28.670.355,07;0,15%;0,01%
Catanduva;27.212.061,84;0,14%;0,01%
Santa Maria;26.481.697,51;0,14%;0,01%
Uberaba;24.148.193,47;0,12%;0,01%
Ponta Grossa;23.360.850,77;0,12%;0,01%
Cachoeirinha;22.291.160,87;0,11%;0,01%
Votuporanga;20.000.000,00;0,10%;0,01%
Sobral;18.504.210,11;0,10%;0,01%
Betim;17.451.910,18;0,09%;0,01%
Bagé;14.889.700,65;0,08%;0,01%
Maceió;13.620.287,51;0,07%;0,01%
Rio Grande;13.497.210,40;0,07%;0,01%
Campinas;13.179.342,51;0,07%;0,01%
Santo André;11.326.883,33;0,06%;0,00%
Sorocaba;7.092.266,55;0,04%;0,00%
Ponta Porã;7.014.268,02;0,04%;0,00%
Gurupi;6.779.607,98;0,03%;0,00%
Uruguaiana;6.180.442,69;0,03%;0,00%
Camaçari;5.381.532,68;0,03%;0,00%
Palmas;4.576.863,88;0,02%;0,00%
Mineiros;3.647.301,75;0,02%;0,00%
Panambi;3.156.071,82;0,02%;0,00%
Morro da Fumaça;2.603.072,76;0,01%;0,00%
Paraíso das Águas;2.437.983,58;0,01%;0,00%
Tapejara;2.353.954,16;0,01%;0,00%
Massaranduba;1.741.332,44;0,01%;0,00%
Morro Grande;1.689.952,28;0,01%;0,00%
Prudentópolis;1.663.708,37;0,01%;0,00%
Maracanaú;1.612.280,00;0,01%;0,00%
Sonora;346.704,51;0,00%;0,00%
Passos Maia;107.906,95;0,00%;0,00%
Garça;0;0%;0%
Santa Vitória;0;0%;0%
Entre Rios;0;0%;0%
Tio Hugo;0;0%;0%
Araquari;0;0%;0%
Araguaína;0;0%;0%
Castro;0;0%;0%
Ivinhema;0;0%;0%
Aquidauana;0;0%;0%
São Gabriel do Oeste;0;0%;0%
Caarapó;0;0%;0%
Costa Rica;0;0%;0%
Concórdia;0;0%;0%
Cariacica;0;0%;0%
Vale Real;0;0%;0%
Jaquirana;0;0%;0%
Timbó;0;0%;0%
Contagem;0;0%;0%
Jacareí;0;0%;0%
Bom Jesus;0;0%;0%
Cotiporã;0;0%;0%
Alto Feliz;0;0%;0%
