Relatório de Custo Médio de Garantias;;
Data de Emissão: 15/01/2020 10:50;;
Tipo de Dívida: Interna;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Diário;;
Data de Referência: 31/12/2019;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;8,27%;109.297.756.106,24
Estados;8,64%;90.909.330.539,39
Rio de Janeiro;9,70%;22.988.419.505,91
Minas Gerais;9,99%;9.197.610.215,28
São Paulo;9,39%;9.058.785.841,93
Goiás;9,50%;8.671.102.130,56
Santa Catarina;7,78%;6.648.061.040,30
Espírito Santo;6,09%;3.815.338.788,41
Bahia;8,88%;3.636.052.740,79
Ceará;6,00%;3.629.671.172,72
Maranhão;7,10%;3.291.314.395,53
Amazonas;6,20%;1.910.812.295,08
Mato Grosso;8,37%;1.862.280.225,95
Piauí;9,09%;1.602.435.542,15
Pernambuco;7,08%;1.597.732.253,38
Amapá;6,94%;1.486.048.645,07
Rio Grande do Sul;7,12%;1.419.555.001,97
Distrito Federal;9,36%;1.317.017.947,03
Pará;7,02%;1.225.362.232,15
Tocantins;9,06%;1.183.014.716,50
Paraíba;7,20%;1.011.394.119,90
Paraná;7,30%;931.228.446,81
Alagoas;7,19%;882.270.036,93
Roraima;6,91%;712.730.904,00
Mato Grosso do Sul;7,21%;707.141.867,29
Sergipe;6,97%;666.481.191,86
Acre;7,32%;610.964.984,52
Rio Grande do Norte;7,14%;536.259.565,38
Rondônia;7,10%;310.244.731,99
Estatais Federais;6,49%;8.159.998.608,18
ELETRONUCLEAR;6,59%;3.190.860.758,94
ELETROBRÁS;7,24%;3.050.820.000,36
FINEP;5,15%;1.918.317.848,88
Bancos Federais;6,58%;5.368.558.184,96
CAIXA;6,56%;5.231.503.447,11
Banco do Brasil;7,10%;137.054.737,85
Municípios;6,04%;4.859.868.773,71
Rio de Janeiro;7,57%;2.122.607.116,70
Mauá;8,47%;531.909.694,90
Manaus;2,16%;465.476.190,48
São Paulo;2,95%;402.461.123,94
Fortaleza;5,37%;379.646.453,84
Natal;6,08%;201.019.445,59
Porto Alegre;8,10%;137.865.151,48
Goiânia;0,12%;130.000.000,00
Belo Horizonte;4,33%;114.126.372,36
Ribeirão Preto;6,54%;103.822.777,80
Serra;3,83%;60.750.000,00
Teresina;5,05%;52.184.861,87
Sete Lagoas;6,08%;42.012.537,58
Rio Branco;2,71%;38.327.380,96
Votuporanga;1,05%;20.000.000,00
Salvador;0,16%;13.000.000,00
Curitiba;8,11%;11.117.801,59
Ponta Porã;2,87%;7.014.268,02
Gurupi;1,60%;6.779.607,98
Mineiros;1%;3.647.301,75
Panambi;3,27%;3.156.071,82
Morro da Fumaça;3%;2.603.072,76
Paraíso das Águas;1,52%;2.437.983,58
Tapejara;1,12%;2.353.954,16
Massaranduba;2,78%;1.741.332,44
Morro Grande;2,92%;1.689.952,28
Prudentópolis;1,37%;1.663.708,37
Sonora;0%;346.704,51
Passos Maia;0%;107.906,95
