Relatório de Custo Médio de Garantias;;
Data de Emissão: 15/01/2020 10:45;;
Tipo de Dívida: Interna - Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Diário;;
Data de Referência: 31/12/2019;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;7,85%;255.917.889.078,98
Estados;8,01%;200.495.472.414,37
Rio de Janeiro;8,98%;36.033.371.146,68
São Paulo;7,76%;33.270.233.914,18
Minas Gerais;8,74%;22.215.116.968,03
Bahia;7,84%;13.693.232.436,26
Ceará;7,56%;11.085.176.200,40
Rio Grande do Sul;7,12%;10.044.071.168,24
Santa Catarina;7,84%;9.802.996.633,09
Pernambuco;7,39%;9.191.267.123,80
Goiás;9,49%;8.711.573.922,46
Amazonas;7,11%;5.780.763.151,55
Espírito Santo;6,45%;4.981.331.057,14
Maranhão;7,88%;4.852.114.723,84
Piauí;8,00%;4.007.165.534,49
Paraná;7,60%;3.002.837.878,63
Mato Grosso;5,45%;2.908.190.113,17
Alagoas;7,25%;2.501.608.043,78
Acre;7,49%;2.425.705.474,03
Tocantins;8,21%;2.349.147.234,97
Pará;7,11%;2.312.352.381,13
Distrito Federal;8,74%;2.243.113.582,53
Mato Grosso do Sul;7,25%;1.996.465.655,00
Sergipe;7,28%;1.607.520.366,76
Rio Grande do Norte;7,52%;1.556.987.601,55
Amapá;6,94%;1.486.048.645,07
Paraíba;7,50%;1.393.012.550,03
Roraima;6,91%;712.730.904,00
Rondônia;7,13%;331.338.003,56
Municípios;7,20%;19.475.684.466,14
Rio de Janeiro;7,21%;6.710.872.826,24
Manaus;5,83%;1.435.125.484,98
Fortaleza;7,34%;1.410.934.541,22
Belo Horizonte;7,75%;1.356.800.661,12
São Bernardo do Campo;8,02%;1.233.228.943,19
São Paulo;5,23%;741.531.440,40
Porto Alegre;8,25%;547.170.048,36
Mauá;8,47%;531.909.694,90
Recife;7,49%;435.821.449,67
Curitiba;5,73%;395.175.613,38
Salvador;7,00%;332.026.612,48
Goiânia;4,45%;307.917.537,46
São José dos Campos;7,61%;285.124.440,37
Niterói;8,44%;264.987.350,32
Teresina;6,73%;223.145.505,85
Belém;7,61%;211.646.040,33
Natal;6,08%;201.019.445,59
Florianópolis;7,97%;192.884.387,36
Blumenau;7,61%;191.691.326,11
Taubaté;8,78%;188.260.196,53
Campo Grande;7,89%;165.712.550,13
Canoas;9,45%;145.553.055,51
Joinville;8,18%;113.349.243,87
Cascavel;7,61%;110.554.737,39
Aparecida de Goiânia;9,41%;105.805.875,08
São Luís;7,09%;105.661.959,66
Ribeirão Preto;6,54%;103.822.777,80
Vitória;7,61%;103.665.448,23
Hortolândia;8,83%;92.170.181,23
Aracaju;7,61%;82.434.677,83
Novo Hamburgo;7,61%;77.993.936,78
Corumbá;9,61%;75.633.657,29
Santos;6,94%;73.197.132,51
Caxias do Sul;9,17%;72.192.898,88
Serra;3,83%;60.750.000,00
Toledo;5,22%;55.679.783,99
Paranaguá;7,61%;48.377.458,68
Sete Lagoas;6,08%;42.012.537,58
Alagoinhas;8,90%;39.612.711,93
Rio Branco;2,71%;38.327.380,96
Caucaia;8,52%;37.423.961,49
Colatina;7,61%;35.966.303,70
Itajaí;9,06%;33.901.331,27
Chapecó;9,75%;33.695.215,02
Maringá;7,61%;31.790.372,70
Passo Fundo;7,61%;30.511.750,38
Belford Roxo;7,61%;29.594.865,77
Pelotas;6,76%;28.670.355,07
Catanduva;7,61%;27.212.061,84
Santa Maria;7,26%;26.481.697,51
Uberaba;6,68%;24.148.193,47
Ponta Grossa;7,61%;23.360.850,77
Cachoeirinha;9,32%;22.291.160,87
Votuporanga;1,05%;20.000.000,00
Sobral;12,61%;18.504.210,11
Betim;7,13%;17.451.910,18
Bagé;6,68%;14.889.700,65
Maceió;4,78%;13.620.287,51
Rio Grande;7,30%;13.497.210,40
Campinas;8,82%;13.179.342,51
Santo André;7,61%;11.326.883,33
Sorocaba;7,71%;7.092.266,55
Ponta Porã;2,87%;7.014.268,02
Gurupi;1,60%;6.779.607,98
Uruguaiana;7,95%;6.180.442,69
Camaçari;-3,13%;5.381.532,68
Palmas;1,26%;4.576.863,88
Mineiros;1%;3.647.301,75
Panambi;3,27%;3.156.071,82
Morro da Fumaça;3%;2.603.072,76
Paraíso das Águas;1,52%;2.437.983,58
Tapejara;1,12%;2.353.954,16
Massaranduba;2,78%;1.741.332,44
Morro Grande;2,92%;1.689.952,28
Prudentópolis;1,37%;1.663.708,37
Maracanaú;1,52%;1.612.280,00
Sonora;0%;346.704,51
Passos Maia;0%;107.906,95
Bancos Federais;7,32%;17.667.782.526,50
BNDES;7,61%;11.809.102.147,31
CAIXA;6,57%;5.293.105.608,46
Banco do Nordeste;8,69%;428.520.032,87
Banco do Brasil;7,10%;137.054.737,85
Estatais Federais;7,28%;10.533.419.305,09
ELETROBRÁS;7,09%;3.717.608.532,51
FINEP;8,12%;3.259.815.961,14
ELETRONUCLEAR;6,59%;3.190.860.758,94
Furnas Centrais Elétricas;7,61%;365.134.052,50
Entidades Estaduais Controladas;7,49%;7.745.530.366,87
SABESP-SP;7,38%;4.761.522.308,62
CEEE-D-RS;8,01%;764.971.426,83
CEEE-GT-RS;8,11%;524.976.540,37
CAESB-DF;7,61%;478.305.481,32
CELESC-SC;7,61%;467.792.069,55
CAGECE-CE;8,44%;206.768.878,46
COPASA-MG;4,18%;201.355.857,58
CASAN-SC;6,06%;157.602.593,51
DAEE-SP;10,31%;99.117.338,18
SANEAGO-GO;8,25%;83.117.872,45
