Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 15/01/2020 09:58;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Diário;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 31/12/2019;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
AFD CBR 1031;AFDB1031;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,21%;2.870.725,40;4.149,00;2.874.874,40;3.226.695,35;4.663,48;3.231.358,83;13.005.840,95;18.797,07;13.024.638,02
AFD CBR 1031;AFDB1031;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,36%;2.500.000,00;4.061,11;2.504.061,11;2.810.000,00;4.564,69;2.814.564,69;11.326.267,00;18.398,89;11.344.665,89
AFD CBR 1031;AFDB1031;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,78%;2.515.107,90;8.351,56;2.523.459,46;2.826.981,28;9.387,15;2.836.368,43;11.394.713,44;37.836,80;11.432.550,24
AFD CBR 1042;TA621694;12246;Externa;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,09%;118.350.000,00;833.644,25;119.183.644,25;118.350.000,00;833.644,25;119.183.644,25;477.033.345,00;3.360.169,88;480.393.514,88
AFD CBR 1042;TA621694;12246;Externa;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;236.700.000,00;1.730.881,90;238.430.881,90;236.700.000,00;1.730.881,90;238.430.881,90;954.066.690,00;6.976.665,67;961.043.355,67
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;4.352.042,48;78.608,77;4.430.651,25;4.352.042,48;78.608,77;4.430.651,25;17.541.777,62;316.848,37;17.858.625,99
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,94%;6.800.000,00;142.766,00;6.942.766,00;6.800.000,00;142.766,00;6.942.766,00;27.408.760,00;575.446,92;27.984.206,92
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,95%;6.921.106,73;145.602,78;7.066.709,51;6.921.106,73;145.602,78;7.066.709,51;27.896.904,90;586.881,13;28.483.786,02
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,24%;17.020.809,59;306.714,99;17.327.524,58;17.020.809,59;306.714,99;17.327.524,58;68.605.777,21;1.236.276,11;69.842.053,32
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;5,09%;8.799.338,49;190.351,69;8.989.690,18;8.799.338,49;190.351,69;8.989.690,18;35.467.493,65;767.250,56;36.234.744,21
