Relatório de Composição de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 21/05/2019 17:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Composição: Indexador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Todas;255.756.888.512,90;100%;2.856.309.702,97;1,12%;1.415.103.250,16;0,55%;53.902.748.955,06;21,08%;2.750.233.061,05;1,08%;175.365.925.644,45;68,57%;19.466.567.899,20;7,61%;113.184.265.726,72;100%;32.793.302.858,27;28,97%;2.856.309.702,97;2,52%;1.415.103.250,16;1,25%;53.902.748.955,06;47,62%;2.750.233.061,05;2,43%;19.466.567.899,20;17,20%;142.572.622.786,18;100%;134.899.077.366,89;94,62%;4.152.945.258,09;2,91%;3.130.401.919,71;2,20%;390.198.241,49;0,27%
Estados;197.632.485.687,73;77,27%;2.588.934.123,76;1,01%;1.415.103.250,16;0,55%;40.646.495.860,08;15,89%;1.791.565.805,10;0,70%;138.995.091.159,11;54,35%;12.195.295.489,52;4,77%;91.303.017.898,05;80,67%;32.665.623.369,43;28,86%;2.588.934.123,76;2,29%;1.415.103.250,16;1,25%;40.646.495.860,08;35,91%;1.791.565.805,10;1,58%;12.195.295.489,52;10,77%;106.329.467.789,68;74,58%;101.792.731.728,69;71,40%;3.491.973.302,42;2,45%;654.564.517,08;0,46%;390.198.241,49;0,27%
Rio de Janeiro;36.966.246.894,27;14,45%;2.588.934.123,76;1,01%;1.407.965.015,00;0,55%;6.192.261.501,29;2,42%;355.201.714,86;0,14%;24.521.884.539,35;9,59%;1.900.000.000,00;0,74%;23.785.480.957,40;21,01%;11.341.118.602,49;10,02%;2.588.934.123,76;2,29%;1.407.965.015,00;1,24%;6.192.261.501,29;5,47%;355.201.714,86;0,31%;1.900.000.000,00;1,68%;13.180.765.936,87;9,24%;13.180.765.936,87;9,24%;0;0,00%;0;0,00%;0;0,00%
São Paulo;32.004.368.863,37;12,51%;0;0,00%;0;0,00%;1.704.539.983,62;0,67%;0;0,00%;29.380.737.970,66;11,49%;919.090.909,09;0,36%;8.555.848.181,55;7,56%;5.932.217.288,84;5,24%;0;0,00%;0;0,00%;1.704.539.983,62;1,51%;0;0,00%;919.090.909,09;0,81%;23.448.520.681,82;16,45%;20.910.994.312,83;14,67%;2.209.959.795,00;1,55%;327.566.574,00;0,23%;0;0,00%
Minas Gerais;22.601.367.433,58;8,84%;0;0,00%;0;0,00%;1.337.669.033,30;0,52%;119.888.482,14;0,05%;21.143.809.918,14;8,27%;0;0,00%;9.550.095.590,51;8,44%;8.092.538.075,07;7,15%;0;0,00%;0;0,00%;1.337.669.033,30;1,18%;119.888.482,14;0,11%;0;0,00%;13.051.271.843,07;9,15%;11.813.694.357,87;8,29%;1.237.577.485,20;0,87%;0;0,00%;0;0,00%
Bahia;13.424.709.091,69;5,25%;0;0,00%;0;0,00%;1.660.708.710,59;0,65%;0;0,00%;11.244.000.381,10;4,40%;520.000.000,00;0,20%;3.738.936.862,36;3,30%;1.558.228.151,77;1,38%;0;0,00%;0;0,00%;1.660.708.710,59;1,47%;0;0,00%;520.000.000,00;0,46%;9.685.772.229,33;6,79%;9.484.716.623,84;6,65%;0;0,00%;51.927.683,09;0,04%;149.127.922,40;0,10%
Santa Catarina;10.194.524.410,85;3,99%;0;0,00%;0;0,00%;3.572.021.886,99;1,40%;0;0,00%;4.783.792.846,44;1,87%;1.838.709.677,42;0,72%;6.743.333.482,69;5,96%;1.332.601.918,28;1,18%;0;0,00%;0;0,00%;3.572.021.886,99;3,16%;0;0,00%;1.838.709.677,42;1,62%;3.451.190.928,16;2,42%;3.451.190.928,16;2,42%;0;0,00%;0;0,00%;0;0,00%
Rio Grande do Sul;9.966.568.932,39;3,90%;0;0,00%;7.138.235,16;0,00%;1.430.169.963,80;0,56%;0;0,00%;8.529.260.733,43;3,33%;0;0,00%;1.437.308.198,96;1,27%;0;0,00%;0;0,00%;7.138.235,16;0,01%;1.430.169.963,80;1,26%;0;0,00%;0;0,00%;8.529.260.733,43;5,98%;8.529.260.733,43;5,98%;0;0,00%;0;0,00%;0;0,00%
Pernambuco;9.272.819.192,70;3,63%;0;0,00%;0;0,00%;1.352.798.359,62;0,53%;0;0,00%;7.758.423.129,38;3,03%;161.597.703,70;0,06%;1.657.559.588,43;1,46%;143.163.525,11;0,13%;0;0,00%;0;0,00%;1.352.798.359,62;1,20%;0;0,00%;161.597.703,70;0,14%;7.615.259.604,27;5,34%;7.604.977.200,13;5,33%;10.282.404,14;0,01%;0;0,00%;0;0,00%
