Relatório de Custo Médio de Garantias;;
Data de Emissão: 15/01/2020 10:51;;
Tipo de Dívida: Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Diário;;
Data de Referência: 31/12/2019;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;7,55%;146.620.132.972,74
Estados;7,48%;109.586.141.874,99
São Paulo;7,14%;24.211.448.072,25
Rio de Janeiro;7,69%;13.044.951.640,77
Minas Gerais;7,86%;13.017.506.752,75
Bahia;7,46%;10.057.179.695,48
Rio Grande do Sul;7,12%;8.624.516.166,27
Pernambuco;7,45%;7.593.534.870,42
Ceará;8,32%;7.455.505.027,67
Amazonas;7,56%;3.869.950.856,47
Santa Catarina;7,96%;3.154.935.592,79
Piauí;7,27%;2.404.729.992,34
Paraná;7,74%;2.071.609.431,82
Acre;7,54%;1.814.740.489,51
Alagoas;7,29%;1.619.338.006,85
Maranhão;9,53%;1.560.800.328,31
Mato Grosso do Sul;7,28%;1.289.323.787,71
Tocantins;7,35%;1.166.132.518,47
Espírito Santo;7,62%;1.165.992.268,73
Pará;7,21%;1.086.990.148,98
Mato Grosso;0,26%;1.045.909.887,22
Rio Grande do Norte;7,72%;1.020.728.036,17
Sergipe;7,50%;941.039.174,90
Distrito Federal;7,86%;926.095.635,50
Paraíba;8,30%;381.618.430,13
Goiás;7,61%;40.471.791,90
Rondônia;7,61%;21.093.271,57
Municípios;7,59%;14.615.815.692,43
Rio de Janeiro;7,04%;4.588.265.709,54
Belo Horizonte;8,06%;1.242.674.288,76
São Bernardo do Campo;8,02%;1.233.228.943,19
Fortaleza;8,07%;1.031.288.087,38
Manaus;7,59%;969.649.294,50
Recife;7,49%;435.821.449,67
Porto Alegre;8,31%;409.304.896,88
Curitiba;5,66%;384.057.811,79
São Paulo;7,95%;339.070.316,46
Salvador;7,27%;319.026.612,48
São José dos Campos;7,61%;285.124.440,37
Niterói;8,44%;264.987.350,32
Belém;7,61%;211.646.040,33
Florianópolis;7,97%;192.884.387,36
Blumenau;7,61%;191.691.326,11
Taubaté;8,78%;188.260.196,53
Goiânia;7,61%;177.917.537,46
Teresina;7,24%;170.960.643,98
Campo Grande;7,89%;165.712.550,13
Canoas;9,45%;145.553.055,51
Joinville;8,18%;113.349.243,87
Cascavel;7,61%;110.554.737,39
Aparecida de Goiânia;9,41%;105.805.875,08
São Luís;7,09%;105.661.959,66
Vitória;7,61%;103.665.448,23
Hortolândia;8,83%;92.170.181,23
Aracaju;7,61%;82.434.677,83
Novo Hamburgo;7,61%;77.993.936,78
Corumbá;9,61%;75.633.657,29
Santos;6,94%;73.197.132,51
Caxias do Sul;9,17%;72.192.898,88
Toledo;5,22%;55.679.783,99
Paranaguá;7,61%;48.377.458,68
Alagoinhas;8,90%;39.612.711,93
Caucaia;8,52%;37.423.961,49
Colatina;7,61%;35.966.303,70
Itajaí;9,06%;33.901.331,27
Chapecó;9,75%;33.695.215,02
Maringá;7,61%;31.790.372,70
Passo Fundo;7,61%;30.511.750,38
Belford Roxo;7,61%;29.594.865,77
Pelotas;6,76%;28.670.355,07
Catanduva;7,61%;27.212.061,84
Santa Maria;7,26%;26.481.697,51
Uberaba;6,68%;24.148.193,47
Ponta Grossa;7,61%;23.360.850,77
Cachoeirinha;9,32%;22.291.160,87
Sobral;12,61%;18.504.210,11
Betim;7,13%;17.451.910,18
Bagé;6,68%;14.889.700,65
Maceió;4,78%;13.620.287,51
Rio Grande;7,30%;13.497.210,40
Campinas;8,82%;13.179.342,51
Santo André;7,61%;11.326.883,33
Sorocaba;7,71%;7.092.266,55
Uruguaiana;7,95%;6.180.442,69
Camaçari;-3,13%;5.381.532,68
Palmas;1,26%;4.576.863,88
Maracanaú;1,52%;1.612.280,00
Bancos Federais;7,64%;12.299.224.341,54
BNDES;7,61%;11.809.102.147,31
Banco do Nordeste;8,69%;428.520.032,87
CAIXA;7,51%;61.602.161,35
Entidades Estaduais Controladas;7,49%;7.745.530.366,87
SABESP-SP;7,38%;4.761.522.308,62
CEEE-D-RS;8,01%;764.971.426,83
CEEE-GT-RS;8,11%;524.976.540,37
CAESB-DF;7,61%;478.305.481,32
CELESC-SC;7,61%;467.792.069,55
CAGECE-CE;8,44%;206.768.878,46
COPASA-MG;4,18%;201.355.857,58
CASAN-SC;6,06%;157.602.593,51
DAEE-SP;10,31%;99.117.338,18
SANEAGO-GO;8,25%;83.117.872,45
Estatais Federais;9,96%;2.373.420.696,91
FINEP;12,37%;1.341.498.112,26
ELETROBRÁS;6,40%;666.788.532,15
Furnas Centrais Elétricas;7,61%;365.134.052,50
