Relatório de Percentual Vincendo Garantias;;;;;;;;;;;;;;
Data de Emissão: 15/01/2020 10:54;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;
Data de Referência: 31/12/2019;;;;;;;;;;;;;;
Data Inicial: 01/01/2020;;;;;;;;;;;;;;
Data Final: 01/01/2100;;;;;;;;;;;;;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;;;;;;;;;;;;;
Cenário: Não Informado;;;;;;;;;;;;;;
Tipo de Cálculo: Valor Corrente;;;;;;;;;;;;;;
Tipo Percentual Vincendo: Tipo de Mutuário;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%)
Garantia Total;34612641387;9,97%;29515374028;8,51%;29509926387;8,50%;27108111432;7,81%;25068640367;7,22%;2,01184E+11;57,98%;3,46999E+11;100%
Estados;26613908372;9,68%;22078590401;8,03%;22222258557;8,08%;20828012903;7,57%;19495082796;7,09%;1,63774E+11;59,55%;2,75012E+11;100%
Acre;223908014,1;6,64%;218332963,4;6,48%;231051016,5;6,86%;213329629,9;6,33%;208106948,9;6,17%;2275599081;67,52%;3370327654;100%
Alagoas;228138737,8;6,65%;221293936,3;6,45%;250555083,8;7,30%;242099291,2;7,05%;240365291,2;7,00%;2250244705;65,55%;3432697045;100%
Amapá;190920109,5;9,01%;184245728;8,70%;177990964,3;8,40%;171737750,8;8,11%;165898299,9;7,83%;1227561108;57,95%;2118353960;100%
Amazonas;662058865,1;8,79%;660963304,6;8,78%;642816568;8,54%;623822540,5;8,28%;605633407,8;8,04%;4335535313;57,57%;7530829999;100%
Bahia;1339872763;7,16%;1324587505;7,08%;1386764693;7,41%;1387029987;7,41%;1337728195;7,15%;11936214164;63,79%;18712197307;100%
Ceará;1059384268;7,01%;1073345360;7,10%;1168734612;7,73%;1152346228;7,62%;1128516180;7,47%;9531233626;63,06%;15113560274;100%
Distrito Federal;363794123,2;12,17%;356225143,1;11,92%;335485054,7;11,23%;308911001;10,34%;292445876,5;9,79%;1331241819;44,55%;2988103017;100%
Espírito Santo;549402882,9;7,83%;522513779,9;7,44%;522294676,7;7,44%;508633244,1;7,25%;499861964,6;7,12%;4415993576;62,92%;7018700124;100%
Goiás;1191876247;9,79%;1159122723;9,52%;1130916669;9,29%;1103010366;9,06%;1076304706;8,84%;6516836714;53,51%;12178067425;100%
Maranhão;868042991,3;13,40%;864007429,8;13,34%;925526145,1;14,28%;919251511,2;14,19%;440400762,4;6,80%;2462005679;38,00%;6479234519;100%
Mato Grosso;423204350,7;10,48%;400430604,5;9,91%;428932403,2;10,62%;359285715,7;8,90%;280984036,4;6,96%;2145807990;53,13%;4038645101;100%
Mato Grosso do Sul;228114601,7;8,72%;263666262,2;10,08%;270766372,4;10,35%;257569869,1;9,85%;71981117,64;2,75%;1523445227;58,25%;2615543450;100%
Minas Gerais;2723701089;9,03%;2636010866;8,74%;2607811217;8,64%;2487210185;8,24%;2379078997;7,89%;17335915200;57,46%;30169727553;100%
Paraná;294141329;7,22%;307267682,4;7,54%;370342944,7;9,09%;336320493,6;8,25%;316759066;7,77%;2451236150;60,14%;4076067665;100%
Paraíba;188845174,5;9,18%;181925224;8,85%;224313740,8;10,91%;153481947,1;7,46%;148622619,6;7,23%;1158924441;56,36%;2056113147;100%
Pará;336121785,8;11,28%;295383015,9;9,91%;288815864,2;9,69%;283808276,5;9,52%;263864461,5;8,85%;1512991783;50,75%;2980985187;100%
Pernambuco;899945473,9;7,23%;879138183,8;7,06%;924465829,5;7,42%;837691970,7;6,73%;731604769,1;5,87%;8181135248;65,69%;12453981475;100%
Piauí;451079567,5;8,35%;439445367,8;8,14%;463965416,1;8,59%;444176033,8;8,23%;428950929,7;7,94%;3171485068;58,74%;5399102383;100%
Rio Grande do Norte;205977305,4;9,64%;152134960,6;7,12%;148295181,5;6,94%;144449559,7;6,76%;132671821,1;6,21%;1354075142;63,35%;2137603970;100%
Rio Grande do Sul;816777521,5;6,26%;864229132,5;6,62%;946358137,3;7,25%;1026222865;7,86%;1001587330;7,67%;8399222275;64,34%;13054397262;100%
Rio de Janeiro;7641991712;14,81%;3471193938;6,73%;3371974107;6,53%;3257497922;6,31%;3295830336;6,39%;30575357234;59,24%;51613845249;100%
Rondônia;54752799,27;12,08%;51463522,3;11,35%;38431751,17;8,48%;37037424,48;8,17%;35706425,11;7,88%;235936491;52,05%;453328413,3;100%
Roraima;90827434,12;8,91%;87609221,24;8,59%;84717640,25;8,31%;81705995,68;8,01%;78865440,28;7,74%;595754069;58,44%;1019479801;100%
Santa Catarina;1470478542;10,86%;1498082646;11,06%;1489479048;11,00%;918624014,7;6,78%;890708004,8;6,58%;7274640734;53,72%;13542012989;100%
Sergipe;176991881,8;7,74%;144757881,3;6,33%;156650610,3;6,85%;151831128;6,64%;140471451,7;6,14%;1515269053;66,29%;2285972006;100%
São Paulo;3561756790;7,91%;3506715162;7,79%;3372044793;7,49%;3166709662;7,03%;3086072044;6,85%;28330035743;62,92%;45023334194;100%
Tocantins;371802012,8;11,80%;314498857,9;9,98%;262758017,6;8,34%;254218290,2;8,07%;216062312,9;6,86%;1730790919;54,94%;3150130410;100%
Municípios;2284549265;8,98%;2265652801;8,90%;2242282320;8,81%;2216346209;8,71%;2008502918;7,89%;14435769337;56,72%;25453102850;100%
Alagoinhas;3377438,728;6,49%;4961721,939;9,54%;4822351,865;9,27%;4682981,833;9,00%;4549912,09;8,74%;29635098,32;56,96%;52029504,77;100%
Aparecida de Goiânia;17131061,7;12,84%;16586692,56;12,43%;15961766,64;11,96%;15390496,02;11,53%;14823959,6;11,11%;53538156,58;40,12%;133432133,1;100%
Aracaju;7843001,797;7,26%;7673344,226;7,10%;7508416,627;6,95%;7341982,741;6,79%;7176877,559;6,64%;70555788,54;65,27%;108099411,5;100%
Bagé;2115129,333;12,61%;2075955,545;12,37%;2037674,729;12,14%;1999393,954;11,92%;1961586,707;11,69%;6589443,341;39,27%;16779183,61;100%
Belford Roxo;3068024,503;8,11%;2998873,334;7,93%;2931416,356;7,75%;2863423,354;7,57%;2795893,809;7,39%;23165210,37;61,25%;37822841,72;100%
Belo Horizonte;130082024,6;7,34%;138723420,8;7,83%;134938656,4;7,61%;135242510,2;7,63%;135483182,3;7,64%;1098317995;61,95%;1772787789;100%
Belém;23801236,29;8,63%;22475486;8,15%;21140579,16;7,67%;20763937,88;7,53%;20269753,15;7,35%;167231909;60,66%;275682901,5;100%
Betim;7577724,574;40,65%;7393412,053;39,66%;3669941,35;19,69%;0;0,00%;0;0,00%;0;0,00%;18641077,98;100%
Blumenau;17561071,28;6,90%;17187277,55;6,75%;16826563,86;6,61%;16461658,57;6,47%;16100434,05;6,32%;170418499,5;66,95%;254555504,8;100%
Cachoeirinha;3577364,153;12,80%;3456987,738;12,37%;3339508,064;11,95%;3222028,431;11,53%;3106158,072;11,11%;11243720,34;40,23%;27945766,8;100%
Camaçari;209800,6288;2,51%;210377,018;2,52%;210377,018;2,52%;210377,018;2,52%;488766,3505;5,84%;7034823,18;84,10%;8364521,214;100%
Campinas;6440897,372;43,07%;5738603,797;38,38%;2773456,362;18,55%;0;0,00%;0;0,00%;0;0,00%;14952957,53;100%
Campo Grande;15047944,06;6,73%;14436947,92;6,46%;15852447,84;7,09%;17400057,69;7,78%;16945368,46;7,58%;143860446,6;64,35%;223543212,6;100%
Canoas;29753579,75;17,09%;28734197,08;16,50%;27567717,33;15,83%;26501263,58;15,22%;25424513,02;14,60%;36145075,12;20,76%;174126345,9;100%
Cascavel;9619279,528;6,43%;9421120,942;6,30%;9229319,879;6,17%;9035481,643;6,04%;8843473,82;5,91%;103429144,6;69,15%;149577820,4;100%
Catanduva;2641571,888;7,45%;2583850,078;7,29%;2527688,804;7,13%;2471031,332;6,97%;2414809,676;6,81%;22818499,31;64,35%;35457451,08;100%
Caucaia;1494684,025;2,82%;1478437,416;2,79%;1478437,458;2,79%;1482499,079;2,79%;4950839,546;9,33%;42181558,31;79,49%;53066455,84;100%
Caxias do Sul;13041645,91;14,73%;12603399,98;14,24%;14177538,32;16,02%;13653756,45;15,42%;13136261,69;14,84%;21909708,81;24,75%;88522311,16;100%
Chapecó;5716811,244;13,53%;5513833,086;13,05%;5315474,207;12,58%;5117115,327;12,11%;4921201,999;11,65%;15653774,99;37,06%;42238210,85;100%
Colatina;3236652,091;6,73%;3168682,256;6,59%;3102779,058;6,46%;3036215,094;6,32%;2970240,863;6,18%;32547895,33;67,72%;48062464,69;100%
Corumbá;4063084,236;3,66%;3878257,988;3,50%;6970579,029;6,29%;9971950,921;8,99%;9670467,476;8,72%;76310089,33;68,83%;110864429;100%
Curitiba;61358027,54;13,46%;49428942,09;10,84%;48875492,43;10,72%;48299636,02;10,60%;37068969,44;8,13%;210814165;46,25%;455845232,5;100%
Florianópolis;21936887,17;8,52%;21189572,33;8,23%;20577216,57;7,99%;19960626,45;7,75%;16245361,92;6,31%;157482004,5;61,18%;257391668,9;100%
Fortaleza;165181620,1;8,55%;170292913,6;8,82%;168152838,3;8,71%;173690862,4;8,99%;165764237,2;8,58%;1088084532;56,34%;1931167003;100%
Goiânia;26036814,28;6,57%;37157106,83;9,38%;36152200,2;9,12%;35089914,77;8,86%;34075620,49;8,60%;227759032,2;57,48%;396270688,8;100%
Gurupi;582687,94;5,12%;600259,56;5,27%;600259,59;5,27%;600259,62;5,27%;600259,61;5,27%;8403634,64;73,80%;11387360,96;100%
Hortolândia;11351070,02;9,87%;11191607,55;9,73%;10811928,96;9,40%;15119070,28;13,14%;14614757,54;12,71%;51929713,76;45,15%;115018148,1;100%
Itajaí;653206,8698;1,59%;714564,3503;1,74%;714564,3503;1,74%;3866990,423;9,42%;3803809,741;9,27%;31296475,75;76,24%;41049611,48;100%
Joinville;15976238,62;11,07%;15075360,18;10,45%;14120372,84;9,79%;13529523,1;9,38%;13130854,7;9,10%;72429859,57;50,21%;144262209;100%
Maceió;551128,4508;2,89%;538070,8804;2,82%;539549,0694;2,83%;1695290,856;8,90%;1651683,413;8,67%;14072435,72;73,88%;19048158,39;100%
Manaus;116477389,3;6,28%;179249050,7;9,66%;175594818,6;9,46%;171783903,3;9,26%;140815759,6;7,59%;1071341671;57,75%;1855262592;100%
Maracanaú;36402,20502;1,51%;53654,26284;2,23%;53710,128;2,23%;53710,128;2,23%;135984,305;5,65%;2072379,677;86,14%;2405840,706;100%
Maringá;3151370,934;7,66%;3081802,311;7,49%;3014055,729;7,32%;2945730,768;7,16%;2877911,33;6,99%;26087369,68;63,38%;41158240,75;100%
Massaranduba;174476,56;4,95%;188545,81;5,35%;187401,9;5,32%;186187,41;5,29%;184898;5,25%;2601004,4;73,84%;3522514,08;100%
Mauá;62134797,12;6,63%;62135931,36;6,63%;62135931,36;6,63%;62135931,36;6,63%;62135931,31;6,63%;626537307,3;66,85%;937215829,8;100%
Mineiros;266201,46;4,17%;313564,8;4,91%;313564,8;4,91%;313564,8;4,91%;313564,8;4,91%;4860255,16;76,17%;6380715,82;100%
Morro Grande;184333,79;5,49%;183260,03;5,46%;182110,97;5,43%;180891;5,39%;179595,83;5,35%;2446032,4;72,88%;3356224,02;100%
Morro da Fumaça;293222,88;5,51%;291293,99;5,48%;289246,14;5,44%;287071,97;5,40%;284763,72;5,35%;3872947,93;72,82%;5318546,63;100%
Natal;26276937,48;7,62%;26008803,91;7,54%;25739748,68;7,46%;25454098,71;7,38%;25150830,5;7,29%;216229124,1;62,70%;344859543,3;100%
Niterói;15213644,73;4,47%;37090753,95;10,90%;36031763,58;10,59%;34966133,21;10,28%;33905733,45;9,97%;182961577;53,79%;340169605,9;100%
Novo Hamburgo;7024133,912;6,74%;6871376,257;6,59%;6728463,304;6,46%;6584117,501;6,32%;6441050,504;6,18%;70581022,19;67,72%;104230163,7;100%
Palmas;178920,6206;2,85%;178920,6206;2,85%;178430,4328;2,84%;602648,2333;9,59%;587675,0432;9,35%;4556707,664;72,52%;6283302,615;100%
Panambi;342680,56;5,44%;340970,32;5,42%;338855,75;5,38%;336610,78;5,35%;334227,31;5,31%;4601920,32;73,10%;6295265,04;100%
Paranaguá;4602729,204;7,26%;4503164,303;7,10%;4406375,213;6,95%;4308702,143;6,79%;4211808,824;6,64%;41406236,04;65,27%;63439015,73;100%
Paraíso das Águas;198741,7;4,71%;209597,64;4,97%;209597,64;4,97%;209597,64;4,97%;209597,64;4,97%;3178898,1;75,40%;4216030,36;100%
Passo Fundo;3024621,456;7,66%;2957850,939;7,49%;2892829,152;7,32%;2827252,235;7,16%;2762160,533;6,99%;25038124,39;63,38%;39502838,7;100%
Passos Maia;7677,84;4,07%;9276,96;4,92%;9276,96;4,92%;9276,96;4,92%;9276,96;4,92%;143792,4;76,25%;188578,08;100%
Pelotas;7182719,24;23,12%;7017323,832;22,58%;6877563,365;22,13%;6737802,899;21,68%;3256601,674;10,48%;0;0,00%;31072011,01;100%
Ponta Grossa;2315754,731;7,66%;2264632,925;7,49%;2214850,019;7,32%;2164642,073;7,16%;2114805,581;6,99%;19170053,4;63,38%;30244738,73;100%
Ponta Porã;717753,87;5,08%;759108,39;5,37%;754477,54;5,34%;749561,08;5,30%;744341,36;5,26%;10415296;73,66%;14140538,24;100%
