"","date","lender","borrower","amount_honoured"
"1",2019-12-19,"Caixa Econômica Federal","Rio de Janeiro",996823.31
"2",2019-12-19,"Caixa Econômica Federal","Rio de Janeiro",2686096.4
"3",2019-12-20,"Banco do Brasil S/A","Minas Gerais",440555987.98
"4",2019-12-15,"BID","Rio de Janeiro",6575418.28
"5",2019-12-15,"Caixa Econômica Federal","Goiás",28491865.83
"6",2019-12-16,"Caixa Econômica Federal","Goiás",28840968.64
"7",2019-10-20,"Fundo Financeiro para Desenvolvimento da Bacia do Prata","Cachoeirinha",1712550
"8",2019-10-20,"Fundo Financeiro para Desenvolvimento da Bacia do Prata","Cachoeirinha",122133.91
"9",2019-12-15,"BID","Rio de Janeiro",95251
"10",2019-12-16,"Caixa Econômica Federal","Rio Grande do Norte",1499711.06
"11",2019-12-16,"Caixa Econômica Federal","Rio Grande do Norte",6492225.43
"12",2019-12-16,"Caixa Econômica Federal","Rio de Janeiro",6988722.28
"13",2019-12-16,"Banco Mundial","Rio Grande do Norte",32268992.04
"14",2019-12-16,"Banco Nacional de Desenvolvimento Econômico e Social","Goiás",2326785.73
"15",2019-12-16,"Banco Nacional de Desenvolvimento Econômico e Social","Goiás",15851072
"16",2019-12-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",22871432.19
"17",2019-12-16,"Banco do Brasil S/A","Rio Grande do Norte",2981167.41
"18",2019-12-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3014371.27
"19",2019-12-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",24725383.7
"20",2019-12-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",4332764.23
"21",2019-12-16,"Banco do Brasil S/A","Rio de Janeiro",422888429.24
"22",2019-12-16,"Banco do Brasil S/A","Rio de Janeiro",8191944.5
"23",2019-12-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio Grande do Norte",2217066.08
"24",2019-12-16,"Caixa Econômica Federal","Amapá",8668705.3
"25",2019-12-16,"Banco Nacional de Desenvolvimento Econômico e Social","Amapá",5671276.89
"26",2019-12-16,"Banco Nacional de Desenvolvimento Econômico e Social","Minas Gerais",3820261.05
"27",2019-12-16,"Banco Nacional de Desenvolvimento Econômico e Social","Amapá",2414366.08
"28",2019-12-16,"Caixa Econômica Federal","Goiás",3227116.42
"29",2019-12-05,"Corporacão Andina de Fomento","Rio de Janeiro",42338499.76
"30",2019-11-15,"BID","Rio de Janeiro",3055212.63
"31",2019-12-03,"Agência Francesa de Desevolvimento","Minas Gerais",66668254.73
"32",2019-11-15,"BID","Minas Gerais",1689193.19
"33",2019-11-25,"Caixa Econômica Federal","Rio de Janeiro",13522637.32
"34",2019-11-15,"BID","Minas Gerais",1387299.22
"35",2019-11-14,"BID","Minas Gerais",7663241.36
"36",2019-11-14,"BID","Minas Gerais",6942482.44
"37",2019-11-22,"Corporacão Andina de Fomento","Rio de Janeiro",27182758.06
"38",2019-11-15,"Banco Mundial","Rio de Janeiro",2153876.04
"39",2019-11-15,"Banco Mundial","Rio de Janeiro",72663670.38
"40",2019-11-15,"Banco Mundial","Rio de Janeiro",64445499.55
"41",2019-11-15,"Banco Mundial","Rio de Janeiro",1370127.23
"42",2019-11-19,"Caixa Econômica Federal","Rio de Janeiro",997125.37
"43",2019-11-18,"Caixa Econômica Federal","Rio Grande do Norte",6478684.51
"44",2019-11-18,"Caixa Econômica Federal","Amapá",9575024.92
"45",2019-11-18,"Banco Nacional de Desenvolvimento Econômico e Social","Amapá",6433000.66
"46",2019-11-18,"Caixa Econômica Federal","Rio Grande do Norte",1534916.95
"47",2019-11-19,"Caixa Econômica Federal","Rio de Janeiro",2685764.8
"48",2019-11-18,"Banco Nacional de Desenvolvimento Econômico e Social","Amapá",2738645.79
"49",2019-11-18,"Banco Nacional de Desenvolvimento Econômico e Social","Rio Grande do Norte",2513371.04
"50",2019-11-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",4691609.58
"51",2019-11-18,"Banco Nacional de Desenvolvimento Econômico e Social","Goiás",2582918.99
"52",2019-11-18,"Banco Nacional de Desenvolvimento Econômico e Social","Goiás",17653543.79
"53",2019-11-18,"Banco Nacional de Desenvolvimento Econômico e Social","Minas Gerais",4050111.32
"54",2019-11-18,"Banco Nacional de Desenvolvimento Econômico e Social","Minas Gerais",20300846.68
"55",2019-11-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",25543418.28
"56",2019-11-18,"Banco Nacional de Desenvolvimento Econômico e Social","Minas Gerais",1526681.48
