Relatório de Honras e Atrasos
Data de Emissão: 30/04/2020 11:35
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Status Atraso: Honra de Aval
Data Regularização Inicial: 01/01/2016
Data Regularização Final: 30/04/2020

Data de Vencimento;Tipo de Dívida;Nome do Contrato;Credor;Classificação do Credor;Mutuário;Tipo de Mutuário;Processo PGFN;Status;Data Limite da União;Data Regularização do Atraso;Moeda de Origem;Total no Vencimento (Moeda de Origem);Honra - Principal (Moeda de Origem);Honra - Juros/Encargos (Moeda de Origem);Honra - Mora (Moeda de Origem);Honra - Total (Moeda de Origem);Honra - Principal (R$);Honra Juros/Encargos (R$);Honra - Mora (R$);Honra - Total (R$);Ano Regularização;Mês Regularização;
27/04/2020;Interna;CAIXA - 20120842;Caixa Econômica Federal;Bancos Federais;Rio de Janeiro;Estados;17944.001300/2012-09;Honra de Aval;11/05/2020;30/04/2020;Real;13.283.333,60;5.730.751,34;8.065.554,75;28.933,89;13.825.239,98;5.730.751,34;8.065.554,75;28.933,89;13.825.239,98;2020;Abril;
15/04/2020;Externa;BID1990/OC-BR;BID;Organismos Multilaterais;Belford Roxo;Municípios;17944.001463/2007-16;Honra de Aval;15/05/2020;28/04/2020;Dólar;356.770,90;253.184,96;103.585,94;0,00;356.770,90;1.412.772,08;578.009,55;0,00;1.990.781,63;2020;Abril;
15/04/2020;Externa;BID2841/OC-BR;BID;Organismos Multilaterais;Bahia;Estados;17944.001253/2012-95;Honra de Aval;15/05/2020;28/04/2020;Dólar;21.080.987,61;13.050.000,00;8.030.987,61;0,00;21.080.987,61;72.943.400,00;44.855.334,81;0,00;117.798.734,81;2020;Abril;
15/04/2020;Interna;BNDES - 2012794;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Piauí;Estados;17944.001364/2012-00;Honra de Aval;04/05/2020;28/04/2020;Real;7.751.829,41;0,00;7.751.829,41;664.103,88;8.415.933,29;0,00;7.751.829,41;664.103,88;8.415.933,29;2020;Abril;
15/04/2020;Externa;BID2081/OC-BR;BID;Organismos Multilaterais;Bahia;Estados;17944.001659/2008-91;Honra de Aval;15/05/2020;28/04/2020;Dólar;17.266.418,78;13.633.333,33;3.633.085,45;0,00;17.266.418,78;76.116.461,84;20.278.352,12;0,00;96.394.813,96;2020;Abril;
15/04/2020;Externa;BID2752/OC-BR;BID;Organismos Multilaterais;Novo Hamburgo;Municípios;17944.000989/2011-65;Honra de Aval;15/05/2020;28/04/2020;Dólar;811.043,34;537.499,25;273.544,09;0,00;811.043,34;2.999.245,82;1.526.376,02;0,00;4.525.621,84;2020;Abril;
15/04/2020;Externa;BID1980/OC-BR;BID;Organismos Multilaterais;Goiânia;Municípios;17944.001017/2007-10;Honra de Aval;15/05/2020;28/04/2020;Dólar;2.141.281,43;1.522.089,84;619.191,59;0,00;2.141.281,43;8.495.544,44;3.455.284,83;0,00;11.950.829,27;2020;Abril;
15/04/2020;Externa;BID2151/OC-BR;BID;Organismos Multilaterais;Pernambuco;Estados;17944.001686/2008-64;Honra de Aval;15/05/2020;28/04/2020;Dólar;632.046,77;488.236,99;143.809,78;0,00;632.046,77;2.724.362,40;802.458,57;0,00;3.526.820,97;2020;Abril;
15/04/2020;Interna;BNDES - 2013871;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Pernambuco;Estados;17944.001368/2012-80;Honra de Aval;04/05/2020;27/04/2020;Real;6.204.147,27;5.286.092,61;918.054,66;466.464,60;6.670.611,87;5.286.092,61;918.054,66;466.464,60;6.670.611,87;2020;Abril;
15/04/2020;Interna;BNDES - 2009519;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Piauí;Estados;17944.001467/2009-66;Honra de Aval;04/05/2020;27/04/2020;Real;1.026.482,29;0,00;1.026.482,29;77.177,03;1.103.659,32;0,00;1.026.482,29;77.177,03;1.103.659,32;2020;Abril;
15/04/2020;Interna;BNDES - 2013874;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Mato Grosso do Sul;Estados;17944.000057/2013-84;Honra de Aval;04/05/2020;27/04/2020;Real;9.201.663,05;7.958.724,84;1.799.935,12;734.276,51;10.492.936,47;7.958.724,84;1.799.935,12;734.276,51;10.492.936,47;2020;Abril;
15/04/2020;Interna;BNDES - 2009517;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Pernambuco;Estados;17944.001555/2009-68;Honra de Aval;04/05/2020;27/04/2020;Real;1.639.552,01;0,00;1.639.552,01;123.271,25;1.762.823,26;0,00;1.639.552,01;123.271,25;1.762.823,26;2020;Abril;
15/04/2020;Externa;BIRD7682-BR;Banco Mundial;Organismos Multilaterais;Rio Grande;Municípios;17944.001516/2007-07;Honra de Aval;15/05/2020;24/04/2020;Dólar;301.760,22;257.290,13;43.916,91;553,18;301.760,22;1.435.678,93;245.056,36;3.086,74;1.683.822,03;2020;Abril;
