Relatório de Honras e Atrasos
Data de Emissão: 08/09/2021 14:17
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Status Atraso: Honra de Aval
Data Regularização Inicial: 01/01/2016
Data Regularização Final: 31/08/2021

Data de Vencimento;Tipo de Dívida;Nome do Contrato;Credor;Classificação do Credor;Mutuário;Tipo de Mutuário;Processo PGFN;Status;Data Limite da União;Data Regularização do Atraso;Moeda de Origem;Total no Vencimento (Moeda de Origem);Honra - Principal (Moeda de Origem);Honra - Juros/Encargos (Moeda de Origem);Honra - Mora (Moeda de Origem);Honra - Total (Moeda de Origem);Honra - Principal (R$);Honra Juros/Encargos (R$);Honra - Mora (R$);Honra - Total (R$);Ano Regularização;Mês Regularização;
15/08/2021;Externa;BIRD8191-BR;Banco Mundial;Organismos Multilaterais;Rio de Janeiro;Estados;17944.000492/2012-28;Honra de Aval;14/09/2021;30/08/2021;Dólar;2.805.332,50;1.500.000,00;1.304.557,50;775,00;2.805.332,50;7.809.000,00;6.791.526,35;4.034,65;14.604.561,00;2021;Agosto;
15/08/2021;Externa;BIRD8200-BR;Banco Mundial;Organismos Multilaterais;Rio de Janeiro;Estados;17944.000508/2012-01;Honra de Aval;14/09/2021;30/08/2021;Dólar;479.371,50;254.191,06;225.114,77;65,67;479.371,50;1.323.318,66;1.171.947,49;341,88;2.495.608,03;2021;Agosto;
15/08/2021;Externa;BIRD8307-BR;Banco Mundial;Organismos Multilaterais;Rio de Janeiro;Estados;17944.001228/2013-92;Honra de Aval;14/09/2021;30/08/2021;Dólar;2.337.916,67;0,00;2.337.916,67;0,00;2.337.916,67;0,00;12.171.194,18;0,00;12.171.194,18;2021;Agosto;
15/08/2021;Externa;BIRD7377-BR;Banco Mundial;Organismos Multilaterais;Minas Gerais;Estados;19405.000048/2005-14;Honra de Aval;14/09/2021;30/08/2021;Dólar;6.151.680,58;6.069.000,00;81.827,56;853,02;6.151.680,58;31.615.214,00;425.994,28;4.440,82;32.045.649,10;2021;Agosto;
25/08/2021;Interna;CAIXA - 20120842;Caixa Econômica Federal;Bancos Federais;Rio de Janeiro;Estados;17944.001300/2012-09;Honra de Aval;08/09/2021;27/08/2021;Real;14.489.485,48;6.834.530,69;7.654.954,79;315.653,42;14.805.138,90;6.834.530,69;7.654.954,79;315.653,42;14.805.138,90;2021;Agosto;
19/08/2021;Interna;CAIXA - 20120747;Caixa Econômica Federal;Bancos Federais;Rio de Janeiro;Estados;17944.001228/2011-21;Honra de Aval;01/09/2021;24/08/2021;Real;976.728,61;559.595,29;417.133,32;2.409,70;979.138,31;559.595,29;417.133,32;2.409,70;979.138,31;2021;Agosto;
19/08/2021;Interna;CAIXA - 20090492;Caixa Econômica Federal;Bancos Federais;Rio de Janeiro;Estados;17944.000599/2009-71;Honra de Aval;01/09/2021;24/08/2021;Real;2.656.031,20;1.507.142,39;1.148.888,81;6.552,71;2.662.583,91;1.507.142,39;1.148.888,81;6.552,71;2.662.583,91;2021;Agosto;
15/08/2021;Externa;BID2306/OC-BR;BID;Organismos Multilaterais;Minas Gerais;Estados;17944.001368/2009-84;Honra de Aval;14/09/2021;20/08/2021;Dólar;3.366.661,94;2.857.269,50;509.392,44;0,00;3.366.661,94;15.554.975,16;2.773.132,44;0,00;18.328.107,60;2021;Agosto;
16/08/2021;Interna;CAIXA - 20120856;Caixa Econômica Federal;Bancos Federais;Amapá;Estados;17944.001452/2012-01;Honra de Aval;09/09/2021;20/08/2021;Real;8.242.995,26;4.511.607,29;3.731.387,97;338.578,25;8.581.573,51;4.511.607,29;3.731.387,97;338.578,25;8.581.573,51;2021;Agosto;
15/08/2021;Interna;CAIXA - 20160011;Caixa Econômica Federal;Bancos Federais;Goiás;Estados;17944.000541/2016-56;Honra de Aval;09/09/2021;20/08/2021;Real;27.868.867,25;17.633.593,50;10.235.273,75;1.455.625,77;29.324.493,02;17.633.593,50;10.235.273,75;1.455.625,77;29.324.493,02;2021;Agosto;
16/08/2021;Interna;BNDES - 2013858;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Amapá;Estados;17944.001498/2012-12;Honra de Aval;30/08/2021;20/08/2021;Real;5.503.857,80;3.071.472,63;2.432.385,17;229.363,61;5.733.221,41;3.071.472,63;2.432.385,17;229.363,61;5.733.221,41;2021;Agosto;
16/08/2021;Interna;BNDES - 2013854;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Amapá;Estados;17944.000002/2013-74;Honra de Aval;30/08/2021;20/08/2021;Real;2.343.092,72;1.307.581,96;1.035.510,76;97.644,28;2.440.737,00;1.307.581,96;1.035.510,76;97.644,28;2.440.737,00;2021;Agosto;
16/08/2021;Interna;CAIXA - 20120818;Caixa Econômica Federal;Bancos Federais;Goiás;Estados;17944.001445/2012-00;Honra de Aval;30/08/2021;20/08/2021;Real;3.189.085,35;1.827.195,87;1.361.889,48;131.101,18;3.320.186,53;1.827.195,87;1.361.889,48;131.101,18;3.320.186,53;2021;Agosto;
16/08/2021;Interna;BNDES - 2013840;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio Grande do Norte;Estados;17944.000026/2013-23;Honra de Aval;30/08/2021;20/08/2021;Real;2.174.762,62;1.220.695,96;954.066,66;90.629,41;2.265.392,03;1.220.695,96;954.066,66;90.629,41;2.265.392,03;2021;Agosto;
16/08/2021;Interna;BB - 2013836;Banco do Brasil S/A;Bancos Federais;Rio Grande do Norte;Estados;17944.001447/2012-91;Honra de Aval;30/08/2021;20/08/2021;Real;2.817.216,03;1.578.732,74;1.238.483,29;37.920,00;2.855.136,03;1.578.732,74;1.238.483,29;37.920,00;2.855.136,03;2021;Agosto;
16/08/2021;Interna;CAIXA - 20110709;Caixa Econômica Federal;Bancos Federais;Goiás;Estados;17944.002004/2011-36;Honra de Aval;09/09/2021;20/08/2021;Real;27.626.124,78;15.411.178,48;12.214.946,30;1.134.733,77;28.760.858,55;15.411.178,48;12.214.946,30;1.134.733,77;28.760.858,55;2021;Agosto;
16/08/2021;Externa;CreditSuisse-MG/2012;Banco Suiço de Investimento - Credit Suisse;Credores Privados;Minas Gerais;Estados;17944.000458/2012-53;Honra de Aval;15/09/2021;19/08/2021;Dólar;23.573.489,53;0,00;23.590.077,41;0,00;23.590.077,41;0,00;128.555.921,88;0,00;128.555.921,88;2021;Agosto;
16/08/2021;Interna;BB - 2012769;Banco do Brasil S/A;Bancos Federais;Rio de Janeiro;Estados;17944.001308/2012-67;Honra de Aval;30/08/2021;19/08/2021;Real;7.737.985,05;4.356.281,35;3.381.703,70;77.964,56;7.815.949,61;4.356.281,35;3.381.703,70;77.964,56;7.815.949,61;2021;Agosto;
16/08/2021;Interna;BNDES - 2011684;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.001256/2010-67;Honra de Aval;30/08/2021;18/08/2021;Real;4.004.666,78;2.806.542,54;1.198.124,24;83.560,84;4.088.227,62;2.806.542,54;1.198.124,24;83.560,84;4.088.227,62;2021;Agosto;
16/08/2021;Interna;BNDES - 2013822;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Goiás;Estados;17944.001458/2012-71;Honra de Aval;30/08/2021;18/08/2021;Real;2.233.244,50;1.253.521,88;979.722,62;46.497,34;2.279.741,84;1.253.521,88;979.722,62;46.497,34;2.279.741,84;2021;Agosto;
16/08/2021;Interna;BNDES - 2012756;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Goiás;Estados;17944.001105/2012-71;Honra de Aval;08/09/2021;18/08/2021;Real;15.558.978,27;8.447.551,04;7.111.427,23;323.681,72;15.882.659,99;8.447.551,04;7.111.427,23;323.681,72;15.882.659,99;2021;Agosto;
16/08/2021;Interna;BNDES - 2012792;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Minas Gerais;Estados;17944.001163/2012-02;Honra de Aval;30/08/2021;18/08/2021;Real;3.219.551,98;2.799.357,26;420.194,72;67.032,79;3.286.584,77;2.799.357,26;420.194,72;67.032,79;3.286.584,77;2021;Agosto;
16/08/2021;Interna;BNDES - 2012788;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Minas Gerais;Estados;17944.001346/2012-10;Honra de Aval;08/09/2021;18/08/2021;Real;16.615.477,68;0,00;16.615.477,68;345.943,11;16.961.420,79;0,00;16.615.477,68;345.943,11;16.961.420,79;2021;Agosto;
16/08/2021;Interna;BNDES - 2014976;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.000487/2014-87;Honra de Aval;15/09/2021;18/08/2021;Real;22.682.629,59;11.357.790,55;11.326.955,50;470.838,61;23.155.584,66;11.357.790,55;11.326.955,50;470.838,61;23.155.584,66;2021;Agosto;
16/08/2021;Interna;BNDES - 2010554;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Minas Gerais;Estados;17944.000477/2010-18;Honra de Aval;30/08/2021;18/08/2021;Real;1.249.531,23;0,00;1.249.531,23;26.015,91;1.275.547,14;0,00;1.249.531,23;26.015,91;1.275.547,14;2021;Agosto;
16/08/2021;Interna;BNDES - 2016004;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.000158/2016-06;Honra de Aval;08/09/2021;18/08/2021;Real;3.037.350,73;1.727.157,95;1.310.692,55;33.105,99;3.070.956,49;1.727.157,95;1.310.692,55;33.105,99;3.070.956,49;2021;Agosto;
16/08/2021;Interna;BNDES - 2013848;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.000161/2013-79;Honra de Aval;30/08/2021;18/08/2021;Real;24.322.165,17;10.057.862,78;14.264.302,39;506.400,45;24.828.565,62;10.057.862,78;14.264.302,39;506.400,45;24.828.565,62;2021;Agosto;
09/08/2021;Interna;BB - 2013889;Banco do Brasil S/A;Bancos Federais;Goiás;Estados;17944.000453/2013-10;Honra de Aval;23/08/2021;12/08/2021;Real;174.892.066,69;107.725.234,28;67.166.832,41;1.724.361,32;176.616.428,01;107.725.234,28;67.166.832,41;1.724.361,32;176.616.428,01;2021;Agosto;
28/07/2021;Externa;BID1037/OC-BR;BID;Organismos Multilaterais;Rio de Janeiro;Estados;00109.510006/5497-35;Honra de Aval;27/08/2021;03/08/2021;Dólar;5.287.640,33;4.551.710,98;735.929,35;0,00;5.287.640,33;23.943.930,93;3.862.893,16;0,00;27.806.824,09;2021;Agosto;
25/07/2021;Interna;CAIXA - 20120842;Caixa Econômica Federal;Bancos Federais;Rio de Janeiro;Estados;17944.001300/2012-09;Honra de Aval;09/08/2021;29/07/2021;Real;14.326.723,55;6.720.793,32;7.605.930,23;612.421,20;14.939.144,75;6.720.793,32;7.605.930,23;612.421,20;14.939.144,75;2021;Julho;
26/07/2021;Interna;BB - 2013898;Banco do Brasil S/A;Bancos Federais;Minas Gerais;Estados;17944.000208/2013-02;Honra de Aval;09/08/2021;28/07/2021;Real;141.973.923,72;89.292.043,85;52.681.879,87;1.386.171,26;143.360.094,98;89.292.043,85;52.681.879,87;1.386.171,26;143.360.094,98;2021;Julho;
15/07/2021;Interna;BNDES - 2016004;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.000158/2016-06;Honra de Aval;13/08/2021;27/07/2021;Real;4.452,28;4.452,95;0,00;1,16;4.454,11;4.452,95;0,00;1,16;4.454,11;2021;Julho;
15/07/2021;Interna;BNDES - 2014976;Banco Nacional de Desenvolvimento Econômico e Social;Bancos Federais;Rio de Janeiro;Estados;17944.000487/2014-87;Honra de Aval;16/08/2021;27/07/2021;Real;19.034,39;19.038,21;0,00;4,97;19.043,18;19.038,21;0,00;4,97;19.043,18;2021;Julho;
19/07/2021;Interna;CAIXA - 20120747;Caixa Econômica Federal;Bancos Federais;Rio de Janeiro;Estados;17944.001228/2011-21;Honra de Aval;02/08/2021;23/07/2021;Real;977.601,82;558.722,09;418.879,73;1.929,26;979.531,08;558.722,09;418.879,73;1.929,26;979.531,08;2021;Julho;
19/07/2021;Interna;CAIXA - 20090492;Caixa Econômica Federal;Bancos Federais;Rio de Janeiro;Estados;17944.000599/2009-71;Honra de Aval;02/08/2021;23/07/2021;Real;2.657.122,11;1.501.687,73;1.155.434,38;5.243,74;2.662.365,85;1.501.687,73;1.155.434,38;5.243,74;2.662.365,85;2021;Julho;
15/07/2021;Interna;CAIXA - 20120856;Caixa Econômica Federal;Bancos Federais;Amapá;Estados;17944.001452/2012-01;Honra de Aval;09/08/2021;21/07/2021;Real;7.866.438,47;4.511.607,29;3.354.831,18;327.338,24;8.193.776,71;4.511.607,29;3.354.831,18;327.338,24;8.193.776,71;2021;Julho;
