Exercício: 2019
Período: 3o. quadrimestre
Escopo: Estados/DF
Anexo 02 - Demonstrativo da Dívida Consolidada Líquida
Tabela: Dívida Consolidada Líquida
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Valor
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"DÍVIDA CONSOLIDADA - DC (I)";311794212065,99
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Contratual";288291787329,28
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Empréstimos";286936683973,81
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Internos";263112508007,42
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Externos";23824175966,39
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Parcelamento e Renegociação de Dívidas";1355103355,47
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"De Tributos";35447550,02
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"De Contribuições Previdenciárias";1319655805,45
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Precatórios Posteriores a 05/05/2000 (inclusive) Vencidos e Não Pagos";23494456243,32
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Outras Dívidas";7968493,39
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"DEDUÇÕES (II)";32121876877,69
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Disponibilidade de Caixa";15244905266,00
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Disponibilidade de Caixa Bruta";26607249330,84
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"(-) Restos a Pagar Processados";11362344064,84
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Demais Haveres Financeiros";16876971611,69
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II)";279672335188,3
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"RECEITA CORRENTE LÍQUIDA - RCL";159210706095,47
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"% da DC sobre a RCL (I/RCL)";195,84
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"% da DCL sobre a RCL (III/RCL)";175,66
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL";318421412190,94
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF)";286579270971,85
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Precatórios Anteriores a 05/05/2000";188073692,99
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Passivo Atuarial";839031889732,00
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Depósitos e Consignações Sem Contrapartida";13193795270,00
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"RP Não-Processados";3006254727,69
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Dívida Contratual de PPP";924755671,87
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"SALDO DO EXERCÍCIO ANTERIOR";"Apropriação de Depósitos Judiciais - LC 151/2015";6605710733,2
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"DÍVIDA CONSOLIDADA - DC (I)";313564053226,32
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"Dívida Contratual";288117932722,66
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"Empréstimos";286816841190,28
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"Internos";262990680627,44
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"Externos";23826160562,84
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"Parcelamento e Renegociação de Dívidas";1301091532,38
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"De Tributos";34051879,16
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"De Contribuições Previdenciárias";1267039653,22
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"Precatórios Posteriores a 05/05/2000 (inclusive) Vencidos e Não Pagos";25438626678,32
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"Outras Dívidas";7493825,34
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"DEDUÇÕES (II)";43712772649,87
Governo do Estado de São Paulo;35;SP;Executivo;45538936;"Até o 1º Quadrimestre";"Disponibilidade de Caixa";27963849354,82
