Relatório de Atm Garantias;;
Data de Emissão: 11/05/2021 12:54;;
Tipo de Dívida: Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Data de Referência: 30/04/2021;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;
Cenário: Não Informado;;
Tipo de Cálculo: Valor Corrente;;
Tipo Atm: Tipo de Mutuário;;
;;
Agrupador;ATM (anos);Valor Financeiro Principal (R$)
Garantia Total;7,877108859;190.726.091.249,06
Estados;7,838618647;137.887.610.117,80
Acre;8,82932854;2.381.144.289,38
Alagoas;7,276839326;2.015.533.894,76
Amazonas;7,561720309;4.946.590.755,11
Bahia;8,45211742;13.100.085.066,93
Ceará;8,301893381;9.856.340.423,35
Distrito Federal;5,85227588;1.192.447.616,59
Espírito Santo;8,073812688;1.476.870.046,70
Goiás;6,213356222;48.231.302,50
Maranhão;1,724104813;1.435.623.968,58
Mato Grosso;8,735286139;1.298.360.450,88
Mato Grosso do Sul;7,279582843;1.618.019.191,08
Minas Gerais;6,910626865;15.198.448.538,63
Paraná;7,270262499;3.203.268.763,02
Paraíba;4,206323749;449.736.103,04
Pará;7,353635234;1.808.003.705,26
Pernambuco;8,916382215;9.568.755.284,56
Piauí;6,272634356;3.068.730.120,24
Rio Grande do Norte;10,57076388;1.466.753.958,77
Rio Grande do Sul;7,809386355;10.870.398.610,29
Rio de Janeiro;8,771940869;16.292.522.847,88
Rondônia;5,546277478;26.015.638,47
Santa Catarina;4,771685677;3.334.457.767,11
Sergipe;9,546166684;1.214.743.539,12
São Paulo;7,884459736;30.602.014.131,63
Tocantins;7,13105054;1.414.514.103,90
Municípios;7,885920703;21.064.835.900,80
Alagoinhas;5,552829025;59.552.174,98
Aparecida de Goiânia;4,068912073;124.688.070,16
Aracaju;7,86410833;103.073.604,94
Araguaína;8,922602784;42.144.419,28
Bagé;3,634943911;16.444.924,10
Belford Roxo;6,713698592;35.570.866,28
Belo Horizonte;8,003190317;1.621.066.643,44
Belém;6,977330697;278.127.373,29
Betim;0,54669143;9.391.708,23
Blumenau;8,172260252;269.411.851,13
Cachoeirinha;3,975525099;24.903.142,71
Camaçari;8,380684932;161.389.612,99
Campinas;0,628767108;7.067.347,37
Campo Grande;8,372586185;214.250.055,38
Canoas;2,656039847;165.109.999,92
Cascavel;8,965244612;136.510.017,61
Catanduva;7,464147378;33.060.710,79
Caucaia;8,221668744;286.359.190,24
Caxias do Sul;5,125792826;145.955.340,57
Chapecó;3,614794478;39.857.796,62
Colatina;8,464923361;44.198.747,71
Contagem;9,23835614;57.062.486,49
Corumbá;7,311301385;141.161.116,60
Criciúma;8,795172808;33.792.145,92
Curitiba;5,964182014;473.673.965,44
Florianópolis;8,401948895;289.712.542,60
Fortaleza;7,659777155;1.800.225.383,94
Goiânia;6,713698608;213.843.880,39
Guarulhos;11,19915701;18.097.119,70
Hortolândia;4,659521381;152.413.623,98
Itajaí;7,130510582;92.429.357,79
Jacareí;9,295018662;30.800.520,00
Joinville;7,295417221;224.049.525,92
João Pessoa;12,63480283;6.428.500,81
Maceió;7,896347055;106.225.914,10
Manaus;8,52756871;1.281.011.102,42
Maracanaú;12,55308219;29.719.800,00
Maringá;7,213992172;38.494.144,71
Mogi das Cruzes;11,12044213;4.593.060,00
Niterói;5,390807031;418.152.980,67
Novo Hamburgo;8,464923272;95.846.222,07
Palmas;7,418555382;80.049.454,55
Paranaguá;7,71433784;58.959.403,74
Parauapebas;14,71917811;83.421.557,73
Passo Fundo;7,213992093;36.945.893,79
Pelotas;1,456445669;25.597.769,27
Ponta Grossa;7,213992056;28.287.053,35
Ponta Porã;8,464970495;14.319.540,00
Porto Alegre;6,060907823;567.301.131,30
Recife;8,409170971;599.635.173,75
Rio Grande;2,714304616;13.923.627,36
Rio de Janeiro;8,606080202;5.627.083.696,26
Salvador;13,31088804;770.995.316,50
Santa Maria;2,871894463;27.880.276,61
Santo André;11,55703498;79.288.642,58
Santos;9,382398652;90.769.498,48
Sobral;8,296886682;77.762.224,14
Sorocaba;5,574841107;18.090.894,60
São Bernardo do Campo;7,211289183;1.738.167.894,33
São Gonçalo do Amarante;9,048662746;37.846.814,40
São José dos Campos;5,306197003;332.507.526,52
São Luís;9,262870856;158.490.013,14
São Paulo;6,167080637;462.873.125,97
Taubaté;3,84109589;324.216.000,00
Teresina;8,748489672;248.368.753,93
Toledo;5,772536607;70.946.003,35
Uberaba;1,622473787;21.559.168,45
Uruguaiana;3,634944016;6.825.987,57
Vila Velha;8,38147421;11.702.036,16
Vitória;6,306251392;125.154.431,70
Bancos Federais;8,103681703;18.979.232.454,84
BNDES;8,046287339;17.899.425.000,00
Banco do Brasil;14,30239726;540.360.000,00
Banco do Nordeste;3,39220047;465.562.892,09
CAIXA;6,36149127;73.884.562,74
Entidades Estaduais Controladas;7,476895343;9.872.025.882,01
CAESB-DF;9,132321373;703.137.450,44
CAGECE-CE;4,481385979;235.617.104,95
CASAN-SC;3,769796639;257.951.368,54
CEEE-D-RS;7,90371341;935.041.115,76
CEEE-GT-RS;8,140295276;655.595.784,71
CELESC-SC;12,71780822;990.644.406,33
COPASA-MG;1,390410959;216.737.721,63
SABESP-SP;6,812598881;5.786.765.095,97
SANEAGO-GO;3,450368795;90.535.833,69
Estatais Federais;9,51017219;2.922.386.893,61
ELETROBRÁS;4,376777141;675.249.249,65
FINEP;12,46815068;1.798.426.873,60
Furnas Centrais Elétricas;5,379701116;448.710.770,37
