Relatório de Atm Garantias;;
Data de Emissão: 11/05/2021 12:46;;
Tipo de Dívida: Interna - Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Data de Referência: 30/04/2021;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;
Cenário: Não Informado;;
Tipo de Cálculo: Valor Corrente;;
Tipo Atm: Tipo de Mutuário;;
;;
Agrupador;ATM (anos);Valor Financeiro Principal (R$)
Garantia Total;7,483785154;303.776.426.744,74
Estados;7,519227225;234.314.395.427,46
Acre;8,917896621;2.993.978.401,89
Alagoas;7,429366129;3.136.355.173,41
Amapá;6,838982949;1.454.617.362,02
Amazonas;6,801177754;6.882.354.460,79
Bahia;8,244704163;17.107.757.092,66
Ceará;7,786767011;14.252.175.678,52
Distrito Federal;5,50711772;2.662.838.379,71
Espírito Santo;7,717622331;5.337.767.859,63
Goiás;6,08219273;9.122.057.304,43
Maranhão;5,040660847;4.869.318.452,30
Mato Grosso;7,120621002;3.026.149.050,43
Mato Grosso do Sul;7,107030051;2.286.026.485,68
Minas Gerais;6,776605025;25.911.389.188,98
Paraná;7,520609854;5.011.803.286,14
Paraíba;7,306550391;1.498.446.459,84
Pará;6,290469661;3.219.789.156,85
Pernambuco;8,793428042;11.202.104.725,78
Piauí;6,732122466;4.893.355.891,95
Rio Grande do Norte;9,452009721;1.930.690.280,60
Rio Grande do Sul;7,744534967;12.239.814.838,80
Rio de Janeiro;8,188776639;38.030.371.325,91
Rondônia;5,713652155;290.622.176,09
Roraima;6,57537063;679.387.688,49
Santa Catarina;6,384606134;10.503.892.365,03
Sergipe;8,875956891;1.892.698.529,18
São Paulo;7,794097617;41.202.560.106,39
Tocantins;6,679518466;2.676.073.705,94
Municípios;7,070298819;28.500.823.657,04
Abdon Batista;4,722932204;1.878.097,10
Abelardo Luz;4,803831669;400.000,00
Alagoinhas;5,552829025;59.552.174,98
Alto Feliz;11,34127279;1.657.875,14
Aparecida de Goiânia;4,068912073;124.688.070,16
Aquidauana;11,46433752;13.715.707,73
Aracaju;7,86410833;103.073.604,94
Aracati;4,608041603;23.544.000,00
Araguaína;8,922602784;42.144.419,28
Araquari;11,54096647;7.817.082,26
Bagé;3,634943911;16.444.924,10
Barracão;4,194547505;3.146.598,15
Barrocas;3,958125451;4.492.704,37
Belford Roxo;6,713698592;35.570.866,28
Belo Horizonte;7,51243612;1.807.784.199,57
Belém;6,977330697;278.127.373,29
Betim;0,54669143;9.391.708,23
Blumenau;8,172260252;269.411.851,13
Boa Vista;4,005565057;27.778.572,38
Bom Jesus;11,41788453;1.735.872,73
Caarapó;11,24752294;1.558.368,65
Cachoeirinha;3,975525099;24.903.142,71
Camaçari;8,380684932;161.389.612,99
Camboriú;4,761136436;13.300.000,00
Camocim;4,637062377;18.467.293,52
Campinas;0,628767108;7.067.347,37
Campinas das Missões;11,36637212;797.468,89
Campo Grande;8,372586185;214.250.055,38
Candeias;4,486428202;3.188.187,54
Canoas;2,656039847;165.109.999,92
Capinzal;12,21401148;248.813,98
Capitólio;4,26912096;2.152.260,98
Carandaí;4,764104401;5.390.000,00
Cariacica;4,060641141;38.791.681,13
Cascavel;8,254392932;164.510.017,61
Castro;11,87891426;6.110.725,35
Catanduva;7,464147378;33.060.710,79
Caucaia;8,221668744;286.359.190,24
Caxias do Sul;5,063725278;167.972.519,69
Chapecó;3,614794478;39.857.796,62
Colatina;8,464923361;44.198.747,71
Concórdia;11,36612484;4.153.289,53
Contagem;9,23835614;57.062.486,49
Correia Pinto;12,38900771;398.287,64
Corumbá;7,311301385;141.161.116,60
Costa Rica;11,6276397;8.380.038,84
Cotiporã;11,20121638;2.042.898,41
Criciúma;7,209470595;53.231.975,19
Crucilândia;4,833738785;600.000,00
Curitiba;5,770884364;556.611.508,82
Doutor Pedrinho;4,01623853;2.086.802,85
Entre Rios;11,41514387;798.655,26
Florianópolis;8,401948895;289.712.542,60
Fortaleza;7,432324082;2.173.599.819,23
Garça;11,24292014;2.255.624,68
Goioerê;4,686098697;1.919.976,65
Goiânia;5,579820179;644.651.214,61
Guarda-Mor;4,069406285;4.017.500,00
Guarulhos;11,19915701;18.097.119,70
Gurupi;10,41501873;14.246.500,72
Hortolândia;4,659521381;152.413.623,98
Itajaí;7,130510582;92.429.357,79
Itapipoca;4,639599163;24.745.871,25
Itatiaia;3,663502917;15.010.000,00
Ituiutaba;3,977796776;16.000.000,00
Itá;8,15669478;2.085.410,24
Ivinhema;11,51839384;5.080.183,90
Jacareí;9,295018662;30.800.520,00
Jaguaré;4,230764914;3.552.449,36
Jandira;4,809107104;11.438.930,42
Jaquirana;11,31490483;1.685.722,33
Jaraguá do Sul;4,680745824;35.000.000,00
Jiquiriçá;3,972460125;5.225.000,00
Joinville;6,930778426;253.517.022,02
João Pessoa;12,63480283;6.428.500,81
Lapão;4,305964603;4.627.808,63
Linhares;3,585551202;81.681.485,60
Maceió;7,896347055;106.225.914,10
Manaus;6,732076565;2.238.527.985,23
Maracanaú;12,55308219;29.719.800,00
Maratá;4,666920416;1.212.599,18
Maringá;6,754133079;47.019.708,32
Massaranduba;11,28543109;4.263.957,97
Mauá;8,154125376;553.386.364,04
Mineiros;11,3718489;11.840.755,91
Mogi das Cruzes;4,730409997;28.593.060,00
Monte Castelo;4,74778007;13.270,00
Morro Grande;10,90706652;2.059.465,86
Morro da Fumaça;11,05028998;3.747.029,52
Muriaé;3,977274702;41.543.743,33
Natal;7,700203757;204.641.028,11
Niterói;5,390807031;418.152.980,67
Nova Alvorada do Sul;9,625586054;7.366.520,61
Nova Santa Rita;4,750354632;1.150.674,98
Novo Hamburgo;8,464923272;95.846.222,07
Osasco;4,586301371;212.983.576,27
Ouro Preto;4,8872146;45.000.000,00
Palmas;7,418555382;80.049.454,55
Panambi;11,3838884;9.607.959,02
Paranaguá;7,12098506;73.959.403,74
Paranavaí;4,761137335;652.682,00
Paranã;4,430565177;3.800.000,00
Parauapebas;14,71917811;83.421.557,73
Paraíso das Águas;11,18751712;4.808.230,70
Passo Fundo;7,213992093;36.945.893,79
Passos Maia;11,39650737;2.026.082,60
Paty do Alferes;4,655935789;1.500.000,00
Pelotas;1,456445669;25.597.769,27
Pinhalzinho;4,702587396;4.500.000,00
Pinheiro Preto;4,505910735;1.451.607,49
Piraquara;4,139178064;21.470.357,88
Piripiri;4,822704364;1.666.738,55
Pojuca;4,26081621;3.399.000,00
Pomerode;4,007962307;12.908.999,60
Ponta Grossa;7,213992056;28.287.053,35
Ponta Porã;10,04698953;28.371.893,34
Ponte Nova;3,977796881;3.417.224,72
Ponte Serrada;4,551039932;2.850.000,00
Porto Alegre;5,298856508;683.767.589,18
Prudentópolis;11,57558509;10.220.684,81
Recife;8,409170971;599.635.173,75
Ribeirão Preto;8,616389085;165.172.571,66
Rio Branco;3,898690539;34.808.454,05
Rio Grande;2,714304616;13.923.627,36
Rio Paranaíba;4,308762243;500.000,00
Rio de Janeiro;7,265076032;7.710.379.941,25
Roca Sales;4,466726661;2.348.123,83
Salvador;12,78779244;820.931.251,96
Salvador do Sul;11,75853502;75.304,80
Santa Helena;4,591756422;613.968,37
Santa Maria;2,871894463;27.880.276,61
Santa Rosa;3,585551252;7.000.000,00
Santa Vitória;11,14996291;181.925,63
Santo André;11,30884555;82.113.068,58
Santos;9,382398652;90.769.498,48
Schroeder;11,46399333;4.380.237,66
Serafina Corrêa;11,90905196;868.075,84
Serra;2,915733853;121.532.750,30
Sete Lagoas;8,617192821;42.368.878,74
Sobral;8,296886682;77.762.224,14
Sonora;11,19573527;2.293.574,85
Sorocaba;5,595543768;18.183.378,35
Suzano;4,788736693;29.158.894,53
São Bernardo do Campo;7,01611499;1.877.785.811,58
São Caetano do Sul;4,655936056;33.305.915,53
São Gabriel do Oeste;11,52661199;2.701.424,00
São Gonçalo do Amarante;9,048662746;37.846.814,40
São José dos Campos;5,306197003;332.507.526,52
São Luís;9,262870856;158.490.013,14
São Paulo;4,456700891;1.112.715.804,96
Tanguá;4,347231765;14.607.778,73
Tapejara;9,709451508;11.388.022,54
Taubaté;3,84109589;324.216.000,00
Teresina;7,650654784;331.159.478,26
Timbó;9,285081627;10.823.989,82
Tio Hugo;11,51330965;722.544,15
Toledo;5,759145594;71.946.003,35
Ubaíra;3,991609531;7.600.000,00
Uberaba;1,622473787;21.559.168,45
Uruguaiana;3,634944016;6.825.987,57
Vale Real;11,45350328;1.884.442,69
Vargeão;4,766793035;1.003.382,50
Vila Velha;8,38147421;11.702.036,16
Vitória;6,306251392;125.154.431,70
Viçosa;4,141952152;2.707.022,48
Votuporanga;3,282156639;18.571.428,56
Água Doce;4,4260145;4.953.703,70
Bancos Federais;7,496110484;23.492.926.200,19
BNDES;8,046287339;17.899.425.000,00
Banco do Brasil;12,37660948;636.805.926,65
Banco do Nordeste;3,39220047;465.562.892,09
CAIXA;5,036786;4.491.132.381,44
Entidades Estaduais Controladas;7,476895343;9.872.025.882,01
CAESB-DF;9,132321373;703.137.450,44
CAGECE-CE;4,481385979;235.617.104,95
CASAN-SC;3,769796639;257.951.368,54
CEEE-D-RS;7,90371341;935.041.115,76
CEEE-GT-RS;8,140295276;655.595.784,71
CELESC-SC;12,71780822;990.644.406,33
COPASA-MG;1,390410959;216.737.721,63
SABESP-SP;6,812598881;5.786.765.095,97
SANEAGO-GO;3,450368795;90.535.833,69
Estatais Federais;7,912755968;7.596.255.578,04
ELETROBRÁS;1,846844188;2.282.549.250,20
ELETRONUCLEAR;10,12689425;3.066.568.683,88
FINEP;12,46815068;1.798.426.873,60
Furnas Centrais Elétricas;5,379701116;448.710.770,37
