Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2021 12:15;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2021;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
AFD CBR 1031;TA601047;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,78%;2.313.899,26;29.482,93;2.343.382,19;2.784.083,59;35.473,86;2.819.557,45;15.044.074,08;191.686,56;15.235.760,64
AFD CBR 1031;TA601047;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,36%;2.300.000,00;14.336,67;2.314.336,67;2.767.360,00;17.249,88;2.784.609,88;14.953.706,50;93.211,46;15.046.917,95
AFD CBR 1031;TA601047;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,21%;2.641.067,36;14.646,92;2.655.714,28;3.177.732,25;17.623,17;3.195.355,42;17.171.193,97;95.228,58;17.266.422,56
AFD CBR 1042;TA621694;12246;Externa;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;216.975.000,00;0;216.975.000,00;216.975.000,00;0;216.975.000,00;1.172.446.110,00;0;1.172.446.110,00
AFD CBR 1042;TA621694;12246;Externa;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,09%;108.487.500,00;0;108.487.500,00;108.487.500,00;0;108.487.500,00;586.223.055,00;0;586.223.055,00
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,39%;6.934.210,53;76.948,55;7.011.159,08;6.934.210,53;76.948,55;7.011.159,08;37.469.700,02;415.799,18;37.885.499,20
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;5,09%;8.022.926,28;103.226,09;8.126.152,37;8.022.926,28;103.226,09;8.126.152,37;43.352.684,45;557.792,50;43.910.476,95
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,24%;15.518.973,44;166.328,91;15.685.302,35;15.518.973,44;166.328,91;15.685.302,35;83.858.324,88;898.774,90;84.757.099,78
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,95%;6.310.420,85;78.959,14;6.389.379,99;6.310.420,85;78.959,14;6.389.379,99;34.098.990,11;426.663,61;34.525.653,71
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,94%;6.200.000,00;77.420,78;6.277.420,78;6.200.000,00;77.420,78;6.277.420,78;33.502.320,00;418.350,93;33.920.670,93
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;3.968.038,73;42.628,86;4.010.667,59;3.968.038,73;42.628,86;4.010.667,59;21.441.694,08;230.349,31;21.672.043,39
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,33%;21.628.808,40;80.645,42;21.709.453,82;21.628.808,40;80.645,42;21.709.453,82;116.873.429,07;435.775,59;117.309.204,66
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,02%;18.896.859,39;65.414,63;18.962.274,02;18.896.859,39;65.414,63;18.962.274,02;102.111.069,40;353.474,49;102.464.543,89
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,81%;10.405.402,94;43.098,60;10.448.501,54;10.405.402,94;43.098,60;10.448.501,54;56.226.635,33;232.887,59;56.459.522,92
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,70%;11.283.407,40;45.666,46;11.329.073,86;11.283.407,40;45.666,46;11.329.073,86;60.971.020,23;246.763,28;61.217.783,51
AFD CBR 1045;TA612684;12241;Externa;CEEE-D-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;6.646.901,38;24.325,81;6.671.227,19;6.646.901,38;24.325,81;6.671.227,19;35.917.196,30;131.446,95;36.048.643,24
AFD CBR 1046;TA630381;12247;Externa;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,21%;240.000.000,00;3.167.200,00;243.167.200,00;288.768.000,00;3.810.775,04;292.578.775,04;1.560.386.764,80;20.591.904,01;1.580.978.668,81
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,31%;17.333.333,32;16.683,33;17.350.016,65;20.855.466,65;20.073,38;20.875.540,03;112.694.599,59;108.468,53;112.803.068,12
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;3,10%;86.666.666,68;111.944,44;86.778.611,12;104.277.333,35;134.691,55;104.412.024,90;563.472.998,49;727.819,26;564.200.817,75
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,60%;86.666.666,68;93.888,89;86.760.555,57;104.277.333,35;112.967,11;104.390.300,46;563.472.998,49;610.429,09;564.083.427,58
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,38%;43.333.333,32;42.972,22;43.376.305,54;52.138.666,65;51.704,18;52.190.370,83;281.736.499,11;279.388,68;282.015.887,79
AFD CBR 1049;TA661512;12251;Externa;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,27%;26.000.000,00;24.591,67;26.024.591,67;31.283.200,00;29.588,70;31.312.788,70;169.041.899,52;159.885,48;169.201.785,00
AFD CBR 1070 01K;TB035996;13082;Externa;Curitiba;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;EUR;;Pós-fixado;100% EURIBOR6m + 1,38%;5.141.124,00;4.292,84;5.145.416,84;6.185.800,40;5.165,15;6.190.965,54;33.425.591,02;27.910,38;33.453.501,40
