Relatório de Atm Garantias
Data de Emissão: 13/01/2022 08:02
Tipo de Dívida: Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Atm: Tipo de Mutuário

Agrupador;ATM (anos);Valor Financeiro Principal (R$);
Garantia Total;7,624461282658405;190.130.464.709,11;
Estados;7,588294603049642;137.035.605.173,59;
Acre;8,659808992024236;2.382.806.518,01;
Alagoas;6,827390686760135;2.017.347.048,69;
Amazonas;7,224643495713393;4.895.615.426,90;
Bahia;8,152156835864998;13.435.670.738,54;
Ceará;7,97317696948784;10.154.901.702,25;
Distrito Federal;5,639945855032045;1.150.338.594,47;
Espírito Santo;7,988548404742454;1.531.268.049,19;
Goiás;5,792257353657493;47.734.843,58;
Maranhão;1,644107223464634;1.256.250.481,48;
Mato Grosso;8,412083819390841;1.287.496.624,20;
Mato Grosso do Sul;7,07758450998571;1.637.135.760,33;
Minas Gerais;6,437465605699293;15.156.952.585,60;
Paraná;7,467939802378853;3.627.911.762,99;
Paraíba;4,174871479699536;455.473.885,89;
Pará;6,748830588307342;1.718.376.120,73;
Pernambuco;8,937311151515726;9.236.671.107,18;
Piauí;5,833631173153166;2.978.725.937,32;
Rio Grande do Norte;10,53589384363495;1.520.657.246,51;
Rio Grande do Sul;7,427724886768735;10.869.265.673,43;
Rio de Janeiro;8,449391459670493;16.156.298.384,26;
Rondônia;5,375342398454832;24.531.034,59;
Santa Catarina;5,303483224974206;2.700.285.867,36;
Sergipe;9,244533195704412;1.205.570.588,97;
São Paulo;7,595990117608782;30.051.202.431,54;
Tocantins;7,083926830943861;1.537.116.759,58;
Municípios;7,650472801903835;22.351.792.662,53;
Alagoinhas;5,381996046915281;56.153.781,16;
Aparecida de Goiânia;4,744584497318223;165.275.808,61;
Aracaju;7,804592599601856;110.237.656,85;
Araguaína;8,251369856539711;97.815.046,21;
Bagé;3,213661462283008;15.772.793,26;
Belford Roxo;6,292602702335566;35.322.466,53;
Belo Horizonte;7,87547021812733;1.652.318.372,93;
Belém;6,790122948437151;267.608.729,47;
Betim;0,126027397260274;4.878.174,32;
Blumenau;7,751126801087089;269.536.963,09;
Cachoeirinha;3,554403116204527;24.003.847,17;
Camaçari;7,709452046641088;198.110.352,46;
Campinas;0,205479452054794;3.649.356,87;
Campo Grande;8,152479095631877;237.810.057,86;
Canoas;2,484322675692748;139.512.499,88;
Cascavel;8,544157930516312;136.951.033,61;
Catanduva;7,043052837573385;32.965.687,72;
Caucaia;7,550435867457985;295.733.855,45;
Caxias do Sul;4,979730900848218;144.036.943,62;
Chapecó;3,443835574352865;35.674.286,72;
Colatina;8,043835774146307;44.262.498,18;
Contagem;8,56712326271686;58.930.565,92;
Corumbá;6,640068498335735;188.578.900,01;
Criciúma;8,123940033577159;59.040.109,30;
Curitiba;5,77685301598415;449.982.343,68;
Florianópolis;8,178615982860785;283.342.043,60;
Fortaleza;7,463559407471766;1.918.147.852,04;
Goiânia;6,292602717674922;212.350.557,97;
Guarulhos;10,52792413066386;18.689.572,98;
Hortolândia;4,329326053311021;202.481.603,79;
Itajaí;6,459277710381834;176.264.627,94;
Jacareí;8,623785742648411;48.550.350,08;
Joinville;7,042514591744088;227.531.242,33;
João Pessoa;11,96356916900408;41.853.750,10;
Maceió;7,225114155251141;156.820.945,20;
Manaus;8,2269486048474;1.286.260.131,54;
Maracanaú;11,88184931506849;30.692.750,00;
Maringá;6,792897006595636;38.334.546,27;
Mogi das Cruzes;10,44920924607544;4.743.425,10;
Niterói;5,087356267516212;436.260.445,34;
Novo Hamburgo;8,043835684315776;95.984.466,76;
Palmas;6,747322549355245;130.104.318,30;
Paranaguá;7,293245098733848;58.859.930,41;
Parauapebas;14,04794517069747;103.786.619,53;
Passo Fundo;6,792896928827057;36.792.714,34;
Pelotas;1,035774634269217;22.016.340,38;
Ponta Grossa;6,792896891170617;28.169.773,96;
Ponta Porã;7,793737797076804;39.318.207,61;
Porto Alegre;5,625660841906238;594.322.119,93;
Recife;8,227941409299693;583.649.831,31;
Rio Grande;2,293105991484146;12.943.643,62;
Rio de Janeiro;8,251471352378562;5.596.477.266,79;
Salvador;12,86250168112341;1.062.391.685,60;
Santa Maria;2,450680139372661;26.169.379,48;
Santo André;10,61985845821529;106.996.599,43;
Santos;8,961274489515118;91.207.626,95;
Sobral;7,625653802944468;123.277.809,93;
Sorocaba;5,026883578522923;48.892.673,34;
São Bernardo do Campo;6,832841801893686;1.824.762.109,21;
São Gonçalo do Amarante;8,377429856996581;89.187.600,05;
São José dos Campos;4,885205483519176;327.040.923,68;
São Luís;8,894983067006872;158.324.235,10;
São Paulo;7,04690901300276;541.070.219,54;
Taubaté;3,16986301369863;334.830.000,00;
Teresina;8,268289815694576;262.238.670,35;
Toledo;5,527938337039352;65.403.434,95;
Uberaba;1,201077806955404;18.542.230,74;
Uruguaiana;3,213661564655964;6.546.998,37;
