Relatório de Atm Garantias;;
Data de Emissão: 11/05/2022 09:56;;
Tipo de Dívida: Interna;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Posição: Estatística;;
Mês de Referência: 04/2022;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;
Tipo de Cálculo: Valor Corrente;;
Tipo Atm: Tipo de Mutuário;;
;;
Agrupador;ATM (anos);Valor Financeiro Principal (R$)
Garantia Total;6,500520599;111.551.501.910,83
Estados;6,68543341;96.063.326.324,74
Acre;8,913291463;631.463.384,38
Alagoas;7,321044812;1.170.553.714,41
Amapá;6,436203555;1.460.127.287,79
Amazonas;4,739445559;2.852.692.448,28
Bahia;7,371656485;3.795.470.330,11
Ceará;6,235844948;5.218.992.125,33
Distrito Federal;4,970055464;1.260.111.779,85
Espírito Santo;7,145425778;3.940.420.737,05
Goiás;5,664718733;8.445.624.166,09
Maranhão;6,116535606;3.457.604.900,66
Mato Grosso;6,349384512;1.278.276.148,93
Mato Grosso do Sul;6,975303963;618.738.170,66
Minas Gerais;6,20332867;9.709.000.711,02
Paraná;6,219828927;3.203.552.461,78
Paraíba;8,665028649;1.035.820.150,84
Pará;4,494052676;1.401.156.672,91
Pernambuco;7,559670519;1.793.396.286,02
Piauí;6,197579722;3.128.905.387,07
Rio Grande do Norte;5,520541356;440.587.995,06
Rio Grande do Sul;7,141402564;1.327.980.453,33
Rio de Janeiro;7,540021337;20.368.181.904,69
Rondônia;5,457487143;245.958.327,90
Roraima;6,178879944;658.653.732,79
Santa Catarina;6,765353719;6.831.839.621,10
Sergipe;7,228565926;685.376.533,66
São Paulo;7,208778795;9.948.669.633,62
Tocantins;5,69432867;1.154.171.259,41
Municípios;4,446610106;8.210.525.177,16
Abdon Batista;4,098187436;2.939.321,95
Abelardo Luz;4,137287743;2.802.519,44
Alto Feliz;10,66764451;2.395.954,97
Antônio Prado;5,17064973;1.900.000,00
Aquidauana;10,78670997;14.237.713,43
Aracati;4,61201419;49.390.143,41
Araquari;10,86215741;10.546.605,86
Balneário Camboriú;3,617005191;71.651.210,87
Barra do Guarita;5,103655762;200.000,00
Barra do Piraí;4,159041082;17.770.205,56
Barracão;3,69487443;2.830.003,89
Barrocas;3,458425483;3.925.204,87
Barão;11,48117673;3.206.481,16
Belo Horizonte;3,273737642;214.992.583,73
Boa Vista;3,505805599;24.306.250,82
Bom Jesus;10,73858913;1.830.166,72
Caarapó;10,57496528;5.860.164,37
Cachoeiro de Itapemirim;4,917681384;40.000.000,00
Camboriú;4,163737243;14.268.527,84
Camocim;4,053955802;16.757.358,92
Campinas das Missões;10,68699636;981.338,24
Candeias;3,986757955;4.618.330,12
Capinzal;11,44853664;5.512.526,53
Capitólio;3,644308149;2.217.811,22
Carandaí;4,181013761;7.701.302,19
Cariacica;3,560966962;33.906.879,52
Cascavel;4,163885419;25.666.666,66
Castro;11,19377026;6.390.695,58
Caxias do Sul;4,061434351;37.607.980,11
Chapecó;5,159563665;44.854.308,26
Concórdia;10,69035094;4.380.935,08
Correia Pinto;11,57118338;2.782.924,19
Costa Rica;10,94613864;10.192.106,38
Cotiporã;10,52485886;2.573.234,02
Criciúma;3,953395818;26.599.730,67
Crucilândia;4,208897124;1.676.781,70
Curitiba;4,083813254;153.281.257,43
Doutor Pedrinho;3,516470801;2.207.365,23
Entre Rios;10,73585468;1.010.609,40
Eusébio;4,689624577;22.000.000,00
Feira de Santana;3,801280524;14.375.000,00
Fortaleza;5,920669436;342.302.591,73
Fortim;5,023160735;5.000.000,00
Foz do Iguaçu;5,103652963;20.000.000,00
Garça;10,56998843;2.258.251,92
Gaspar;5,159563668;20.000.000,00
Goioerê;4,103019281;4.683.160,29
Goiânia;4,517250125;387.726.600,78
Guarda-Mor;3,528057917;3.476.213,40
Guarujá do Sul;4,731736025;662.863,28
Gurupi;9,749067211;14.223.114,96
Itapipoca;4,056527832;26.557.203,41
Itatiaia;3,080303591;18.500.000,00
Ituiutaba;3,478016948;19.059.090,88
Itá;7,206679247;3.320.258,20
Ivinhema;10,89410022;5.199.650,00
Jaguaré;3,605951761;6.091.836,27
Jandira;4,142602718;21.058.976,84
Jaquirana;10,58094;2.335.424,66
Jaraguá do Sul;4,298687306;54.158.249,19
Jiquiriçá;3,47279849;4.571.875,04
Joinville;3,658686176;33.180.355,56
Jundiaí;9,218021873;384.979,63
Lapão;3,63950802;4.491.666,64
Linhares;3,044173389;76.880.819,13
Manaus;4,20548248;1.249.705.771,51
Maratá;4,083813061;2.077.940,91
Marau;1,649315052;2.000.000,00
Maringá;4,094716185;8.415.078,51
Massaranduba;10,60833585;4.152.491,74
Mauá;7,477631907;553.586.554,10
Mineiros;10,69328348;11.536.251,36
Mogi das Cruzes;3,007762556;20.571.428,52
Monte Castelo;4,164575752;1.225.879,28
Morro Grande;10,23441504;2.002.897,92
Morro da Fumaça;10,37614201;4.585.425,26
Muriaé;3,477603568;41.047.682,41
Natal;7,072556;195.177.298,27
Nova Alvorada do Sul;9,08600105;13.978.856,89
Nova Santa Rita;4,125529325;4.095.906,63
Não-Me-Toque;3,158127886;5.000.000,00
Osasco;4,044937157;255.023.430,77
Osório;4,225973655;15.450.861,98
Ouro Preto;4,178977339;42.083.333,31
Palmas;4,169972593;46.448.267,66
Panambi;10,70697947;10.633.326,24
Paranaguá;4,163885424;27.619.937,69
Paranavaí;4,136376902;912.110,51
