Relatório de Atm Garantias
Data de Emissão: 13/01/2022 08:03
Tipo de Dívida: Interna
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Atm: Tipo de Mutuário

Agrupador;ATM (anos);Valor Financeiro Principal (R$);
Garantia Total;6,523543180759498;113.809.193.589,00;
Estados;6,721198250070291;97.602.652.267,49;
Acre;8,795330345820095;605.113.850,05;
Alagoas;7,099740491524741;1.169.508.164,35;
Amapá;6,512935578560618;1.390.392.861,68;
Amazonas;4,708979161159438;1.771.389.725,79;
Bahia;7,270954736567747;3.951.163.464,21;
Ceará;6,302140932796643;5.111.498.854,02;
Distrito Federal;5,213217974381169;1.368.769.477,74;
Espírito Santo;7,230500143693287;3.783.500.547,06;
Goiás;5,733613918339608;8.837.099.926,41;
Maranhão;6,068968235794123;3.426.122.600,47;
Mato Grosso;6,057039883345307;1.335.475.087,67;
Mato Grosso do Sul;6,678559577600792;611.086.522,76;
Minas Gerais;6,318005611337016;10.701.731.219,56;
Paraná;6,397583786564527;3.184.970.860,05;
Paraíba;8,387903426092825;1.012.173.637,18;
Pará;4,589289160871713;1.393.352.234,62;
Pernambuco;7,319687599951338;1.788.415.868,26;
Piauí;6,472175374907264;2.638.333.041,25;
Rio Grande do Norte;5,564438523310053;443.281.398,17;
Rio Grande do Sul;6,951899240471322;1.311.721.847,58;
Rio de Janeiro;7,538288480790288;21.223.136.323,74;
Rondônia;5,552036845879145;243.846.296,10;
Roraima;6,250529658025582;647.696.013,43;
Santa Catarina;6,81692627160185;6.953.938.744,15;
Sergipe;7,266597539871738;667.221.442,49;
São Paulo;7,070722219955731;10.803.156.439,00;
Tocantins;5,913131061056262;1.228.555.819,70;
Municípios;4,572422696041009;8.198.111.337,99;
Abdon Batista;4,26016773444426;3.189.690,80;
Abelardo Luz;4,299315165531265;2.836.620,20;
Alto Feliz;10,88740367707897;2.235.504,20;
Aquidauana;11,0069163724717;14.343.272,84;
Aracati;4,764298692953057;42.184.858,67;
Araquari;11,08366184422632;9.989.241,12;
Balneário Camboriú;3,778985392991219;74.945.519,43;
Barra do Piraí;4,321022115267933;23.494.274,52;
Barracão;3,856885999472144;2.957.195,09;
Barrocas;3,620437726377134;4.114.371,37;
Barão;11,70323556052275;2.782.563,48;
Belo Horizonte;3,107044917811897;186.708.105,46;
Boa Vista;3,667901607628306;25.463.691,34;
Bom Jesus;10,95947242192816;1.843.932,88;
Caarapó;10,79561026899933;4.084.252,48;
Cachoeiro de Itapemirim;5,246448507424658;40.000.000,00;
Camboriú;4,309770400187046;13.703.412,66;
