Relatório de Atm Garantias
Data de Emissão: 13/01/2022 08:04
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Atm: Tipo de Mutuário

Agrupador;ATM (anos);Valor Financeiro Principal (R$);
Garantia Total;7,212226163075044;303.939.658.298,11;
Estados;7,22760788151829;234.638.257.441,08;
Acre;8,687254786442327;2.987.920.368,06;
Alagoas;6,927337279541643;3.186.855.213,04;
Amapá;6,512935578560618;1.390.392.861,68;
Amazonas;6,556244138924653;6.667.005.152,69;
Bahia;7,951903385540053;17.386.834.202,75;
Ceará;7,413680396927052;15.266.400.556,27;
Distrito Federal;5,408081210247998;2.519.108.072,21;
Espírito Santo;7,448905716930784;5.314.768.596,25;
Goiás;5,733928987250214;8.884.834.769,99;
Maranhão;4,881806580809972;4.682.373.081,95;
Mato Grosso;7,21302303931294;2.622.971.711,87;
Mato Grosso do Sul;6,969126035812726;2.248.222.283,09;
Minas Gerais;6,38802655610234;25.858.683.805,16;
Paraná;6,9675564978553;6.812.882.623,04;
Paraíba;7,080419168572679;1.467.647.523,07;
Pará;5,781843264848173;3.111.728.355,35;
Pernambuco;8,674911078397627;11.025.086.975,44;
Piauí;6,133555434624128;5.617.058.978,57;
Rio Grande do Norte;9,413784621280716;1.963.938.644,68;
Rio Grande do Sul;7,376485125229644;12.180.987.521,01;
Rio de Janeiro;7,932089288656072;37.379.434.708,00;
Rondônia;5,535886086832236;268.377.330,69;
Roraima;6,250529658025582;647.696.013,43;
Santa Catarina;6,393616370049467;9.654.224.611,51;
Sergipe;8,539852131673908;1.872.792.031,46;
São Paulo;7,45709303471214;40.854.358.870,54;
Tocantins;6,563840697989535;2.765.672.579,28;
Municípios;6,824473562385903;30.549.904.000,52;
Abdon Batista;4,26016773444426;3.189.690,80;
Abelardo Luz;4,299315165531265;2.836.620,20;
Alagoinhas;5,381996046915281;56.153.781,16;
Alto Feliz;10,88740367707897;2.235.504,20;
Aparecida de Goiânia;4,744584497318223;165.275.808,61;
Aquidauana;11,0069163724717;14.343.272,84;
Aracaju;7,804592599601856;110.237.656,85;
Aracati;4,764298692953057;42.184.858,67;
Araguaína;8,251369856539711;97.815.046,21;
Araquari;11,08366184422632;9.989.241,12;
Bagé;3,213661462283008;15.772.793,26;
Balneário Camboriú;3,778985392991219;74.945.519,43;
Barra do Piraí;4,321022115267933;23.494.274,52;
Barracão;3,856885999472144;2.957.195,09;
Barrocas;3,620437726377134;4.114.371,37;
Barão;11,70323556052275;2.782.563,48;
Belford Roxo;6,292602702335566;35.322.466,53;
Belo Horizonte;7,391353396367997;1.839.026.478,39;
Belém;6,790122948437151;267.608.729,47;
Betim;0,126027397260274;4.878.174,32;
Blumenau;7,751126801087089;269.536.963,09;
Boa Vista;3,667901607628306;25.463.691,34;
Bom Jesus;10,95947242192816;1.843.932,88;
Caarapó;10,79561026899933;4.084.252,48;
Cachoeirinha;3,554403116204527;24.003.847,17;
Cachoeiro de Itapemirim;5,246448507424658;40.000.000,00;
Camaçari;7,709452046641088;198.110.352,46;
Camboriú;4,309770400187046;13.703.412,66;
Camocim;4,215981707996085;17.441.332,76;
Campinas;0,205479452054794;3.649.356,87;
Campinas das Missões;10,90844718444095;870.976,37;
Campo Grande;8,152479095631877;237.810.057,86;
Candeias;4,148767062066274;6.642.005,87;
Canoas;2,484322675692748;139.512.499,88;
Capinzal;11,66786715745006;4.974.222,91;
Capitólio;3,806322622293503;2.319.779,54;
Carandaí;4,301263410439966;8.000.582,54;
Cariacica;4,277425053880012;62.169.164,05;
Cascavel;7,855868419494524;163.654.737,31;
Castro;11,41661286528995;6.434.095,68;
Catanduva;7,043052837573385;32.965.687,72;
Caucaia;7,550435867457985;295.733.855,45;
Caxias do Sul;4,813445684194123;184.765.921,81;
Chapecó;3,443835574352865;35.674.286,72;
Colatina;8,043835774146307;44.262.498,18;
Concórdia;10,90968437728818;4.414.543,06;
Contagem;8,56712326271686;58.930.565,92;
Correia Pinto;11,79531756504235;2.736.727,70;
Corumbá;6,640068498335735;188.578.900,01;
Costa Rica;11,16776325577807;9.914.905,52;
Cotiporã;10,74404048076081;2.520.552,47;
Criciúma;6,843196115591477;86.759.828,64;
Crucilândia;4,329215230978158;1.340.134,01;
Curitiba;5,405632168023167;594.008.507,46;
Doutor Pedrinho;3,678549012538433;2.312.477,87;
