Nome Mutuário;Esfera de Governo;Região Federativa;Pontuação;Classificação;Data 
Acre;Estadual;AC;1;B;31/12/2021
Alagoas;Estadual;AL;1;B;31/12/2021
Amapá;Estadual;AP;1;C;31/12/2021
Amazonas;Estadual;AM;1;B;31/12/2021
Bahia;Estadual;BA;1;B;31/12/2021
Ceará;Estadual;CE;1;B;31/12/2021
Distrito Federal;Estadual;DF;1;B;31/12/2021
Espírito Santo;Estadual;ES;1;A;31/12/2021
Goiás;Estadual;GO;1;C;31/12/2021
Maranhão;Estadual;MA;1;B;31/12/2021
Mato Grosso;Estadual;MT;1;A;31/12/2021
Mato Grosso do Sul;Estadual;MS;1;B;31/12/2021
Minas Gerais;Estadual;MG;1;D;31/12/2021
Pará;Estadual;PA;1;B;31/12/2021
Paraíba;Estadual;PB;1;A;31/12/2021
Paraná;Estadual;PR;1;B;31/12/2021
Pernambuco;Estadual;PE;1;B;31/12/2021
Piauí;Estadual;PI;1;B;31/12/2021
Rio de Janeiro;Estadual;RJ;1;D;31/12/2021
Rio Grande do Norte;Estadual;RN;1;C;31/12/2021
Rio Grande do Sul;Estadual;RS;1;D;31/12/2021
Rondônia;Estadual;RO;1;A;31/12/2021
Roraima;Estadual;RR;1;A;31/12/2021
Santa Catarina;Estadual;SC;1;B;31/12/2021
São Paulo;Estadual;SP;1;B;31/12/2021
Sergipe;Estadual;SE;1;B;31/12/2021
Tocantins;Estadual;TO;1;C;31/12/2021
