Relatório de Composição de Garantias;;;
Data de Emissão: 11/05/2022 09:00;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Não Informado;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Estatístico;;;
Data de Referência: 30/04/2022;;;
Tipo de Composição: Credor;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Garantia Total;273.382.237.521,20;;100%
Externa;165.489.905.381,42;100%;60,53%
Organismos Multilaterais;152.067.858.805,43;91,89%;55,62%
BIRD;71.619.256.687,42;43,28%;26,20%
BID;70.088.243.517,99;42,35%;25,64%
CAF;8.059.605.165,56;4,87%;2,95%
BEI;957.537.904,65;0,58%;0,35%
FONPLATA;698.161.277,26;0,42%;0,26%
FIDA;424.015.633,47;0,26%;0,16%
NDB;221.038.619,09;0,13%;0,08%
Agências Governamentais;7.314.756.947,25;4,42%;2,68%
AFD;4.601.831.797,24;2,78%;1,68%
JICA;2.338.215.233,14;1,41%;0,86%
KFW;374.709.916,87;0,23%;0,14%
Credores Privados;6.107.289.628,74;3,69%;2,23%
CREDIT SUISSE;3.748.354.200,00;2,27%;1,37%
BOFA;1.342.918.834,62;0,81%;0,49%
Santander;737.864.999,90;0,45%;0,27%
BB Viena;224.224.215,80;0,14%;0,08%
BBVA;53.927.378,41;0,03%;0,02%
Interna;107.892.332.139,78;100%;39,47%
Bancos Federais;105.110.977.355,74;97,42%;38,45%
BB;52.064.881.308,03;48,26%;19,04%
BNDES;33.642.567.100,46;31,18%;12,31%
CAIXA;19.033.623.910,25;17,64%;6,96%
BNB;369.905.037,00;0,34%;0,14%
Credores Privados;2.781.354.784,04;2,58%;1,02%
CREDIT SUISSE-BRASIL;1.247.679.086,43;1,16%;0,46%
Itaú;998.809.523,85;0,93%;0,37%
SANTANDER BR;534.866.173,76;0,50%;0,20%
