Relatório de Composição de Garantias
Data de Emissão: 13/01/2022 08:06
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Composição: Credor

Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total;
Garantia Total;303.410.707.468,760891501846;;100%;
Externa;190.484.578.267,6590088606;100%;62,78109953890512%;
Organismos Multilaterais;173.266.966.686,29711368;90,96115195364078%;57,10641134974996%;
BIRD;81.301.468.607,0224465;42,68139150497625%;26,79584688532893%;
BID;80.533.534.039,244625;42,27824360987539%;26,54274620401666%;
CAF;8.735.547.200,51123;4,58596033335386%;2,879116321697592%;
BEI;1.137.785.823,1264206;0,5973112539996089%;0,3749985729305769%;
FONPLATA;799.366.235,182565;0,419648793856339%;0,2634601269847629%;
FIDA;508.506.306,32104158;0,2669540552550742%;0,1675966911528319%;
NDB;250.758.474,888785;0,1316424023242618%;0,0826465476386007%;
Agências Governamentais;9.137.839.595,6211826206;4,797154540658492%;3,011706367205914%;
AFD;5.584.258.411,65281946;2,931606570168694%;1,84049483890669%;
JICA;3.096.792.080,6229155836;1,625744251207289%;1,020660116598476%;
KFW;456.789.103,345447577;0,2398037192825087%;0,1505514117007484%;
Credores Privados;8.079.771.985,74071256;4,241693505700728%;2,662981821949248%;
CREDIT SUISSE;4.961.064.500,00;2,604444173443254%;1,635098688964624%;
BOFA;1.787.899.858,294595;0,9386060932357113%;0,5892672256725405%;
Santander;930.083.333,18452;0,4882722484114254%;0,306542686296027%;
BB Viena;254.372.392,57012;0,13353962556102%;0,0838376452473452%;
BBVA;81.570.947,31458;0,0428228615966804%;0,0268846633644195%;
SMBC;64.780.954,37689756;0,0340085034526368%;0,0213509124042919%;
Interna;112.926.129.201,101882641246;100%;37,21890046109488%;
Bancos Federais;110.743.520.099,678160821246;98,06722401904269%;36,49954249260643%;
BB;56.251.879.181,700167455;49,81298799459008%;18,53984641840363%;
BNDES;34.574.487.866,080102506;30,61690692019464%;11,39527611089331%;
CAIXA;19.458.149.320,825507890246;17,23086539712515%;6,413138640741252%;
BNB;459.003.731,07238297;0,4064637071328079%;0,151281322568236%;
Credores Privados;2.182.609.101,42372182;1,932775980957315%;0,7193579684884532%;
CREDIT SUISSE-BRASIL;1.207.885.784,7337189;1,069624712437175%;0,3981025570292646%;
SANTANDER BR;552.104.269,04000162;0,4889074591911315%;0,1819659805832153%;
Itaú;422.619.047,6500013;0,3742438093290083%;0,1392894308759733%;
