Relatório de Composição de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2022 09:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Composição: Indexador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Todas;273.382.237.521,20;100%;2.155.761.175,59;0,79%;528.821.600,05;0,19%;1.477.277.547,05;0,54%;42.843.210.539,48;15,67%;2.812.972.574,67;1,03%;197.290.345.215,81;72,17%;26.273.848.868,55;9,61%;107.892.332.139,78;100%;31.800.439.834,39;29,47%;2.155.761.175,59;2,00%;528.821.600,05;0,49%;1.477.277.547,05;1,37%;42.843.210.539,48;39,71%;2.812.972.574,67;2,61%;26.273.848.868,55;24,35%;165.489.905.381,42;100%;158.787.554.301,42;95,95%;3.917.734.350,42;2,37%;2.381.163.901,30;1,44%;403.452.828,28;0,24%
Estados;211.980.420.775,27;77,54%;1.921.050.799,46;0,70%;528.821.600,05;0,19%;1.477.277.547,05;0,54%;37.503.007.141,54;13,72%;1.462.656.504,49;0,54%;151.192.194.169,15;55,30%;17.895.413.013,52;6,55%;92.588.666.440,51;85,82%;31.800.439.834,39;29,47%;1.921.050.799,46;1,78%;528.821.600,05;0,49%;1.477.277.547,05;1,37%;37.503.007.141,54;34,76%;1.462.656.504,49;1,36%;17.895.413.013,52;16,59%;119.391.754.334,76;72,14%;115.277.226.653,59;69,66%;3.386.389.436,25;2,05%;324.685.416,64;0,20%;403.452.828,28;0,24%
São Paulo;35.739.687.835,07;13,07%;0;0,00%;0;0,00%;0;0,00%;1.742.987.026,86;0,64%;0;0,00%;32.414.944.135,46;11,86%;1.581.756.672,75;0,58%;9.593.487.485,44;8,89%;6.268.743.785,83;5,81%;0;0,00%;0;0,00%;0;0,00%;1.742.987.026,86;1,62%;0;0,00%;1.581.756.672,75;1,47%;26.146.200.349,63;15,80%;23.944.208.850,58;14,47%;2.201.991.499,05;1,33%;0;0,00%;0;0,00%
Rio de Janeiro;33.574.981.191,37;12,28%;1.921.050.799,46;0,70%;528.821.600,05;0,19%;1.468.692.556,48;0,54%;5.534.486.548,03;2,02%;196.926.239,35;0,07%;23.925.003.448,00;8,75%;0;0,00%;19.576.037.429,95;18,14%;9.926.059.686,58;9,20%;1.921.050.799,46;1,78%;528.821.600,05;0,49%;1.468.692.556,48;1,36%;5.534.486.548,03;5,13%;196.926.239,35;0,18%;0;0,00%;13.998.943.761,42;8,46%;13.998.943.761,42;8,46%;0;0,00%;0;0,00%;0;0,00%
Minas Gerais;21.750.119.573,75;7,96%;0;0,00%;0;0,00%;0;0,00%;1.281.687.013,42;0,47%;132.920.546,44;0,05%;20.335.512.013,89;7,44%;0;0,00%;9.351.180.524,75;8,67%;7.936.572.964,89;7,36%;0;0,00%;0;0,00%;0;0,00%;1.281.687.013,42;1,19%;132.920.546,44;0,12%;0;0,00%;12.398.939.049,00;7,49%;11.258.189.920,80;6,80%;1.140.749.128,20;0,69%;0;0,00%;0;0,00%
Bahia;15.245.843.686,30;5,58%;0;0,00%;0;0,00%;0;0,00%;1.657.980.729,77;0,61%;0;0,00%;13.274.150.433,82;4,86%;313.712.522,71;0,11%;3.611.891.833,81;3,35%;1.640.198.581,33;1,52%;0;0,00%;0;0,00%;0;0,00%;1.657.980.729,77;1,54%;0;0,00%;313.712.522,71;0,29%;11.633.951.852,49;7,03%;11.476.119.682,46;6,93%;0;0,00%;7.937.087,57;0,00%;149.895.082,46;0,09%
Ceará;13.880.463.540,20;5,08%;0;0,00%;0;0,00%;0;0,00%;1.356.863.965,67;0,50%;296.800.397,26;0,11%;8.862.008.929,04;3,24%;3.364.790.248,23;1,23%;5.115.463.775,87;4,74%;97.009.164,71;0,09%;0;0,00%;0;0,00%;0;0,00%;1.356.863.965,67;1,26%;296.800.397,26;0,28%;3.364.790.248,23;3,12%;8.764.999.764,33;5,30%;8.637.125.528,75;5,22%;36.755.786,04;0,02%;216.328,26;0,00%;90.902.121,29;0,05%
Rio Grande do Sul;10.607.130.959,76;3,88%;0;0,00%;0;0,00%;8.584.990,57;0,00%;1.248.701.726,07;0,46%;0;0,00%;9.349.844.243,12;3,42%;0;0,00%;1.257.286.716,64;1,17%;0;0,00%;0;0,00%;0;0,00%;8.584.990,57;0,01%;1.248.701.726,07;1,16%;0;0,00%;0;0,00%;9.349.844.243,12;5,65%;9.349.844.243,12;5,65%;0;0,00%;0;0,00%;0;0,00%
Pernambuco;9.935.074.945,53;3,63%;0;0,00%;0;0,00%;0;0,00%;1.228.861.261,03;0,45%;0;0,00%;8.347.778.913,53;3,05%;358.434.770,97;0,13%;1.700.878.047,10;1,58%;113.582.015,10;0,11%;0;0,00%;0;0,00%;0;0,00%;1.228.861.261,03;1,14%;0;0,00%;358.434.770,97;0,33%;8.234.196.898,43;4,98%;8.227.303.875,46;4,97%;6.893.022,96;0,00%;0;0,00%;0;0,00%
Santa Catarina;8.885.874.383,06;3,25%;0;0,00%;0;0,00%;0;0,00%;3.436.171.468,57;1,26%;0;0,00%;3.715.025.521,93;1,36%;1.734.677.392,56;0,63%;6.577.784.595,39;6,10%;1.406.935.734,26;1,30%;0;0,00%;0;0,00%;0;0,00%;3.436.171.468,57;3,18%;0;0,00%;1.734.677.392,56;1,61%;2.308.089.787,67;1,39%;2.308.089.787,67;1,39%;0;0,00%;0;0,00%;0;0,00%
Goiás;8.194.874.997,55;3,00%;0;0,00%;0;0,00%;0;0,00%;4.138.398.068,90;1,51%;0;0,00%;2.412.599.713,95;0,88%;1.643.877.214,70;0,60%;8.154.627.128,79;7,56%;2.372.351.845,19;2,20%;0;0,00%;0;0,00%;0;0,00%;4.138.398.068,90;3,84%;0;0,00%;1.643.877.214,70;1,52%;40.247.868,76;0,02%;40.247.868,76;0,02%;0;0,00%;0;0,00%;0;0,00%
Amazonas;8.040.272.248,16;2,94%;0;0,00%;0;0,00%;0;0,00%;370.428.192,40;0,14%;0;0,00%;5.203.702.987,17;1,90%;2.466.141.068,59;0,90%;2.836.569.260,99;2,63%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;370.428.192,40;0,34%;0;0,00%;2.466.141.068,59;2,29%;5.203.702.987,17;3,14%;5.203.702.987,17;3,14%;0;0,00%;0;0,00%;0;0,00%
Paraná;6.301.048.136,36;2,30%;0;0,00%;0;0,00%;0;0,00%;975.655.459,38;0,36%;0;0,00%;3.158.726.010,30;1,16%;2.166.666.666,68;0,79%;3.142.322.126,06;2,91%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;975.655.459,38;0,90%;0;0,00%;2.166.666.666,68;2,01%;3.158.726.010,30;1,91%;3.110.220.138,18;1,88%;0;0,00%;48.505.872,12;0,03%;0;0,00%
Piauí;5.659.734.992,39;2,07%;0;0,00%;0;0,00%;0;0,00%;637.291.916,86;0,23%;0;0,00%;3.401.732.597,50;1,24%;1.620.710.478,03;0,59%;3.049.926.666,28;2,83%;791.924.271,39;0,73%;0;0,00%;0;0,00%;0;0,00%;637.291.916,86;0,59%;0;0,00%;1.620.710.478,03;1,50%;2.609.808.326,11;1,58%;2.556.337.880,25;1,54%;0;0,00%;0;0,00%;53.470.445,86;0,03%
