Relatório de Composição de Garantias
Data de Emissão: 13/01/2022 08:07
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Composição: Indexador

;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%);
Todas;303.410.707.468,760891501846;100%;2.095.819.072,8938346;0,6907531676711244%;516.393.574,2398889;0,1701962262795411%;1.452.106.283,160004826;0,4785942774644871%;44.220.169.339,9901309915;14,57436018290259%;2.869.568.209,655458055677;0,9457702510221754%;227.251.013.359,7114997306;74,89881133582249%;25.005.637.629,110074398069;8,241514558837595%;112.926.129.201,101882641246;100%;36.766.435.092,05249087;32,55795213398118%;2.095.819.072,8938346;1,855920403648604%;516.393.574,2398889;0,4572844016642786%;1.452.106.283,160004826;1,285890425389553%;44.220.169.339,9901309915;39,15849206275517%;2.869.568.209,655458055677;2,541102072617095%;25.005.637.629,110074398069;22,14335849994412%;190.484.578.267,6590088606;100%;181.953.659.650,2094565;95,52146494218427%;4.817.232.403,384232177;2,528935647806253%;3.230.246.939,3919081436;1,695804966873976%;483.439.274,67341204;0,2537944431355006%;
Estados;234.129.559.208,3310882426;77,16588552908503%;1.870.449.784,133834;0,6164745469064948%;516.393.574,2398889;0,1701962262795411%;1.452.106.283,160004826;0,4785942774644871%;38.318.138.341,55011304;12,62913186591984%;1.544.078.883,838675666;0,5089071828480719%;174.156.153.822,6385234306;57,39947521152318%;16.272.238.518,77004838;5,363106218143417%;96.739.840.477,745055682;85,66648052327035%;36.766.435.092,05249087;32,55795213398118%;1.870.449.784,133834;1,656348090000399%;516.393.574,2398889;0,4572844016642786%;1.452.106.283,160004826;1,285890425389553%;38.318.138.341,55011304;33,93203912383479%;1.544.078.883,838675666;1,367335349898462%;16.272.238.518,77004838;14,40963099850169%;137.389.718.730,5860325606;72,12642618109124%;132.242.989.901,9182365;69,42451252725419%;4.161.880.989,332919937;2,18489130573335%;501.408.564,6614640836;0,2632279049681969%;483.439.274,67341204;0,2537944431355006%;
São Paulo;40.719.319.796,96542562;13,42052827887028%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.755.141.065,50000506;0,5784703777076536%;0,00;0,00%;37.469.978.918,18541616;12,34959017457989%;1.494.199.813,2800044;0,4924677265827367%;10.664.517.043,06003246;9,443799339007161%;7.415.176.164,280023;6,566395409759311%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.755.141.065,50000506;1,554238224507282%;0,00;0,00%;1.494.199.813,2800044;1,323165704740568%;30.054.802.753,90539316;15,77807664391285%;27.271.977.888,902075;14,31715792266443%;2.718.043.910,6264206;1,426910217795777%;64.780.954,37689756;0,0340085034526368%;0,00;0,00%;
Rio de Janeiro;37.136.044.935,434641459;12,23953012246879%;1.870.449.784,133834;0,6164745469064948%;516.393.574,2398889;0,1701962262795411%;1.443.496.216,4700048;0,47575651779482%;5.631.188.886,460017;1,855962478529141%;257.545.186,034338759;0,084883354375638%;27.416.971.288,096558;9,036256998583151%;0,00;0,00%;20.979.746.550,978116459;18,57829246375462%;11.260.672.903,640033;9,97171600877838%;1.870.449.784,133834;1,656348090000399%;516.393.574,2398889;0,4572844016642786%;1.443.496.216,4700048;1,278265913019464%;5.631.188.886,460017;4,986612864797521%;257.545.186,034338759;0,2280651854945771%;0,00;0,00%;16.156.298.384,456525;8,48168315324432%;16.156.298.384,456525;8,48168315324432%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Minas Gerais;25.696.618.129,204918127;8,469252236871251%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.302.159.985,31000346;0,4291740381127036%;134.406.786,015514007;0,0442986297803457%;24.260.051.357,87940066;7,995779568978201%;0,00;0,00%;10.539.665.543,807988127;9,333239010644444%;9.103.098.772,48247066;8,061109361387415%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.302.159.985,31000346;1,153107783399785%;134.406.786,015514007;0,1190218658572444%;0,00;0,00%;15.156.952.585,39693;7,957049711446545%;13.766.325.468,39693;7,227002623305917%;1.390.627.117,00;0,730047088140628%;0,00;0,00%;0,00;0,00%;
Bahia;17.353.245.329,957700345;5,719391208942218%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.680.750.948,960005;0,5539524174943809%;0,00;0,00%;15.312.853.610,427694245;5,046906135309777%;359.640.770,5700011;0,1185326561380599%;3.907.391.929,00147011;3,460130933951594%;1.867.000.209,47146401;1,65329337211821%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.680.750.948,960005;1,48836319888985%;0,00;0,00%;359.640.770,5700011;0,3184743629435338%;13.445.853.400,956230235;7,058762196519036%;13.251.744.087,5267;6,956859294355073%;0,00;0,00%;10.152.972,210160325;0,0053300756956261%;183.956.341,21936991;0,096572826468337%;
Ceará;15.254.656.339,6883502166;5,027725114565697%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.377.407.953,44000411;0,4539747344222589%;303.390.868,5552663;0,0999934613667197%;10.274.956.264,8230698066;3,386484396197843%;3.298.901.252,87001;1,087272522578876%;5.099.754.637,6694534;4,516009424698932%;120.054.562,80417299;0,1063124749369356%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.377.407.953,44000411;1,219742466322457%;303.390.868,5552663;0,2686631257987952%;3.298.901.252,87001;2,921291357640744%;10.154.901.702,0188968166;5,331088634246158%;10.002.174.611,72681;5,250910442562061%;44.807.040,841997628;0,0235226606003963%;553.446,0269213886;0,0002905463696613%;107.366.603,4231678;0,0563649847140391%;
Rio Grande do Sul;12.174.058.341,154479016;4,012402344900078%;0,00;0,00%;0,00;0,00%;8.610.066,690000026;0,0028377596696671%;1.296.182.601,21000399;0,4272039744488776%;0,00;0,00%;10.869.265.673,254475;3,582360610781534%;0,00;0,00%;1.304.792.667,900004016;1,155439115048736%;0,00;0,00%;0,00;0,00%;0,00;0,00%;8.610.066,690000026;0,0076245123700884%;1.296.182.601,21000399;1,147814602678648%;0,00;0,00%;0,00;0,00%;10.869.265.673,254475;5,706113204598405%;10.869.265.673,254475;5,706113204598405%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Pernambuco;11.014.151.375,354999479;3,630112947312189%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.262.907.017,6200038;0,4162367993390716%;0,00;0,00%;9.378.218.518,044994509;3,090931956978009%;373.025.839,69000117;0,1229441909951078%;1.777.480.268,04448277;1,574020362354844%;141.547.410,7344778;0,125345136449693%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.262.907.017,6200038;1,118347920498528%;0,00;0,00%;373.025.839,69000117;0,3303273054066227%;9.236.671.107,310516709;4,849038799525087%;9.228.268.186,446015;4,844627460328538%;8.402.920,864501709;0,0044113391965487%;0,00;0,00%;0,00;0,00%;
