Relatório de Composição de Garantias;;;
Data de Emissão: 11/05/2022 08:53;;;
Tipo de Dívida: Interna - Externa;;;
Selecionar mutuário(s) por: Não Informado;;;
Credor(es): Não Informado;;;
Selecionar operação de crédito por: Não Informado;;;
Tipo de Cálculo: Apropriação;;;
Posição: Estatístico;;;
Data de Referência: 30/04/2022;;;
Tipo de Composição: Tipo de Mutuário;;;
;;;
Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total
Garantia Total;273.382.237.521,20;;100%
Estados;211.980.420.775,27;100%;77,54%
São Paulo;35.739.687.835,07;16,86%;13,07%
Rio de Janeiro;33.574.981.191,37;15,84%;12,28%
Minas Gerais;21.750.119.573,75;10,26%;7,96%
Bahia;15.245.843.686,30;7,19%;5,58%
Ceará;13.880.463.540,20;6,55%;5,08%
Rio Grande do Sul;10.607.130.959,76;5,00%;3,88%
Pernambuco;9.935.074.945,53;4,69%;3,63%
Santa Catarina;8.885.874.383,06;4,19%;3,25%
Goiás;8.194.874.997,55;3,87%;3,00%
Amazonas;8.040.272.248,16;3,79%;2,94%
Paraná;6.301.048.136,36;2,97%;2,30%
Piauí;5.659.734.992,39;2,67%;2,07%
Espírito Santo;5.150.123.497,27;2,43%;1,88%
Maranhão;4.176.953.567,27;1,97%;1,53%
Pará;3.109.847.663,76;1,47%;1,14%
Alagoas;2.918.544.110,91;1,38%;1,07%
Acre;2.669.070.214,39;1,26%;0,98%
Tocantins;2.499.204.643,10;1,18%;0,91%
Mato Grosso;2.354.079.193,45;1,11%;0,86%
Distrito Federal;2.199.583.396,81;1,04%;0,80%
Mato Grosso do Sul;1.977.057.365,01;0,93%;0,72%
Rio Grande do Norte;1.789.858.511,15;0,84%;0,65%
Sergipe;1.698.164.742,77;0,80%;0,62%
Amapá;1.388.727.869,13;0,66%;0,51%
Paraíba;1.349.054.444,03;0,64%;0,49%
Roraima;627.722.122,69;0,30%;0,23%
Rondônia;257.322.944,04;0,12%;0,09%
Municípios;27.932.682.986,64;100%;10,22%
Rio de Janeiro;6.603.979.906,29;23,64%;2,42%
Manaus;2.359.491.922,66;8,45%;0,86%
Fortaleza;2.141.099.480,29;7,67%;0,78%
São Bernardo do Campo;1.832.372.380,33;6,56%;0,67%
Belo Horizonte;1.663.598.619,89;5,96%;0,61%
São Paulo;1.024.973.534,35;3,67%;0,37%
Salvador;1.024.611.886,14;3,67%;0,37%
Porto Alegre;636.885.123,66;2,28%;0,23%
Goiânia;567.422.091,31;2,03%;0,21%
Mauá;553.338.990,37;1,98%;0,20%
Recife;514.475.743,23;1,84%;0,19%
Curitiba;508.559.538,06;1,82%;0,19%
Niterói;404.362.120,05;1,45%;0,15%
Teresina;350.188.448,04;1,25%;0,13%
Caucaia;301.326.037,89;1,08%;0,11%
Taubaté;295.146.000,00;1,06%;0,11%
São José dos Campos;273.866.079,60;0,98%;0,10%
Florianópolis;271.567.281,71;0,97%;0,10%
Osasco;255.023.430,77;0,91%;0,09%
Campo Grande;238.967.122,03;0,86%;0,09%
Belém;235.891.784,08;0,84%;0,09%
Joinville;231.499.036,92;0,83%;0,08%
Blumenau;229.927.242,37;0,82%;0,08%
Hortolândia;207.313.540,67;0,74%;0,08%
Camaçari;196.345.563,35;0,70%;0,07%
Natal;195.090.015,04;0,70%;0,07%
Ribeirão Preto;191.362.279,38;0,69%;0,07%
Corumbá;166.228.557,82;0,60%;0,06%
Caxias do Sul;164.573.687,46;0,59%;0,06%
Palmas;161.132.642,21;0,58%;0,06%
Itajaí;155.373.771,40;0,56%;0,06%
Maceió;154.284.418,36;0,55%;0,06%
