Relatório de Composição de Garantias
Data de Emissão: 13/01/2022 08:08
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Composição: Tipo de Mutuário

Agrupador;Financeiro (R$);Percentual do Agrupador;Percentual da Garantia Total;
Garantia Total;303.410.707.468,760891501846;;100%;
Estados;234.129.559.208,3310882426;100%;77,16588552908503%;
São Paulo;40.719.319.796,96542562;17,39178937279463%;13,42052827887028%;
Rio de Janeiro;37.136.044.935,434641459;15,86132270568646%;12,23953012246879%;
Minas Gerais;25.696.618.129,204918127;10,97538397803918%;8,469252236871251%;
Bahia;17.353.245.329,957700345;7,411813095550481%;5,719391208942218%;
Ceará;15.254.656.339,6883502166;6,515476470066126%;5,027725114565697%;
Rio Grande do Sul;12.174.058.341,154479016;5,199710101671471%;4,012402344900078%;
Pernambuco;11.014.151.375,354999479;4,704297660063711%;3,630112947312189%;
Santa Catarina;9.605.957.821,14709508;4,102838553845141%;3,16599170190331%;
Goiás;8.816.560.431,6725253;3,765675919556766%;2,905817169481495%;
Paraná;6.806.891.601,33224272;2,907318334493337%;2,24345793796123%;
Amazonas;6.665.383.032,8971552;2,84687805138104%;2,19681865828134%;
Piauí;5.666.161.743,33348939;2,42009670307869%;1,867489051590863%;
Espírito Santo;5.297.173.957,2241177;2,262496873583841%;1,745875747568834%;
Maranhão;4.667.288.964,56049021;1,9934642085955%;1,538274309268085%;
Pará;3.379.087.474,4542107;1,443255386410847%;1,113700799370148%;
Alagoas;3.182.019.076,74337854;1,359084725355837%;1,048749763411365%;
Acre;2.983.871.147,54879674;1,274452981348551%;0,9834429287094344%;
Tocantins;2.753.422.975,5569787;1,176025353170785%;0,9074903778207862%;
Mato Grosso;2.619.251.582,72225901;1,118718880084518%;0,8632693303982809%;
Distrito Federal;2.505.332.814,99268555;1,070062585631664%;0,8257232699180974%;
Mato Grosso do Sul;2.245.117.578,68061176;0,9589210291396317%;0,7399599036602123%;
Rio Grande do Norte;1.961.448.753,1847771;0,8377621176143155%;0,6464665566843014%;
Sergipe;1.869.859.588,67114668;0,7986431081123442%;0,6162800265918984%;
Paraíba;1.461.188.575,7737668;0,6240940190185832%;0,4815876763097461%;
Amapá;1.383.492.067,0200042;0,5909087565440456%;0,455979974656118%;
Roraima;644.610.578,7400019;0,275322168170325%;0,212454789126508%;
Rondônia;267.345.194,3148407;0,1141868609921885%;0,0881133024424876%;
Municípios;30.544.394.414,765447651246;100%;10,06701268705564%;
Rio de Janeiro;7.463.340.887,8590909;24,43440451466683%;2,459814602498007%;
Manaus;2.573.751.262,59589381;8,426263842872977%;0,8482730501068051%;
Fortaleza;2.266.447.523,42630185;7,420175016895014%;0,7469899603525544%;
São Bernardo do Campo;2.123.835.628,6669159;6,95327463307059%;0,6999870394770381%;
Belo Horizonte;1.839.026.478,5601056;6,020831362991773%;0,6061178571786071%;
