Relatório de Custo Médio de Garantias;;
Data de Emissão: 11/05/2022 09:20;;
Tipo de Dívida: Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Estatístico;;
Data de Referência: 30/04/2022;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;-8,24%;165.489.905.381,42
Estados;-8,15%;119.391.754.334,76
São Paulo;-8,86%;26.146.200.349,63
Rio de Janeiro;-7,61%;13.998.943.761,42
Minas Gerais;-7,87%;12.398.939.049,00
Bahia;-8,06%;11.633.951.852,49
Rio Grande do Sul;-8,16%;9.349.844.243,12
Ceará;-7,97%;8.764.999.764,33
Pernambuco;-8,03%;8.234.196.898,43
Amazonas;-8,41%;5.203.702.987,17
Paraná;-8,03%;3.158.726.010,30
Piauí;-8,21%;2.609.808.326,11
Santa Catarina;-7,09%;2.308.089.787,67
Acre;-8,03%;2.079.542.828,19
Alagoas;-8,03%;1.798.467.441,65
Pará;-10,00%;1.738.913.800,50
Mato Grosso do Sul;-8,13%;1.390.488.185,52
Espírito Santo;-7,81%;1.389.506.162,77
Tocantins;-8,23%;1.377.991.503,09
Rio Grande do Norte;-7,87%;1.368.066.772,57
Mato Grosso;-7,60%;1.113.794.657,81
Sergipe;-8,38%;1.042.443.656,74
Distrito Federal;-7,53%;971.000.940,12
Maranhão;-4,42%;872.187.714,84
Paraíba;-8,01%;380.076.152,32
Goiás;-7,81%;40.247.868,76
Rondônia;-7,78%;21.623.620,23
Municípios;-7,89%;19.767.617.234,47
Rio de Janeiro;-8,33%;4.815.811.819,87
Fortaleza;-7,37%;1.799.214.947,30
São Bernardo do Campo;-7,46%;1.545.143.356,59
Belo Horizonte;-7,57%;1.448.606.036,16
Manaus;-7,88%;1.109.786.151,15
Salvador;-8,30%;942.950.343,18
Porto Alegre;-7,18%;546.227.464,46
Recife;-8,08%;514.475.743,23
São Paulo;-7,78%;476.942.660,48
Niterói;-7,20%;404.362.120,05
Curitiba;-14,38%;355.278.280,63
Caucaia;-7,16%;301.326.037,89
Taubaté;-7,06%;295.146.000,00
São José dos Campos;-7,78%;273.866.079,60
Florianópolis;-7,65%;271.567.281,71
Teresina;-8,12%;239.509.115,05
Campo Grande;-7,67%;238.967.122,03
Belém;-7,79%;235.891.784,08
Blumenau;-7,78%;229.927.242,37
Hortolândia;-7,06%;207.313.540,67
Joinville;-7,74%;198.318.681,36
Camaçari;-7,20%;196.345.563,35
Goiânia;-7,81%;179.695.490,53
Corumbá;-6,28%;166.228.557,82
Itajaí;-8,74%;155.373.771,40
Maceió;-7,15%;154.284.418,36
Aparecida de Goiânia;-6,56%;138.513.657,63
São Luís;-8,33%;137.937.229,72
Caxias do Sul;-6,86%;126.965.707,35
Canoas;-6,41%;122.977.499,90
Cascavel;-7,81%;117.169.041,33
Palmas;-7,20%;114.684.374,55
Sobral;-7,14%;108.666.942,82
Vitória;-7,81%;104.561.358,27
Parauapebas;-7,81%;99.970.810,22
Aracaju;-7,81%;99.933.965,38
Santo André;-7,46%;98.496.613,85
Araguaína;-7,20%;86.222.022,09
Novo Hamburgo;-7,81%;81.964.390,12
São Gonçalo do Amarante;-6,70%;78.617.099,39
Santos;-8,42%;78.164.543,27
Maracanaú;-7,78%;69.851.220,00
Contagem;-7,21%;59.324.774,31
Jacareí;-7,19%;56.569.650,00
Toledo;-14,79%;54.188.799,44
Criciúma;-6,35%;52.042.684,57
Paranaguá;-7,81%;50.094.761,99
Alagoinhas;-6,93%;49.498.443,70
Sorocaba;-7,25%;43.097.921,17
Colatina;-7,81%;37.797.247,72
João Pessoa;-7,78%;36.893.250,00
Ponta Porã;-6,63%;34.658.219,63
Maringá;-7,81%;32.539.617,96
Chapecó;-6,23%;31.446.175,77
Passo Fundo;-7,81%;31.230.860,61
Belford Roxo;-7,81%;29.890.611,08
Vila Velha;-6,60%;28.263.180,96
Catanduva;-7,81%;28.020.792,31
Ponta Grossa;-7,81%;23.911.426,39
Santa Maria;-8,18%;20.755.114,51
Cachoeirinha;-6,47%;19.647.563,84
Guarulhos;-7,20%;16.474.487,66
Pelotas;-8,70%;15.511.323,60
Uberaba;-8,69%;13.063.096,19
Bagé;-8,69%;12.836.376,40
Rio Grande;-8,21%;10.143.929,10
Mogi das Cruzes;-7,14%;7.132.695,00
Uruguaiana;-7,58%;5.328.145,35
Bancos Federais;-7,73%;15.888.312.730,45
BNDES;-7,80%;14.976.902.678,56
Banco do Brasil;-7,78%;491.910.000,00
Banco do Nordeste;-4,88%;357.719.351,05
CAIXA;-8,03%;61.780.700,85
Entidades Estaduais Controladas;-11,24%;8.001.525.439,43
SABESP-SP;-13,24%;4.637.321.369,44
CELESC-SC;-7,81%;1.147.775.804,49
CAESB-DF;-7,78%;751.523.843,33
CEEE-GT-RS;-6,60%;560.391.944,19
CEEE-D-RS;-4,93%;316.882.075,67
CASAN-SC;-22,68%;213.398.696,75
CAGECE-CE;-5,10%;189.256.851,79
COPASA-MG;-18,60%;115.236.402,84
SANEAGO-GO;-7,19%;69.738.450,91
Estatais Federais;-8,82%;2.440.695.642,30
FINEP;-7,79%;1.637.175.518,90
ELETROBRÁS;-13,61%;432.176.246,55
Furnas Centrais Elétricas;-7,78%;371.343.876,86
