Relatório de Custo Médio de Garantias
Data de Emissão: 13/01/2022 08:10
Tipo de Dívida: Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Custo Médio: Tipo de Mutuário

Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$);
Garantia Total;8,378537706986523%;190.484.578.267,6590088606;
Estados;8,483636927998435%;137.389.718.730,5860325606;
São Paulo;7,806675768150778%;30.054.802.753,90539316;
Rio de Janeiro;8,951453547176302%;16.156.298.384,456525;
Minas Gerais;9,274421800999552%;15.156.952.585,39693;
Bahia;8,396099386709302%;13.445.853.400,956230235;
Rio Grande do Sul;8,246765600537239%;10.869.265.673,254475;
Ceará;8,489884282620985%;10.154.901.702,0188968166;
Pernambuco;8,45141300284206%;9.236.671.107,310516709;
Amazonas;8,636554594375929%;4.895.615.426,66715;
Paraná;8,434057525889493%;3.627.911.762,92223331;
Piauí;8,191099353993417%;3.048.677.607,34785807;
Santa Catarina;9,537676674355856%;2.700.285.867,457075;
Acre;8,462226408483683%;2.382.806.518,318795;
Alagoas;8,36640580996753%;2.017.347.048,733375;
Pará;6,773575836412246%;1.988.755.022,5942065;
Mato Grosso do Sul;8,281473231226705%;1.637.135.760,16061;
Tocantins;8,29486201190132%;1.537.116.759,616975;
Espírito Santo;8,670091725180836%;1.531.268.049,01212;
Rio Grande do Norte;8,652212571569618%;1.520.657.246,69057;
Mato Grosso;8,909289154532914%;1.287.496.624,862255;
Maranhão;12,85379845080752%;1.256.250.481,51048;
Sergipe;7,999110754890742%;1.205.570.588,78957746;
Distrito Federal;8,997928502151715%;1.150.338.594,5826815;
Paraíba;8,420160770655567%;455.473.885,7137638;
Goiás;8,7003158659223%;47.734.843,6325;
Rondônia;8,7003158659223%;24.531.034,67484;
Municípios;8,586310087870735%;22.351.792.663,44864446;
Rio de Janeiro;8,056297144670314%;5.596.477.267,099085;
Fortaleza;9,219141496838348%;1.918.147.851,65385;
São Bernardo do Campo;9,107999489588021%;1.824.762.109,086915;
Belo Horizonte;8,981544447314503%;1.652.318.373,100105;
Manaus;8,592736562257614%;1.286.260.131,54589;
Salvador;7,546152288954952%;1.062.391.685,872445;
Porto Alegre;9,422421410128738%;594.322.120,004555;
Recife;8,390167322007729%;583.649.831,287565;
São Paulo;8,70032094464629%;541.070.219,514015;
Curitiba;3,30004223848725%;449.982.343,7900414;
Niterói;9,436239455525602%;436.260.445,54847;
Taubaté;9,631065018826%;334.830.000,00;
São José dos Campos;8,7003158659223%;327.040.923,651625;
Caucaia;9,5268414677691%;295.733.855,41432;
Florianópolis;8,880269596584551%;283.342.043,43759;
Blumenau;8,7003158659223%;269.536.963,13926;
Belém;8,7003158659223%;267.608.729,458545;
Teresina;8,328816405359705%;262.238.670,50418;
Campo Grande;8,887400229397693%;237.810.057,98253;
Joinville;8,778930218690522%;227.531.242,50784;
Goiânia;8,7003158659223%;212.350.558,02173;
Hortolândia;9,621887506025253%;202.481.603,876275;
Camaçari;9,4712396649155%;198.110.352,41037;
Corumbá;10,5529446426881%;188.578.899,985095;
Itajaí;7,5964906417165%;176.264.627,939765;
Aparecida de Goiânia;10,18263841586371%;165.275.808,51935;
São Luís;8,12337602731722%;158.324.235,36274;
Maceió;9,505752157352%;156.820.945,317;
Caxias do Sul;9,851862788736452%;144.036.943,72458;
Canoas;10,3773939391024%;139.512.499,88839;
Cascavel;8,7003158659223%;136.951.033,7585;
Palmas;9,4531332838361%;130.104.318,3085;
Vitória;8,7003158659223%;123.935.936,797065;
Sobral;9,5342689618198%;123.277.809,849;
Aracaju;8,7003158659223%;110.237.656,8332;
Santo André;9,106020241223193%;106.996.599,31068;
Parauapebas;8,7003158659223%;103.786.619,425245;
Araguaína;9,4537000404102%;97.815.046,30019;
Novo Hamburgo;8,7003158659223%;95.984.466,905075;
Santos;7,9466048218634%;91.207.627,098785;
São Gonçalo do Amarante;10,0576476140944%;89.187.599,99679;
Toledo;3,69057828077179%;65.403.434,89912306;
Criciúma;10,4593574821324%;59.040.109,211765;
Contagem;9,4740137891995%;58.930.565,894135;
Paranaguá;8,7003158659223%;58.859.930,54797;
Alagoinhas;9,7904429333359%;56.153.781,194195;
Sorocaba;9,4059433417147%;48.892.673,27218;
Jacareí;9,4797410135278%;48.550.350,00;
Colatina;8,7003158659223%;44.262.498,26952;
João Pessoa;8,7003158659223%;41.853.750,00;
Ponta Porã;10,1409375391285%;39.318.207,52481;
Maringá;8,7003158659223%;38.334.546,238815;
Passo Fundo;8,7003158659223%;36.792.714,41402;
Chapecó;10,6133734790027%;35.674.286,731665;
Belford Roxo;8,7003158659223%;35.322.466,50878;
Catanduva;8,7003158659223%;32.965.687,65;
Vila Velha;10,1200488613559%;32.063.320,80;
Maracanaú;8,7003158659223%;30.692.750,00;
Ponta Grossa;8,7003158659223%;28.169.773,91793;
Santa Maria;8,2526832011982%;26.169.379,461375;
Cachoeirinha;10,3438658133473%;24.003.847,18365;
Pelotas;7,6657023661383%;22.016.340,3896;
Guarulhos;1,3706184869006%;18.689.572,97207;
Uberaba;7,6538601366679%;18.542.230,751545;
Bagé;7,6538601366679%;15.772.793,226295;
Rio Grande;8,2738619994954%;12.943.643,62558;
Uruguaiana;8,9603831865521%;6.546.998,346635;
Betim;8,155737997725%;4.878.174,32003;
Mogi das Cruzes;9,4750578144677%;4.743.425,00;
Campinas;10,4680998431287%;3.649.356,869805;
Bancos Federais;8,782683433456111%;18.688.008.983,651225;
BNDES;8,7003158659223%;17.613.453.125,00;
Banco do Brasil;8,7003158659223%;558.050.000,00;
Banco do Nordeste;12,2070270436469%;443.310.454,14907;
CAIXA;8,4916158411428%;73.195.404,502155;
Entidades Estaduais Controladas;5,6127243707965%;9.192.301.010,62798906;
SABESP-SP;3,941403828569244%;5.710.289.091,73193519;
CELESC-SC;8,7003158659223%;1.023.075.562,49697;
CAESB-DF;8,7003158659223%;717.316.347,53823;
CEEE-GT-RS;10,15252372143411%;644.192.297,429665;
CEEE-D-RS;12,14377635610204%;371.884.769,33674;
CASAN-SC;-3,060039761774125%;269.739.823,16366887;
CAGECE-CE;11,9493038780997%;229.017.039,47184;
COPASA-MG;1,16544871367%;140.478.622,9464;
SANEAGO-GO;9,4334140845107%;86.307.456,51254;
Estatais Federais;7,955124932192075%;2.862.756.879,34511778;
FINEP;8,7003158659223%;1.857.302.755,21997;
ELETROBRÁS;5,048536053109402%;584.181.024,40808778;
Furnas Centrais Elétricas;8,7003158659223%;421.273.099,71706;
