Relatório de Custo Médio de Garantias;;
Data de Emissão: 11/05/2022 09:16;;
Tipo de Dívida: Interna;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Estatístico;;
Data de Referência: 30/04/2022;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;3,42%;107.892.332.139,78
Estados;2,85%;92.588.666.440,51
Rio de Janeiro;2,47%;19.576.037.429,95
São Paulo;-0,51%;9.593.487.485,44
Minas Gerais;-3,64%;9.351.180.524,75
Goiás;3,06%;8.154.627.128,79
Santa Catarina;3,73%;6.577.784.595,39
Ceará;5,82%;5.115.463.775,87
Espírito Santo;5,64%;3.760.617.334,51
Bahia;1,32%;3.611.891.833,81
Maranhão;6,62%;3.304.765.852,43
Paraná;7,09%;3.142.322.126,06
Piauí;3,39%;3.049.926.666,28
Amazonas;5,01%;2.836.569.260,99
Pernambuco;5,70%;1.700.878.047,10
Amapá;6,31%;1.388.727.869,13
Pará;7,22%;1.370.933.863,26
Rio Grande do Sul;6,54%;1.257.286.716,64
Mato Grosso;6,87%;1.240.284.535,64
Distrito Federal;0,79%;1.228.582.456,69
Tocantins;0,76%;1.121.213.140,01
Alagoas;6,49%;1.120.076.669,26
Paraíba;6,64%;968.978.291,71
Sergipe;6,25%;655.721.086,03
Roraima;6,31%;627.722.122,69
Acre;6,69%;589.527.386,20
Mato Grosso do Sul;6,57%;586.569.179,49
Rio Grande do Norte;5,33%;421.791.738,58
Rondônia;6,50%;235.699.323,81
Municípios;7,50%;8.165.065.752,16
Rio de Janeiro;8,27%;1.788.168.086,42
Manaus;6,90%;1.249.705.771,51
Mauá;8,66%;553.338.990,37
São Paulo;7,68%;548.030.873,87
Goiânia;7,95%;387.726.600,78
Fortaleza;7,14%;341.884.532,99
São Bernardo do Campo;7,97%;287.229.023,74
Osasco;8,11%;255.023.430,77
Belo Horizonte;7,96%;214.992.583,73
Natal;5,26%;195.090.015,04
Ribeirão Preto;4,75%;191.362.279,38
Curitiba;8,07%;153.281.257,43
Teresina;7,88%;110.679.332,99
Serra;8,00%;100.690.679,92
Porto Alegre;7,51%;90.657.659,20
Salvador;7,91%;81.661.542,96
Linhares;7,80%;76.880.819,13
Balneário Camboriú;8,18%;71.651.210,87
Jaraguá do Sul;6,49%;54.158.249,19
Rio Branco;8,09%;51.600.114,00
Aracati;6,51%;49.390.143,41
São Caetano do Sul;8,07%;49.377.153,07
Palmas;7,01%;46.448.267,66
Chapecó;2,83%;44.854.308,26
Ouro Preto;8,12%;42.083.333,31
Muriaé;7,91%;41.047.682,41
Sete Lagoas;5,73%;40.985.919,14
Cachoeiro de Itapemirim;5,43%;40.000.000,00
Caxias do Sul;7,79%;37.607.980,11
Cariacica;7,91%;33.906.879,52
Joinville;8,22%;33.180.355,56
Paranaguá;7,99%;27.619.937,69
Suzano;7,99%;27.529.654,36
Criciúma;8,19%;26.599.730,67
Itapipoca;7,96%;26.557.203,41
Cascavel;7,99%;25.666.666,66
Sorocaba;4,91%;24.804.631,93
Boa Vista;7,84%;24.306.250,82
Ponta Porã;4,27%;22.811.005,29
Piraquara;7,89%;22.030.935,94
Eusébio;7,29%;22.000.000,00
Jandira;7,59%;21.058.976,84
Timbó;6,49%;21.011.231,27
Mogi das Cruzes;7,92%;20.571.428,52
Foz do Iguaçu;1,48%;20.000.000,00
Gaspar;4,06%;20.000.000,00
Ituiutaba;7,93%;19.059.090,88
Itatiaia;8,02%;18.500.000,00
Santo André;7,88%;18.360.252,28
Barra do Piraí;6,90%;17.770.205,56
Camocim;7,79%;16.757.358,92
Votuporanga;7,77%;15.714.285,68
Osório;7,63%;15.450.861,98
Tapejara;6,14%;14.952.082,45
Feira de Santana;3,74%;14.375.000,00
Camboriú;7,96%;14.268.527,84
Aquidauana;5,72%;14.231.357,79
Tanguá;7,96%;14.223.977,51
Gurupi;5,32%;14.216.754,39
Nova Alvorada do Sul;6,15%;13.974.620,61
