Relatório de Custo Médio de Garantias
Data de Emissão: 13/01/2022 08:12
Tipo de Dívida: Interna
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Custo Médio: Tipo de Mutuário

Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$);
Garantia Total;7,846692963995828%;112.926.129.201,101882641246;
Estados;8,217222685651686%;96.739.840.477,745055682;
Rio de Janeiro;10,61331795748779%;20.979.746.550,978116459;
São Paulo;10,28466243112758%;10.664.517.043,06003246;
Minas Gerais;10,77954742315781%;10.539.665.543,807988127;
Goiás;7,953724159768143%;8.768.825.588,0400253;
Santa Catarina;6,68640215933812%;6.905.671.953,69002008;
Ceará;4,474128312197341%;5.099.754.637,6694534;
Bahia;8,781386390370133%;3.907.391.929,00147011;
Espírito Santo;5,225501515761441%;3.765.905.908,2119977;
Maranhão;5,846456398484489%;3.411.038.483,05001021;
Paraná;4,404878832832453%;3.178.979.838,41000941;
Piauí;7,093639651551419%;2.617.484.135,98563132;
Pernambuco;5,809948020949634%;1.777.480.268,04448277;
Amazonas;4,186511287843603%;1.769.767.606,2300052;
Pará;5,340348263752322%;1.390.332.451,8600042;
Amapá;5,822638123876122%;1.383.492.067,0200042;
Distrito Federal;9,224863826345533%;1.354.994.220,41000405;
Mato Grosso;6,025034057879594%;1.331.754.957,86000401;
Rio Grande do Sul;6,006299748424269%;1.304.792.667,900004016;
Tocantins;8,898546523334982%;1.216.306.215,9400037;
Alagoas;5,049749090381401%;1.164.672.028,01000354;
Paraíba;6,118356268847607%;1.005.714.690,060003;
Sergipe;5,960456082582667%;664.288.999,88156922;
Roraima;5,795671623619337%;644.610.578,7400019;
Mato Grosso do Sul;6,055356371039686%;607.981.818,52000176;
Acre;6,179169452616744%;601.064.629,23000174;
Rio Grande do Norte;6,250353765301669%;440.791.506,4942071;
Rondônia;5,9844436648655%;242.814.159,6400007;
Municípios;5,541301565096929%;8.192.601.751,316803191246;
Rio de Janeiro;7,493842940280764%;1.866.863.620,7600059;
Manaus;3,563754132069074%;1.287.491.131,05000381;
São Paulo;5,023893977795876%;582.189.152,663557089;
Mauá;8,4260805633333%;553.398.539,7024511;
Goiânia;4,8468173540989%;402.086.845,2600012;
Fortaleza;6,084714176193763%;348.299.671,77245185;
São Bernardo do Campo;4,8362411342233%;299.073.519,5800009;
Osasco;4,9177302625515%;245.457.892,0900007;
Natal;5,5181344%;198.094.034,9893397;
Belo Horizonte;4,946288313390023%;186.708.105,4600006;
Ribeirão Preto;5,653569998083035%;177.425.202,862423703;
Curitiba;4,903834913391%;144.026.163,7800004;
Serra;4,8628651865336%;107.634.864,7600003;
Teresina;4,61829648551881%;100.165.042,3400003;
Porto Alegre;6,993685850633106%;98.439.738,5700002915;
Linhares;4,7323205242956%;81.093.466,77000024;
Balneário Camboriú;4,165254593771%;74.945.519,43000022;
Cariacica;2,761495531149137%;62.169.164,05000019;
Salvador;4,7954908932266%;55.085.156,39000017;
