Relatório de Custo Médio de Garantias;;
Data de Emissão: 11/05/2022 09:11;;
Tipo de Dívida: Interna - Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Estatístico;;
Data de Referência: 30/04/2022;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;-3,64%;273.382.237.521,20
Estados;-3,35%;211.980.420.775,27
São Paulo;-6,62%;35.739.687.835,07
Rio de Janeiro;-1,73%;33.574.981.191,37
Minas Gerais;-6,05%;21.750.119.573,75
Bahia;-5,83%;15.245.843.686,30
Ceará;-2,89%;13.880.463.540,20
Rio Grande do Sul;-6,41%;10.607.130.959,76
Pernambuco;-5,68%;9.935.074.945,53
Santa Catarina;0,92%;8.885.874.383,06
Goiás;3,01%;8.194.874.997,55
Amazonas;-3,67%;8.040.272.248,16
Paraná;-0,49%;6.301.048.136,36
Piauí;-1,96%;5.659.734.992,39
Espírito Santo;2,01%;5.150.123.497,27
Maranhão;4,31%;4.176.953.567,27
Pará;-2,41%;3.109.847.663,76
Alagoas;-2,46%;2.918.544.110,91
Acre;-4,78%;2.669.070.214,39
Tocantins;-4,20%;2.499.204.643,10
Mato Grosso;0,03%;2.354.079.193,45
Distrito Federal;-2,88%;2.199.583.396,81
Mato Grosso do Sul;-3,77%;1.977.057.365,01
Rio Grande do Norte;-4,76%;1.789.858.511,15
Sergipe;-2,74%;1.698.164.742,77
Amapá;6,31%;1.388.727.869,13
Paraíba;2,51%;1.349.054.444,03
Roraima;6,31%;627.722.122,69
Rondônia;5,30%;257.322.944,04
Municípios;-3,39%;27.932.682.986,64
Rio de Janeiro;-3,83%;6.603.979.906,29
Manaus;-0,05%;2.359.491.922,66
Fortaleza;-5,05%;2.141.099.480,29
São Bernardo do Campo;-5,04%;1.832.372.380,33
Belo Horizonte;-5,56%;1.663.598.619,89
São Paulo;0,48%;1.024.973.534,35
Salvador;-7,00%;1.024.611.886,14
Porto Alegre;-5,09%;636.885.123,66
Goiânia;2,96%;567.422.091,31
Mauá;8,66%;553.338.990,37
Recife;-8,08%;514.475.743,23
Curitiba;-7,62%;508.559.538,06
Niterói;-7,20%;404.362.120,05
Teresina;-3,06%;350.188.448,04
Caucaia;-7,16%;301.326.037,89
Taubaté;-7,06%;295.146.000,00
São José dos Campos;-7,78%;273.866.079,60
Florianópolis;-7,65%;271.567.281,71
Osasco;8,11%;255.023.430,77
Campo Grande;-7,67%;238.967.122,03
Belém;-7,79%;235.891.784,08
Joinville;-5,45%;231.499.036,92
Blumenau;-7,78%;229.927.242,37
Hortolândia;-7,06%;207.313.540,67
Camaçari;-7,20%;196.345.563,35
Natal;5,26%;195.090.015,04
Ribeirão Preto;4,75%;191.362.279,38
Corumbá;-6,28%;166.228.557,82
Caxias do Sul;-3,52%;164.573.687,46
Palmas;-3,10%;161.132.642,21
Itajaí;-8,74%;155.373.771,40
Maceió;-7,15%;154.284.418,36
Cascavel;-4,97%;142.835.707,99
Aparecida de Goiânia;-6,56%;138.513.657,63
São Luís;-8,33%;137.937.229,72
Canoas;-6,41%;122.977.499,90
Santo André;-5,05%;116.856.866,13
Sobral;-7,14%;108.666.942,82
Vitória;-7,81%;104.561.358,27
Serra;8,00%;100.690.679,92
Parauapebas;-7,81%;99.970.810,22
Aracaju;-7,81%;99.933.965,38
Araguaína;-7,20%;86.222.022,09
Novo Hamburgo;-7,81%;81.964.390,12
Criciúma;-1,43%;78.642.415,24
São Gonçalo do Amarante;-6,70%;78.617.099,39
Santos;-8,42%;78.164.543,27
Paranaguá;-2,19%;77.714.699,68
Linhares;7,80%;76.880.819,13
Chapecó;-0,91%;76.300.484,03
Balneário Camboriú;8,18%;71.651.210,87
Maracanaú;-7,78%;69.851.220,00
Sorocaba;-2,81%;67.902.553,10
Toledo;-12,41%;60.637.915,71
Contagem;-7,21%;59.324.774,31
Ponta Porã;-2,30%;57.469.224,92
Jacareí;-7,19%;56.569.650,00
Jaraguá do Sul;6,49%;54.158.249,19
Rio Branco;8,09%;51.600.114,00
Alagoinhas;-6,93%;49.498.443,70
Aracati;6,51%;49.390.143,41
São Caetano do Sul;8,07%;49.377.153,07
Ouro Preto;8,12%;42.083.333,31
Muriaé;7,91%;41.047.682,41
Sete Lagoas;5,73%;40.985.919,14
Maringá;-4,56%;40.954.696,47
Cachoeiro de Itapemirim;5,43%;40.000.000,00
Colatina;-7,81%;37.797.247,72
João Pessoa;-7,78%;36.893.250,00
Cariacica;7,91%;33.906.879,52
Passo Fundo;-7,81%;31.230.860,61
Belford Roxo;-7,81%;29.890.611,08
Vila Velha;-6,60%;28.263.180,96
Catanduva;-7,81%;28.020.792,31
Mogi das Cruzes;4,04%;27.704.123,52
