Relatório de Custo Médio de Garantias
Data de Emissão: 13/01/2022 08:13
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Custo Médio: Tipo de Mutuário

Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$);
Garantia Total;8,18059094148525%;303.410.707.468,760891501846;
Estados;8,373557400266993%;234.129.559.208,3310882426;
São Paulo;8,455668215263341%;40.719.319.796,96542562;
Rio de Janeiro;9,890312119516019%;37.136.044.935,434641459;
Minas Gerais;9,891760649995195%;25.696.618.129,204918127;
Bahia;8,482853610477148%;17.353.245.329,957700345;
Ceará;7,147384676082149%;15.254.656.339,6883502166;
Rio Grande do Sul;8,006636685873264%;12.174.058.341,154479016;
Pernambuco;8,025129422379381%;11.014.151.375,354999479;
Santa Catarina;7,487910600296849%;9.605.957.821,14709508;
Goiás;7,957766375394836%;8.816.560.431,6725253;
Paraná;6,55233550345085%;6.806.891.601,33224272;
Amazonas;7,454995717511442%;6.665.383.032,8971552;
Piauí;7,68412770525692%;5.666.161.743,33348939;
Espírito Santo;6,221238293941166%;5.297.173.957,2241177;
Maranhão;7,73255706509886%;4.667.288.964,56049021;
Pará;6,183871420579836%;3.379.087.474,4542107;
Alagoas;7,15245416019717%;3.182.019.076,74337854;
Acre;8,002332292809006%;2.983.871.147,54879674;
Tocantins;8,561535614265278%;2.753.422.975,5569787;
Mato Grosso;7,442793515076676%;2.619.251.582,72225901;
Distrito Federal;9,120665110577287%;2.505.332.814,99268555;
Mato Grosso do Sul;7,678636840942898%;2.245.117.578,68061176;
Rio Grande do Norte;8,112448807728121%;1.961.448.753,1847771;
Sergipe;7,274855371451043%;1.869.859.588,67114668;
Paraíba;6,83586245386327%;1.461.188.575,7737668;
Amapá;5,822638123876122%;1.383.492.067,0200042;
Roraima;5,795671623619337%;644.610.578,7400019;
Rondônia;6,23364640556672%;267.345.194,3148407;
Municípios;7,769579468900208%;30.544.394.414,765447651246;
Rio de Janeiro;7,915606091119956%;7.463.340.887,8590909;
Manaus;6,077042691147643%;2.573.751.262,59589381;
Fortaleza;8,737453747313617%;2.266.447.523,42630185;
São Bernardo do Campo;8,506460562144702%;2.123.835.628,6669159;
Belo Horizonte;8,571863000856601%;1.839.026.478,5601056;
São Paulo;6,794816344661764%;1.123.259.372,177572089;
Salvador;7,410560563534617%;1.117.476.842,26244517;
Porto Alegre;9,077304122603182%;692.761.858,5745552915;
Goiânia;6,17859265773614%;614.437.403,2817312;
Curitiba;3,688905535091829%;594.008.507,5700418;
Recife;8,390167322007729%;583.649.831,287565;
Mauá;8,4260805633333%;553.398.539,7024511;
Niterói;9,436239455525602%;436.260.445,54847;
Teresina;7,303262936391579%;362.403.712,8441803;
Taubaté;9,631065018826%;334.830.000,00;
São José dos Campos;8,7003158659223%;327.040.923,651625;
Caucaia;9,5268414677691%;295.733.855,41432;
Florianópolis;8,880269596584551%;283.342.043,43759;
Blumenau;8,7003158659223%;269.536.963,13926;
Belém;8,7003158659223%;267.608.729,458545;
Joinville;8,280261523089502%;262.219.796,0478401;
Osasco;4,9177302625515%;245.457.892,0900007;
Campo Grande;8,887400229397693%;237.810.057,98253;
Hortolândia;9,621887506025253%;202.481.603,876275;
Camaçari;9,4712396649155%;198.110.352,41037;
Natal;5,5181344%;198.094.034,9893397;
Corumbá;10,5529446426881%;188.578.899,985095;
Caxias do Sul;8,7186915011033%;184.765.921,914580126;
Palmas;7,722555930818011%;178.410.516,68850014;
Ribeirão Preto;5,653569998083035%;177.425.202,862423703;
Itajaí;7,5964906417165%;176.264.627,939765;
Aparecida de Goiânia;10,18263841586371%;165.275.808,51935;
Cascavel;8,073416631262397%;163.654.737,45850008;
São Luís;8,12337602731722%;158.324.235,36274;
Maceió;9,505752157352%;156.820.945,317;
Canoas;10,3773939391024%;139.512.499,88839;
Santo André;8,336962443553636%;126.191.408,51068006;
Vitória;8,7003158659223%;123.935.936,797065;
Sobral;9,5342689618198%;123.277.809,849;
Aracaju;8,7003158659223%;110.237.656,8332;
Serra;4,8628651865336%;107.634.864,7600003;
Parauapebas;8,7003158659223%;103.786.619,425245;
Araguaína;9,4537000404102%;97.815.046,30019;
Novo Hamburgo;8,7003158659223%;95.984.466,905075;
Santos;7,9466048218634%;91.207.627,098785;
São Gonçalo do Amarante;10,0576476140944%;89.187.599,99679;
Paranaguá;7,439951439946665%;87.595.825,31797009;
Criciúma;8,711028345584193%;86.759.828,55176508;
Linhares;4,7323205242956%;81.093.466,77000024;
Balneário Camboriú;4,165254593771%;74.945.519,43000022;
Toledo;3,744772875749254%;72.226.715,30912308;
Sorocaba;8,437042002360664%;68.635.631,851196884;
Cariacica;2,761495531149137%;62.169.164,05000019;
Contagem;9,4740137891995%;58.930.565,894135;
Ponta Porã;8,438843265869072%;58.316.847,494408537;
Alagoinhas;9,7904429333359%;56.153.781,194195;
Rio Branco;4,926200819884721%;54.056.044,00000016;
São Caetano do Sul;4,9266348177664%;51.392.547,07000015;
Jacareí;9,4797410135278%;48.550.350,00;
Colatina;8,7003158659223%;44.262.498,26952;
Ouro Preto;4,9436497073352%;43.749.999,99000013;
Aracati;3,222979599304131%;42.184.858,67000013;
João Pessoa;8,7003158659223%;41.853.750,00;
Muriaé;4,8073704044329%;41.637.254,82000012;
Maringá;8,394356176886791%;41.604.285,46881501;
Sete Lagoas;5,147150599411658%;41.202.219,58159549;
Cachoeiro de Itapemirim;1,5079981499277%;40.000.000,00000012;
Passo Fundo;8,7003158659223%;36.792.714,41402;
Chapecó;10,6133734790027%;35.674.286,731665;
Belford Roxo;8,7003158659223%;35.322.466,50878;
Jaraguá do Sul;4,9808006937719%;33.055.555,5800001;
Catanduva;8,7003158659223%;32.965.687,65;
Vila Velha;10,1200488613559%;32.063.320,80;
Maracanaú;8,7003158659223%;30.692.750,00;
Suzano;4,8583383330005%;28.641.963,64000009;
Ponta Grossa;8,7003158659223%;28.169.773,91793;
Itapipoca;4,7707082835199%;27.641.496,12000008;
Mogi das Cruzes;5,634769987017489%;26.457.710,68000007;
Santa Maria;8,2526832011982%;26.169.379,461375;
Boa Vista;4,7534257201407%;25.463.691,34000008;
Cachoeirinha;10,3438658133473%;24.003.847,18365;
Barra do Piraí;3,2439822907908%;23.494.274,52000007;
Piraquara;4,730495367709%;23.032.342,10000007;
Pelotas;7,6657023661383%;22.016.340,3896;
Eusébio;3,2252246343306%;22.000.000,00000007;
Jandira;4,5542144743909%;21.901.335,92000007;
