Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2022 08:42;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
AFD CBR 1031;TA601047;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;2,78%;2.112.690,62;26.919,20;2.139.609,82;2.226.987,18;28.375,53;2.255.362,71;10.954.772,65;139.582,06;11.094.354,71
AFD CBR 1031;TA601047;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,36%;2.100.000,00;13.090,00;2.113.090,00;2.213.610,00;13.798,17;2.227.408,17;10.888.968,95;67.874,57;10.956.843,52
AFD CBR 1031;TA601047;12232;Externa;Toledo;Municípios;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;EUR;;Pré-fixado;1,21%;2.411.409,32;13.373,27;2.424.782,59;2.541.866,56;14.096,76;2.555.963,33;12.503.695,82;69.343,39;12.573.039,21
AFD CBR 1042;TA621694;12246;Externa;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,25%;203.825.000,00;0;203.825.000,00;203.825.000,00;0;203.825.000,00;1.002.635.557,50;0;1.002.635.557,50
AFD CBR 1042;TA621694;12246;Externa;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;AFD;Agências Governamentais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,09%;101.912.500,00;0;101.912.500,00;101.912.500,00;0;101.912.500,00;501.317.778,75;0;501.317.778,75
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,39%;6.486.842,11;70.402,06;6.557.244,17;6.486.842,11;70.402,06;6.557.244,17;31.909.425,02;346.314,77;32.255.739,80
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;5,09%;7.505.318,14;94.444,00;7.599.762,14;7.505.318,14;94.444,00;7.599.762,14;36.919.410,46;464.579,48;37.383.989,94
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,24%;14.517.749,34;152.178,27;14.669.927,61;14.517.749,34;152.178,27;14.669.927,61;71.414.260,78;748.580,13;72.162.840,91
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,95%;5.903.296,93;72.241,60;5.975.538,53;5.903.296,93;72.241,60;5.975.538,53;29.038.907,93;355.363,65;29.394.271,58
AFD CBR 1043;TA630781;12248;Externa;CEEE-GT-RS;Entidades Estaduais Controladas;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;;AFD;Agências Governamentais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;USD;;Pré-fixado;4,94%;5.800.000,00;70.834,11;5.870.834,11;5.800.000,00;70.834,11;5.870.834,11;28.530.780,00;348.440,07;28.879.220,07
