Relatório de Percentual Vincendo Garantias;;;;;;;;;;;;;;
Data de Emissão: 11/05/2022 09:48;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;
Posição: Estatística;;;;;;;;;;;;;;
Mês de Referência: 04/2022;;;;;;;;;;;;;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;;;;;;;;;;;;;
Tipo de Cálculo: Valor Corrente;;;;;;;;;;;;;;
Tipo Percentual Vincendo: Tipo de Mutuário;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%)
Garantia Total;34.915.941.397,68;9,86%;33.208.547.971,20;9,38%;31.479.430.033,21;8,89%;29.974.372.181,75;8,47%;28.660.543.323,73;8,10%;195.805.726.613,41;55,31%;354.044.561.520,98;100%
Estados;26.626.203.328,60;9,58%;25.573.559.799,78;9,20%;24.449.049.063,35;8,80%;23.471.433.148,98;8,45%;22.533.544.848,09;8,11%;155.203.600.774,32;55,86%;277.857.390.963,12;100%
Acre;246.527.129,96;7,24%;235.965.071,51;6,93%;231.499.755,87;6,80%;226.758.912,46;6,66%;222.033.467,39;6,52%;2.240.623.160,57;65,83%;3.403.407.497,76;100%
Alagoas;356.481.167,46;9,16%;346.667.777,54;8,91%;336.418.120,32;8,64%;323.482.295,18;8,31%;292.116.336,39;7,51%;2.237.078.992,96;57,48%;3.892.244.689,85;100%
Amapá;202.002.832,62;9,70%;196.013.771,17;9,41%;190.154.747,92;9,13%;183.904.116,76;8,83%;177.543.604,18;8,52%;1.133.874.367,02;54,42%;2.083.493.439,67;100%
Amazonas;1.038.480.822,89;9,77%;1.152.707.219,86;10,84%;1.149.408.883,60;10,81%;1.023.665.537,97;9,63%;924.341.441,70;8,69%;5.343.731.621,35;50,26%;10.632.335.527,37;100%
Bahia;1.594.677.966,99;8,42%;1.573.562.725,89;8,31%;1.545.579.399,98;8,16%;1.525.032.040,25;8,05%;1.486.898.098,06;7,85%;11.207.535.780,04;59,19%;18.933.286.011,21;100%
Ceará;1.765.445.960,33;9,62%;1.793.214.372,61;9,77%;1.731.655.662,03;9,43%;1.622.506.706,35;8,84%;1.510.653.670,39;8,23%;9.935.647.205,93;54,12%;18.359.123.577,64;100%
Distrito Federal;415.115.639,32;14,92%;387.450.910,12;13,93%;363.862.131,73;13,08%;231.369.633,37;8,32%;205.126.030,74;7,37%;1.179.014.411,25;42,38%;2.781.938.756,53;100%
Espírito Santo;605.853.666,49;8,29%;604.051.959,46;8,27%;594.604.243,81;8,14%;579.501.011,60;7,93%;542.568.028,97;7,43%;4.378.954.976,84;59,94%;7.305.533.887,17;100%
Goiás;1.258.185.430,70;11,01%;1.235.785.485,23;10,81%;1.209.101.722,76;10,58%;1.179.423.703,39;10,32%;1.150.960.204,06;10,07%;5.398.462.264,67;47,22%;11.431.918.810,81;100%
Maranhão;1.134.299.074,34;19,28%;849.516.870,80;14,44%;551.767.036,04;9,38%;525.431.694,66;8,93%;489.909.857,69;8,33%;2.332.674.016,83;39,65%;5.883.598.550,36;100%
Mato Grosso;460.425.075,01;13,60%;373.404.288,54;11,03%;283.251.553,87;8,36%;219.400.982,09;6,48%;211.007.908,27;6,23%;1.839.230.246,85;54,31%;3.386.720.054,63;100%
Mato Grosso do Sul;289.921.525,62;11,80%;228.434.252,51;9,30%;184.393.492,90;7,51%;176.591.187,77;7,19%;168.931.690,55;6,88%;1.407.719.812,55;57,32%;2.455.991.961,90;100%
Minas Gerais;2.867.551.615,60;10,57%;2.779.021.658,35;10,25%;2.647.202.000,66;9,76%;2.553.799.589,97;9,42%;2.471.032.536,55;9,11%;13.798.982.341,19;50,89%;27.117.589.742,32;100%
Paraná;933.917.437,78;10,28%;899.871.868,66;9,91%;874.584.927,93;9,63%;856.242.195,91;9,43%;816.746.308,53;8,99%;4.700.134.497,32;51,76%;9.081.497.236,13;100%
Paraíba;255.912.757,24;12,39%;205.884.738,10;9,96%;168.995.687,58;8,18%;163.586.946,79;7,92%;158.787.189,52;7,68%;1.113.052.667,89;53,87%;2.066.219.987,12;100%
Pará;488.013.364,86;12,28%;496.238.770,09;12,49%;445.085.576,09;11,20%;404.691.770,98;10,19%;382.421.875,82;9,63%;1.756.624.605,25;44,21%;3.973.075.963,09;100%
Pernambuco;958.013.732,59;7,78%;947.201.692,80;7,69%;874.303.844,20;7,10%;856.650.883,42;6,95%;834.101.272,27;6,77%;7.851.116.581,77;63,72%;12.321.388.007,05;100%
Piauí;822.209.754,23;10,51%;849.961.967,46;10,87%;819.530.826,50;10,48%;781.954.729,58;10,00%;743.904.939,12;9,51%;3.804.709.623,14;48,64%;7.822.271.840,03;100%
Rio Grande do Norte;169.965.045,30;7,60%;170.352.097,21;7,61%;157.298.042,69;7,03%;144.608.717,00;6,46%;141.134.640,37;6,31%;1.454.230.064,64;64,99%;2.237.588.607,21;100%
Rio Grande do Sul;950.136.813,00;7,63%;1.112.805.427,21;8,94%;1.173.707.243,20;9,43%;1.266.084.181,70;10,17%;1.304.735.701,93;10,48%;6.637.174.076,90;53,33%;12.444.643.443,94;100%
Rio de Janeiro;3.615.008.518,31;7,94%;3.639.177.452,77;7,99%;3.583.065.118,22;7,87%;3.445.817.732,55;7,57%;3.358.295.450,19;7,38%;27.886.898.998,04;61,25%;45.528.263.270,08;100%
Rondônia;40.210.219,19;11,12%;38.991.878,97;10,78%;37.723.183,41;10,43%;36.382.524,85;10,06%;35.019.689,92;9,68%;173.310.928,29;47,92%;361.638.424,63;100%
Roraima;93.551.313,56;10,09%;90.731.884,69;9,78%;87.871.275,36;9,48%;84.956.011,35;9,16%;81.853.608,75;8,83%;488.351.397,95;52,66%;927.315.491,66;100%
Santa Catarina;1.806.023.830,08;13,73%;1.189.850.460,02;9,05%;1.139.424.126,76;8,66%;1.087.438.191,77;8,27%;1.035.129.230,99;7,87%;6.893.817.246,15;52,42%;13.151.683.085,77;100%
Sergipe;168.605.717,55;7,54%;162.620.213,17;7,27%;154.776.482,29;6,92%;153.982.573,02;6,89%;150.506.093,11;6,73%;1.445.897.199,31;64,65%;2.236.388.278,45;100%
São Paulo;3.769.699.746,24;8,40%;3.711.153.040,06;8,27%;3.636.851.266,96;8,11%;3.549.678.785,60;7,91%;3.378.160.983,79;7,53%;26.813.237.117,83;59,77%;44.858.780.940,48;100%
Tocantins;319.967.171,34;10,06%;302.921.944,98;9,53%;276.932.710,67;8,71%;268.490.492,64;8,44%;259.624.988,84;8,17%;1.751.516.571,79;55,09%;3.179.453.880,26;100%
Municípios;3.696.153.752,44;10,53%;3.723.912.661,36;10,61%;3.556.755.315,41;10,13%;3.250.616.381,86;9,26%;3.018.202.043,52;8,60%;17.859.169.799,26;50,87%;35.104.809.953,85;100%
Abdon Batista;740.751,97;15,92%;693.184,06;14,89%;649.432,33;13,95%;597.629,32;12,84%;544.256,14;11,69%;1.428.610,59;30,70%;4.653.864,41;100%
Abelardo Luz;692.650,42;15,71%;648.359,08;14,71%;609.571,78;13,83%;561.930,58;12,75%;512.860,22;11,63%;1.382.703,65;31,37%;4.408.075,73;100%
Alagoinhas;5.953.394,60;10,41%;5.969.462,59;10,44%;5.839.857,83;10,21%;5.695.563,31;9,96%;5.562.425,56;9,73%;28.168.597,86;49,26%;57.189.301,75;100%
Alto Feliz;270.984,97;5,98%;269.392,90;5,95%;267.506,49;5,90%;265.503,72;5,86%;263.377,41;5,81%;3.194.282,09;70,50%;4.531.047,58;100%
Antônio Prado;317.597,98;9,92%;437.160,68;13,66%;412.962,49;12,90%;384.257,14;12,01%;355.184,88;11,10%;1.293.196,87;40,41%;3.200.360,04;100%
Aparecida de Goiânia;18.570.535,90;11,67%;18.177.796,63;11,43%;21.766.471,48;13,68%;21.139.217,85;13,29%;20.532.610,12;12,91%;58.910.018,14;37,03%;159.096.650,12;100%
Aquidauana;1.605.104,63;5,93%;1.594.741,93;5,89%;1.583.698,10;5,85%;1.571.973,04;5,81%;1.559.524,89;5,76%;19.146.763,65;70,75%;27.061.806,24;100%
Aracaju;9.756.245,69;8,16%;8.904.644,64;7,45%;8.446.400,57;7,06%;8.512.898,39;7,12%;8.368.190,14;7,00%;75.587.091,89;63,21%;119.575.471,32;100%
Aracati;10.972.447,83;13,40%;11.770.397,74;14,37%;11.012.316,28;13,44%;10.197.519,25;12,45%;9.340.427,55;11,40%;28.618.316,19;34,94%;81.911.424,84;100%
Araguaína;1.985.070,43;1,90%;2.214.373,10;2,12%;9.370.898,74;8,96%;9.174.200,80;8,78%;8.989.162,76;8,60%;72.799.450,75;69,64%;104.533.156,58;100%
Araquari;1.186.616,78;5,90%;1.179.013,24;5,87%;1.170.893,54;5,83%;1.162.273,05;5,78%;1.153.120,90;5,74%;14.243.210,23;70,88%;20.095.127,74;100%
Bagé;2.245.111,43;16,99%;2.226.092,71;16,85%;2.206.597,69;16,70%;2.187.340,74;16,55%;2.168.083,79;16,41%;2.180.897,01;16,50%;13.214.123,37;100%
Balneário Camboriú;19.305.964,24;17,74%;17.960.423,21;16,50%;16.672.720,72;15,32%;15.210.210,97;13,98%;13.773.427,27;12,66%;25.913.031,94;23,81%;108.835.778,35;100%
Barra do Guarita;36.420,56;10,69%;46.884,86;13,77%;44.036,68;12,93%;40.977,34;12,03%;37.792,79;11,10%;134.488,83;39,49%;340.601,06;100%
Barra do Piraí;4.302.465,94;15,63%;4.038.564,94;14,67%;3.787.368,14;13,76%;3.494.187,68;12,70%;3.206.119,92;11,65%;8.691.507,43;31,58%;27.520.214,05;100%
Barracão;746.467,29;17,38%;692.286,84;16,12%;646.624,69;15,05%;591.362,01;13,77%;537.137,56;12,50%;1.081.945,66;25,19%;4.295.824,05;100%
Barrocas;1.071.928,11;18,40%;994.746,27;17,07%;920.857,93;15,80%;839.537,18;14,41%;760.251,30;13,05%;1.239.266,49;21,27%;5.826.587,28;100%
Barão;353.413,58;5,63%;351.270,59;5,60%;348.994,16;5,56%;346.577,33;5,52%;344.011,41;5,48%;4.531.375,45;72,21%;6.275.642,52;100%
Belford Roxo;3.121.073,18;9,22%;3.059.676,23;9,04%;3.004.769,92;8,87%;2.952.979,47;8,72%;2.900.172,73;8,56%;18.822.754,03;55,59%;33.861.425,56;100%
Belo Horizonte;188.649.064,22;9,47%;189.582.926,53;9,52%;189.611.924,27;9,52%;182.430.461,90;9,16%;174.566.257,24;8,76%;1.067.003.606,88;53,57%;1.991.844.241,04;100%
Belém;23.036.854,68;8,53%;23.234.673,73;8,61%;22.836.468,90;8,46%;22.439.674,77;8,31%;22.043.362,36;8,17%;156.378.187,34;57,92%;269.969.221,78;100%
Blumenau;20.112.162,17;7,51%;19.806.499,83;7,40%;19.463.792,97;7,27%;19.147.475,60;7,15%;18.822.511,79;7,03%;170.353.457,05;63,63%;267.705.899,41;100%
Boa Vista;6.581.219,75;18,21%;6.090.938,91;16,85%;5.672.957,55;15,69%;5.173.683,87;14,31%;4.683.334,86;12,96%;7.944.231,47;21,98%;36.146.366,41;100%
Bom Jesus;215.759,62;6,05%;214.122,04;6,00%;212.380,78;5,95%;210.532,14;5,90%;208.569,51;5,84%;2.507.497,26;70,26%;3.568.861,35;100%
Caarapó;665.856,41;6,04%;661.549,31;6,00%;656.865,05;5,96%;651.891,90;5,91%;646.612,00;5,86%;7.745.762,36;70,23%;11.028.537,03;100%
Cachoeirinha;3.662.525,05;16,66%;3.561.566,81;16,20%;3.457.804,16;15,73%;3.355.443,74;15,27%;3.253.083,27;14,80%;4.688.014,45;21,33%;21.978.437,48;100%
Cachoeiro de Itapemirim;8.175.075,23;11,97%;9.471.409,56;13,87%;8.894.263,58;13,02%;8.225.342,94;12,05%;7.579.116,63;11,10%;25.941.323,13;37,99%;68.286.531,07;100%
Camaçari;4.334.518,04;1,65%;5.056.443,63;1,93%;14.915.281,62;5,68%;24.298.952,50;9,26%;23.794.693,44;9,06%;190.100.399,88;72,42%;262.500.289,11;100%
Camboriú;3.575.677,66;15,85%;3.342.863,13;14,82%;3.127.975,56;13,86%;2.877.050,79;12,75%;2.630.506,72;11,66%;7.008.412,05;31,06%;22.562.485,91;100%
Camocim;4.210.666,41;16,02%;3.933.046,58;14,96%;3.692.290,60;14,04%;3.398.157,95;12,93%;3.095.764,30;11,78%;7.959.143,64;30,28%;26.289.069,48;100%
Campinas das Missões;111.039,66;5,98%;110.340,03;5,95%;109.567,43;5,90%;108.747,12;5,86%;107.876,20;5,81%;1.308.339,44;70,50%;1.855.909,88;100%
Campo Grande;23.454.680,67;8,31%;22.946.199,06;8,13%;22.490.573,76;7,96%;22.061.917,78;7,81%;21.624.932,39;7,66%;169.817.645,91;60,13%;282.395.949,57;100%
Candeias;1.177.447,22;16,36%;1.093.380,38;15,19%;1.025.416,51;14,25%;941.435,26;13,08%;859.024,38;11,93%;2.101.630,09;29,20%;7.198.333,84;100%
Canoas;30.976.472,26;23,26%;30.370.113,45;22,80%;29.428.242,45;22,10%;28.501.811,92;21,40%;13.898.347,67;10,44%;0;0,00%;133.174.987,75;100%
Capinzal;608.627,46;5,66%;604.955,72;5,62%;601.013,57;5,58%;596.828,30;5,55%;592.384,88;5,50%;7.758.814,06;72,09%;10.762.623,99;100%
Capitólio;589.321,33;17,70%;547.149,98;16,43%;507.279,61;15,23%;465.295,87;13,97%;422.376,20;12,68%;798.484,94;23,98%;3.329.907,93;100%
Carandaí;1.876.963,78;15,70%;1.754.116,96;14,67%;1.644.944,51;13,76%;1.517.154,36;12,69%;1.390.050,48;11,63%;3.771.001,18;31,55%;11.954.231,27;100%
Cariacica;9.237.491,16;18,19%;8.494.351,93;16,73%;7.862.574,77;15,48%;7.198.239,23;14,17%;6.519.978,15;12,84%;11.472.873,07;22,59%;50.785.508,31;100%
Cascavel;16.120.847,78;9,00%;15.504.675,01;8,65%;14.906.923,20;8,32%;14.329.472,37;8,00%;13.723.243,84;7,66%;104.558.753,46;58,37%;179.143.915,66;100%
Castro;710.852,09;5,75%;706.424,52;5,72%;701.718,39;5,68%;696.722,03;5,64%;691.417,45;5,60%;8.849.661,41;71,62%;12.356.795,89;100%
Catanduva;2.667.712,48;8,29%;2.615.713,07;8,13%;2.569.702,56;7,98%;2.526.675,34;7,85%;2.482.672,32;7,71%;19.326.219,56;60,04%;32.188.695,33;100%
