Relatório de Percentual Vincendo Garantias
Data de Emissão: 13/01/2022 08:23
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Percentual Vincendo: Tipo de Mutuário

Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%);
Garantia Total;35.847.725.449,42;9,698726581931253%;33.788.022.844,32;9,141466890932374%;31.711.928.649,90;8,579772398532155%;30.425.436.039,58;8,231707356169179%;29.206.537.033,47;7,901929998106983%;208.633.052.708,68;56,44639677432806%;369.612.702.725,37;100%;
Estados;27.093.770.943,19;9,399750014949651%;25.917.750.480,04;8,991748545192862%;24.415.742.100,95;8,470650787578786%;23.588.881.475,34;8,183784732859576%;22.880.672.735,76;7,938083050195583%;164.342.453.522,99;57,01598286922354%;288.239.271.258,27;100%;
Acre;259.892.628,83;7,284686609050744%;239.772.038,29;6,720714490515568%;235.688.405,73;6,606251900483535%;231.016.230,37;6,475292690777007%;226.777.735,53;6,356489372874231%;2.374.509.921,36;66,55656493629891%;3.567.656.960,11;100%;
Alagoas;341.247.691,87;8,610262598080748%;334.819.103,63;8,448058327692832%;329.620.177,60;8,316880536860036%;317.900.627,25;8,021176248013532%;306.360.215,22;7,729991925201456%;2.333.319.134,57;58,8736303641514%;3.963.266.950,14;100%;
Amapá;197.407.015,12;9,824664277644601%;190.679.296,06;9,48983534018951%;183.941.458,36;9,154502812520637%;176.160.075,31;8,76723452808033%;169.183.487,42;8,420019745560746%;1.091.929.032,01;54,34374329600418%;2.009.300.364,28;100%;
Amazonas;813.194.959,48;10,29761597181795%;796.327.885,82;10,08402555897266%;768.699.649,90;9,734164851935229%;671.031.678,26;8,497379929733725%;599.942.443,36;7,597165741000104%;4.247.727.891,78;53,78964794654033%;7.896.924.508,60;100%;
Bahia;1.575.284.392,32;7,781326206744426%;1.609.526.182,22;7,950468069898607%;1.569.618.859,94;7,75334055805865%;1.606.863.197,75;7,937313904882062%;1.565.701.253,90;7,733989023379977%;12.317.426.543,83;60,84356223703628%;20.244.420.429,96;100%;
Ceará;1.718.135.896,43;9,180770246587219%;1.715.259.969,69;9,165402880885345%;1.677.776.839,78;8,965113716016767%;1.621.427.976,50;8,664016481214239%;1.483.929.156,44;7,929298651983943%;10.497.977.226,28;56,09539802331249%;18.714.507.065,12;100%;
Distrito Federal;438.624.494,87;14,41959055655478%;401.582.117,04;13,20183840683019%;377.835.020,97;12,42116289453793%;248.566.651,25;8,171521150685491%;220.031.123,86;7,233428029823406%;1.355.225.707,04;44,5524589615682%;3.041.865.115,03;100%;
Espírito Santo;601.256.938,48;8,336169681353613%;588.364.418,47;8,157420418691787%;582.748.683,15;8,079560656056137%;565.061.688,52;7,834338058273551%;536.671.454,92;7,440719640860911%;4.338.525.175,32;60,151791544764%;7.212.628.358,86;100%;
Goiás;1.293.301.132,50;10,8277777097849%;1.263.595.429,71;10,57907557967751%;1.233.585.414,28;10,32782568282237%;1.199.912.230,83;10,04590700509523%;1.169.319.461,00;9,789778170965527%;5.784.575.983,39;48,42963585165446%;11.944.289.651,71;100%;
Maranhão;1.196.515.238,29;19,06507378255244%;1.189.155.304,43;18,94780182680523%;544.308.324,33;8,672917846528743%;518.581.770,32;8,262995235703963%;483.500.647,87;7,704018495182165%;2.343.892.597,43;37,34719281322746%;6.275.953.882,67;100%;
Mato Grosso;465.980.134,84;13,40256141523236%;388.580.307,98;11,1763808219852%;298.486.263,23;8,585088022940938%;216.583.885,29;6,229404661521827%;204.365.981,45;5,877992242112082%;1.902.802.528,54;54,72857283620759%;3.476.799.101,33;100%;
Mato Grosso do Sul;293.500.815,75;11,16128425614332%;285.791.710,42;10,86812147317522%;152.455.718,72;5,797604373808459%;184.439.806,62;7,013899108162615%;176.828.852,70;6,724468838797074%;1.536.616.111,26;58,43462194991331%;2.629.633.015,47;100%;
Minas Gerais;3.152.699.021,84;10,26479213033377%;3.065.478.679,63;9,98081364836637%;2.909.928.093,90;9,474360473734356%;2.799.385.596,18;9,114447981992136%;2.716.649.571,02;8,845069873243331%;16.069.574.247,73;52,32051589233004%;30.713.715.210,30;100%;
Paraná;806.678.966,79;8,94768246245946%;869.128.927,42;9,640377376439783%;827.041.637,01;9,173545184455744%;813.014.443,71;9,017955567451868%;792.850.474,14;8,794296832908435%;4.906.792.864,41;54,42614257628471%;9.015.507.313,48;100%;
Paraíba;268.410.672,60;12,66431058746655%;238.238.967,73;11,24073142153492%;175.555.513,29;8,283163721138384%;169.188.518,90;7,982752438373254%;164.133.479,49;7,744242588895221%;1.103.898.700,24;52,08479924259167%;2.119.425.852,25;100%;
Pará;456.496.543,99;11,95149578425802%;474.022.229,20;12,41033420409091%;456.010.286,15;11,93876511060597%;398.891.712,45;10,4433487667895%;381.592.169,68;9,990430962246879%;1.652.563.722,66;43,26562517200871%;3.819.576.664,13;100%;
Pernambuco;981.329.916,64;7,681690990954224%;962.697.767,19;7,535841555259619%;886.603.892,64;6,940191080647654%;864.264.505,11;6,765321988181589%;846.749.304,92;6,628215849641597%;8.233.275.106,86;64,44873853531532%;12.774.920.493,36;100%;
Piauí;676.412.877,71;9,583961558968876%;708.786.633,77;10,04265896675462%;689.723.273,76;9,772553953173031%;667.963.163,93;9,464239219669285%;645.812.400,21;9,150389387724928%;3.669.060.319,08;51,98619691370926%;7.057.758.668,46;100%;
Rio Grande do Norte;176.757.893,42;7,617950981965723%;173.429.540,33;7,474504880636337%;159.252.483,28;6,863498924490384%;145.257.579,41;6,260343446586734%;141.918.309,94;6,116426868685516%;1.523.665.511,24;65,66727489763531%;2.320.281.317,62;100%;
Rio Grande do Sul;1.018.486.843,81;7,547933096124979%;1.146.033.805,79;8,493174501539375%;1.161.119.169,40;8,60497105144183%;1.309.602.482,71;9,705370257937539%;1.408.466.891,92;10,43804731787236%;7.449.876.809,84;55,21050377508392%;13.493.586.003,47;100%;
Rio de Janeiro;3.808.575.057,29;7,96632878461114%;3.695.222.770,14;7,729231819383656%;3.784.959.433,91;7,916932404739742%;3.587.466.173,64;7,503839260876356%;3.502.258.232,61;7,325611324418742%;29.429.927.453,65;61,55805640597036%;47.808.409.121,24;100%;
Rondônia;40.710.598,17;11,15879846074487%;39.254.390,17;10,75965100727171%;37.795.160,18;10,35967522459495%;36.156.170,98;9,910427338681677%;34.654.709,40;9,498875852805498%;176.258.556,59;48,31257211590129%;364.829.585,49;100%;
Roraima;94.202.931,90;10,20791354396325%;90.907.472,82;9,850814665002475%;87.578.573,64;9,490092187043058%;83.860.490,69;9,087197409381856%;80.470.497,48;8,719854727956221%;485.822.213,65;52,64412746665314%;922.842.180,18;100%;
Santa Catarina;1.887.494.817,37;14,26165088075427%;1.159.218.611,60;8,758896173366866%;1.106.063.759,76;8,357265433730406%;1.064.773.746,20;8,045283778027191%;1.008.778.097,41;7,622188367891415%;7.008.427.821,21;52,95471536622985%;13.234.756.853,55;100%;
Sergipe;173.483.711,96;7,454612450819035%;168.905.466,73;7,257884795473904%;155.133.547,20;6,666104036115429%;152.671.806,85;6,560322807108611%;150.785.614,85;6,479272948254557%;1.526.219.463,45;65,58180296222846%;2.327.199.611,04;100%;
São Paulo;4.029.121.079,67;8,395948769739758%;3.797.244.467,81;7,912760472445689%;3.747.640.481,39;7,809394869744244%;3.669.495.500,36;7,646555073082213%;3.600.840.124,96;7,503489872700381%;29.144.530.004,86;60,73185094228772%;47.988.871.659,05;100%;
Tocantins;328.568.671,25;9,955584620872597%;325.726.985,95;9,869481955142442%;276.571.979,45;8,38009215760467%;269.343.765,95;8,161078303108998%;262.101.044,06;7,941624846432728%;1.838.032.874,71;55,69213811683856%;3.300.345.321,37;100%;
Municípios;3.515.064.257,65;9,736173457877347%;3.612.512.891,83;10,00609080107949%;3.496.606.418,33;9,685048154865875%;3.251.984.230,91;9,007483287258369%;2.997.537.730,37;8,302706622190076%;19.229.433.685,28;53,26249767672884%;36.103.139.214,37;100%;
Abdon Batista;680.267,73;14,74377731932851%;643.912,59;13,9558344772169%;608.330,84;13,18465369721427%;569.575,96;12,34470010900379%;529.112,61;11,46771800962646%;1.582.731,39;34,30331638761005%;4.613.931,12;100%;
Abelardo Luz;593.864,45;14,55380941648773%;564.294,60;13,82914242998243%;532.060,89;13,03919234604268%;499.740,18;12,24711015700851%;465.021,91;11,39627107268521%;1.425.492,25;34,93447457779344%;4.080.474,28;100%;
Alagoinhas;6.548.226,16;10,40712065350975%;6.431.105,42;10,22098021754651%;6.319.279,18;10,04325435049913%;6.194.778,22;9,845384502919244%;6.079.903,63;9,662813881663783%;31.347.340,08;49,82044639386159%;62.920.632,69;100%;
Alto Feliz;250.841,89;5,875773878903401%;249.390,63;5,841779255439603%;247.682,61;5,801770231027275%;245.869,23;5,759293231525613%;243.944,03;5,714196936518169%;3.031.358,46;71,00718646658594%;4.269.086,85;100%;
Aparecida de Goiânia;20.361.002,81;11,00212292651856%;19.903.746,01;10,75504297817163%;24.095.563,05;13,02010265081725%;23.541.806,85;12,72087899073654%;22.993.532,27;12,42461733884566%;74.168.658,38;40,07723511491037%;185.064.309,37;100%;
