Relatório de Composição de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2021 12:37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Composição: Indexador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Todas;304.795.864.277,74;100%;2.828.626.415,40;0,93%;1.442.615.977,98;0,47%;46.360.541.566,15;15,21%;2.908.787.956,01;0,95%;228.783.393.818,35;75,06%;22.471.898.543,86;7,37%;114.068.460.123,94;100%;38.055.989.664,54;33,36%;2.828.626.415,40;2,48%;1.442.615.977,98;1,26%;46.360.541.566,15;40,64%;2.908.787.956,01;2,55%;22.471.898.543,86;19,70%;190.727.404.153,81;100%;181.499.688.981,22;95,16%;5.306.597.571,99;2,78%;3.410.018.480,97;1,79%;511.099.119,62;0,27%
Estados;235.334.698.650,93;77,21%;2.565.644.635,41;0,84%;1.442.615.977,98;0,47%;39.844.054.319,44;13,07%;1.650.897.195,96;0,54%;175.945.506.935,19;57,73%;13.885.979.586,95;4,56%;97.445.181.380,28;85,43%;38.055.989.664,54;33,36%;2.565.644.635,41;2,25%;1.442.615.977,98;1,26%;39.844.054.319,44;34,93%;1.650.897.195,96;1,45%;13.885.979.586,95;12,17%;137.889.517.270,65;72,30%;132.302.034.144,39;69,37%;4.527.679.966,68;2,37%;548.704.039,96;0,29%;511.099.119,62;0,27%
São Paulo;41.403.820.153,90;13,58%;0;0,00%;0;0,00%;1.755.141.065,50;0,58%;0;0,00%;38.076.074.110,51;12,49%;1.572.604.977,89;0,52%;10.801.806.022,27;9,47%;7.474.059.978,88;6,55%;0;0,00%;0;0,00%;1.755.141.065,50;1,54%;0;0,00%;1.572.604.977,89;1,38%;30.602.014.131,63;16,04%;27.565.839.407,69;14,45%;2.904.053.145,69;1,52%;132.121.578,25;0,07%;0;0,00%
Rio de Janeiro;38.344.477.059,28;12,58%;2.565.644.635,41;0,84%;1.433.736.468,38;0,47%;5.833.412.852,84;1,91%;318.154.978,28;0,10%;28.193.528.124,37;9,25%;0;0,00%;22.051.954.211,40;19,33%;11.901.005.276,49;10,43%;2.565.644.635,41;2,25%;1.433.736.468,38;1,26%;5.833.412.852,84;5,11%;318.154.978,28;0,28%;0;0,00%;16.292.522.847,88;8,54%;16.292.522.847,88;8,54%;0;0,00%;0;0,00%;0;0,00%
Minas Gerais;26.167.380.051,82;8,59%;0;0,00%;0;0,00%;1.324.554.843,39;0,43%;137.814.952,31;0,05%;24.705.010.256,12;8,11%;0;0,00%;10.968.931.513,19;9,62%;9.506.561.717,49;8,33%;0;0,00%;0;0,00%;1.324.554.843,39;1,16%;137.814.952,31;0,12%;0;0,00%;15.198.448.538,63;7,97%;13.638.061.773,83;7,15%;1.560.386.764,80;0,82%;0;0,00%;0;0,00%
Bahia;17.160.467.153,99;5,63%;0;0,00%;0;0,00%;1.698.449.995,08;0,56%;0;0,00%;15.057.543.415,51;4,94%;404.473.743,40;0,13%;4.060.382.087,11;3,56%;1.957.458.348,63;1,72%;0;0,00%;0;0,00%;1.698.449.995,08;1,49%;0;0,00%;404.473.743,40;0,35%;13.100.085.066,88;6,87%;12.886.377.133,25;6,76%;0;0,00%;31.060.568,87;0,02%;182.647.364,76;0,10%
Ceará;14.255.523.467,55;4,68%;0;0,00%;0;0,00%;1.378.556.467,31;0,45%;317.505.627,42;0,10%;9.980.665.030,67;3,27%;2.578.796.342,15;0,85%;4.399.183.044,25;3,86%;124.324.607,37;0,11%;0;0,00%;0;0,00%;1.378.556.467,31;1,21%;317.505.627,42;0,28%;2.578.796.342,15;2,26%;9.856.340.423,30;5,17%;9.685.721.488,32;5,08%;52.436.337,05;0,03%;846.567,29;0,00%;117.336.030,64;0,06%
Rio Grande do Sul;12.239.808.794,23;4,02%;0;0,00%;8.879.509,60;0,00%;1.360.530.674,34;0,45%;0;0,00%;10.870.398.610,29;3,57%;0;0,00%;1.369.410.183,94;1,20%;0;0,00%;0;0,00%;8.879.509,60;0,01%;1.360.530.674,34;1,19%;0;0,00%;0;0,00%;10.870.398.610,29;5,70%;10.870.398.610,29;5,70%;0;0,00%;0;0,00%;0;0,00%
Pernambuco;11.206.075.349,84;3,68%;0;0,00%;0;0,00%;1.299.239.008,90;0,43%;0;0,00%;9.716.209.698,76;3,19%;190.626.642,18;0,06%;1.637.320.065,28;1,44%;147.454.414,20;0,13%;0;0,00%;0;0,00%;1.299.239.008,90;1,14%;0;0,00%;190.626.642,18;0,17%;9.568.755.284,56;5,02%;9.557.951.565,41;5,01%;10.803.719,15;0,01%;0;0,00%;0;0,00%
