Relatório de Custo Médio de Garantias;;
Data de Emissão: 11/05/2021 12:29;;
Tipo de Dívida: Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Estatístico;;
Data de Referência: 30/04/2021;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;1,48%;190.727.404.153,81
Estados;1,48%;137.889.517.270,65
São Paulo;1,86%;30.602.014.131,63
Rio de Janeiro;1,37%;16.292.522.847,88
Minas Gerais;3,30%;15.198.448.538,63
Bahia;0,87%;13.100.085.066,88
Rio Grande do Sul;0,58%;10.870.398.610,29
Ceará;1,04%;9.856.340.423,30
Pernambuco;0,81%;9.568.755.284,56
Amazonas;0,87%;4.948.497.908,07
Santa Catarina;2,01%;3.334.457.767,11
Paraná;1,12%;3.203.268.763,02
Piauí;0,91%;3.068.730.120,24
Acre;0,91%;2.381.144.289,38
Alagoas;0,60%;2.015.533.894,76
Pará;0,67%;1.808.003.705,26
Mato Grosso do Sul;0,63%;1.618.019.191,08
Espírito Santo;0,97%;1.476.870.046,70
Rio Grande do Norte;1,07%;1.466.753.958,77
Maranhão;4,76%;1.435.623.968,58
Tocantins;0,75%;1.414.514.103,90
Mato Grosso;1,12%;1.298.360.450,88
Sergipe;0,98%;1.214.743.539,12
Distrito Federal;1,26%;1.192.447.616,59
Paraíba;2,94%;449.736.103,04
Goiás;0,91%;48.231.302,50
Rondônia;0,91%;26.015.638,47
Municípios;1,17%;21.064.241.652,70
Rio de Janeiro;0,34%;5.627.083.696,26
Fortaleza;1,56%;1.800.225.383,94
São Bernardo do Campo;1,39%;1.738.167.894,33
Belo Horizonte;1,51%;1.621.066.643,44
Manaus;0,91%;1.281.011.102,42
Salvador;0,85%;770.995.316,50
Recife;0,83%;599.635.173,75
Porto Alegre;1,80%;567.301.131,30
Curitiba;4,14%;473.673.965,44
São Paulo;1,09%;462.873.125,97
Niterói;1,77%;418.152.980,67
São José dos Campos;0,91%;332.507.526,52
Taubaté;2,05%;324.216.000,00
Florianópolis;1,16%;289.712.542,60
Caucaia;2,05%;286.359.190,24
Belém;0,91%;278.127.373,29
Blumenau;0,91%;269.411.851,13
Teresina;0,79%;248.368.753,93
Joinville;1,10%;224.049.525,92
Campo Grande;1,18%;214.250.055,38
Goiânia;0,91%;213.843.880,39
Canoas;2,73%;165.109.999,92
Camaçari;1,83%;161.389.612,99
São Luís;0,48%;158.490.013,14
Hortolândia;2,19%;152.413.623,98
Caxias do Sul;2,27%;145.955.340,57
Corumbá;2,85%;141.161.116,60
Cascavel;0,91%;136.510.017,61
Vitória;0,91%;125.154.431,70
Aparecida de Goiânia;3,35%;124.688.070,16
Maceió;1,91%;106.225.914,10
Aracaju;0,91%;103.073.604,94
Novo Hamburgo;0,91%;95.846.222,07
Itajaí;0,01%;92.429.357,79
Santos;0,31%;90.769.498,48
Parauapebas;5,03%;83.421.557,73
Palmas;1,90%;80.049.454,55
Santo André;0,70%;79.288.642,58
Sobral;2,16%;77.762.224,14
Toledo;7,97%;70.946.003,35
Alagoinhas;2,14%;59.552.174,98
Paranaguá;0,91%;58.959.403,74
Contagem;2,01%;57.062.486,49
Colatina;0,91%;44.198.747,71
Araguaína;0,39%;42.144.419,28
Chapecó;3,00%;39.857.796,62
Maringá;0,91%;38.494.144,71
São Gonçalo do Amarante;-2,63%;37.846.814,40
Passo Fundo;0,91%;36.945.893,79
Belford Roxo;0,91%;35.570.866,28
Criciúma;2,96%;33.792.145,92
Catanduva;0,91%;33.060.710,79
Jacareí;2,10%;30.800.520,00
Maracanaú;0,91%;29.719.800,00
Ponta Grossa;0,91%;28.287.053,35
Santa Maria;0,62%;27.880.276,61
Pelotas;0,26%;25.597.769,27
Cachoeirinha;2,81%;24.903.142,71
Uberaba;0,07%;21.559.168,45
Guarulhos;-3,08%;18.097.119,70
Sorocaba;1,72%;17.496.646,49
Bagé;0,07%;16.444.924,10
Ponta Porã;4,38%;14.319.540,00
Rio Grande;0,88%;13.923.627,36
Vila Velha;4,15%;11.702.036,16
Betim;0,80%;9.391.708,23
Campinas;2,69%;7.067.347,37
Uruguaiana;1,28%;6.825.987,57
João Pessoa;0,91%;6.428.500,81
Mogi das Cruzes;5,73%;4.593.060,00
Bancos Federais;2,12%;18.979.232.454,84
BNDES;2,17%;17.899.425.000,00
Banco do Brasil;-0,94%;540.360.000,00
Banco do Nordeste;4,03%;465.562.892,09
CAIXA;1,08%;73.884.562,74
Entidades Estaduais Controladas;0,65%;9.872.025.882,01
SABESP-SP;-0,29%;5.786.765.095,97
CELESC-SC;0,91%;990.644.406,33
CEEE-D-RS;2,13%;935.041.115,76
CAESB-DF;0,91%;703.137.450,44
CEEE-GT-RS;2,19%;655.595.784,71
CASAN-SC;-1,79%;257.951.368,54
CAGECE-CE;3,79%;235.617.104,95
COPASA-MG;11,85%;216.737.721,63
SANEAGO-GO;1,64%;90.535.833,69
Estatais Federais;2,13%;2.922.386.893,61
FINEP;0,91%;1.798.426.873,60
ELETROBRÁS;6,21%;675.249.249,65
Furnas Centrais Elétricas;0,91%;448.710.770,37
