Relatório de Custo Médio de Garantias;;
Data de Emissão: 11/05/2021 12:20;;
Tipo de Dívida: Interna - Externa;;
Selecionar mutuário(s) por: Não Informado;;
Credor(es): Não Informado;;
Selecionar operação de crédito por: Não Informado;;
Tipo de Cálculo: Apropriação;;
Posição: Estatístico;;
Data de Referência: 30/04/2021;;
Tipo de Custo Médio: Tipo de Mutuário;;
;;
Agrupador;Custo Médio (% a.a.);Valor Financeiro Principal (R$)
Garantia Total;2,64%;304.795.864.277,74
Estados;2,77%;235.334.698.650,93
São Paulo;2,64%;41.403.820.153,90
Rio de Janeiro;3,93%;38.344.477.059,28
Minas Gerais;3,64%;26.167.380.051,82
Bahia;1,84%;17.160.467.153,99
Ceará;1,83%;14.255.523.467,55
Rio Grande do Sul;1,15%;12.239.808.794,23
Pernambuco;1,18%;11.206.075.349,84
Santa Catarina;2,16%;10.549.128.445,37
Goiás;5,17%;9.198.333.637,49
Amazonas;1,06%;6.884.261.613,75
Espírito Santo;3,81%;5.337.767.859,63
Paraná;2,03%;5.011.803.286,14
Piauí;2,24%;4.918.886.359,01
Maranhão;2,98%;4.869.318.452,30
Pará;2,21%;3.219.789.156,85
Alagoas;1,54%;3.136.355.173,41
Mato Grosso;3,67%;3.026.149.050,43
Acre;1,60%;2.993.978.401,89
Tocantins;2,79%;2.694.325.438,49
Distrito Federal;3,92%;2.683.361.171,06
Mato Grosso do Sul;2,21%;2.286.026.485,68
Rio Grande do Norte;1,66%;1.931.889.873,19
Sergipe;2,45%;1.892.698.529,18
Paraíba;3,21%;1.498.446.459,84
Amapá;5,78%;1.454.617.362,02
Roraima;5,75%;679.387.688,49
Rondônia;5,43%;290.622.176,09
Municípios;1,83%;28.499.957.966,58
Rio de Janeiro;1,21%;7.710.108.498,89
Manaus;1,70%;2.238.527.985,23
Fortaleza;2,21%;2.173.599.819,23
São Bernardo do Campo;1,40%;1.877.785.811,58
Belo Horizonte;1,65%;1.807.784.199,57
São Paulo;2,26%;1.112.715.804,96
Salvador;0,85%;820.931.251,96
Porto Alegre;2,68%;683.767.589,18
Goiânia;2,08%;644.651.214,61
Recife;0,83%;599.635.173,75
Curitiba;3,77%;556.611.508,82
Mauá;8,35%;553.386.364,04
Niterói;1,77%;418.152.980,67
São José dos Campos;0,91%;332.507.526,52
Teresina;1,08%;331.159.478,26
Taubaté;2,05%;324.216.000,00
Florianópolis;1,16%;289.712.542,60
Caucaia;2,05%;286.359.190,24
Belém;0,91%;278.127.373,29
Blumenau;0,91%;269.411.851,13
Joinville;1,27%;253.517.022,02
Campo Grande;1,18%;214.250.055,38
Osasco;1,54%;212.983.576,27
Natal;6%;204.641.028,11
Caxias do Sul;2,17%;167.972.519,69
Ribeirão Preto;6,11%;165.172.571,66
Canoas;2,73%;165.109.999,92
Cascavel;0,91%;164.510.017,61
Camaçari;1,83%;161.389.612,99
São Luís;0,48%;158.490.013,14
Hortolândia;2,19%;152.413.623,98
Corumbá;2,85%;141.161.116,60
Vitória;0,91%;125.154.431,70
Aparecida de Goiânia;3,35%;124.688.070,16
Serra;3,03%;121.532.750,30
Maceió;1,91%;106.225.914,10
Aracaju;0,91%;103.073.604,94
Novo Hamburgo;0,91%;95.846.222,07
Itajaí;0,01%;92.429.357,79
Santos;0,31%;90.769.498,48
Parauapebas;5,03%;83.421.557,73
Santo André;0,68%;82.113.068,58
Linhares;1,69%;81.681.485,60
Palmas;1,90%;80.049.454,55
Sobral;2,16%;77.762.224,14
Paranaguá;0,99%;73.959.403,74
Toledo;7,87%;71.946.003,35
Alagoinhas;2,14%;59.552.174,98
Contagem;2,01%;57.062.486,49
Criciúma;2,65%;53.231.975,19
Maringá;1,03%;47.019.708,32
Ouro Preto;1,35%;45.000.000,00
Colatina;0,91%;44.198.747,71
Sete Lagoas;6%;42.368.878,74
Araguaína;0,39%;42.144.419,28
Muriaé;2,13%;41.543.743,33
Chapecó;3,00%;39.857.796,62
Cariacica;3,09%;38.791.681,13
São Gonçalo do Amarante;-2,63%;37.846.814,40
Passo Fundo;0,91%;36.945.893,79
Belford Roxo;0,91%;35.570.866,28
Jaraguá do Sul;1,61%;35.000.000,00
Rio Branco;3,04%;34.808.454,05
São Caetano do Sul;1,52%;33.305.915,53
Catanduva;0,91%;33.060.710,79
Jacareí;2,10%;30.800.520,00
Maracanaú;0,91%;29.719.800,00
Suzano;0,93%;29.158.894,53
Mogi das Cruzes;1,58%;28.593.060,00
Ponta Porã;4,79%;28.371.893,34
Ponta Grossa;0,91%;28.287.053,35
Santa Maria;0,62%;27.880.276,61
Boa Vista;2,53%;27.778.572,38
Pelotas;0,26%;25.597.769,27
Cachoeirinha;2,81%;24.903.142,71
Itapipoca;1,69%;24.745.871,25
Aracati;1,99%;23.544.000,00
Uberaba;0,07%;21.559.168,45
Piraquara;2,96%;21.470.357,88
Votuporanga;3,25%;18.571.428,56
Camocim;1,96%;18.467.293,52
Guarulhos;-3,08%;18.097.119,70
Sorocaba;1,72%;17.589.130,24
Bagé;0,07%;16.444.924,10
Ituiutaba;2,16%;16.000.000,00
Itatiaia;1,61%;15.010.000,00
Tanguá;1,21%;14.607.778,73
Gurupi;6%;14.246.500,72
Rio Grande;0,88%;13.923.627,36
Aquidauana;5,37%;13.715.707,73
Camboriú;1,34%;13.300.000,00
Pomerode;2,07%;12.908.999,60
Mineiros;6,02%;11.840.755,91
Vila Velha;4,15%;11.702.036,16
Jandira;1,45%;11.438.930,42
Tapejara;4,89%;11.388.022,54
Timbó;4,28%;10.823.989,82
Prudentópolis;6%;10.220.684,81
Panambi;6%;9.607.959,02
Betim;0,80%;9.391.708,23
Costa Rica;6%;8.380.038,84
Araquari;6,02%;7.817.082,26
Ubaíra;2,44%;7.600.000,00
Nova Alvorada do Sul;2,64%;7.366.520,61
Campinas;2,69%;7.067.347,37
Santa Rosa;1,70%;7.000.000,00
Uruguaiana;1,28%;6.825.987,57
João Pessoa;0,91%;6.428.500,81
Castro;5,55%;6.110.725,35
Carandaí;1,57%;5.390.000,00
Jiquiriçá;2,23%;5.225.000,00
Ivinhema;4,90%;5.080.183,90
Água Doce;2,05%;4.953.703,70
Paraíso das Águas;6%;4.808.230,70
Lapão;1,54%;4.627.808,63
Pinhalzinho;1,77%;4.500.000,00
Barrocas;1,42%;4.492.704,37
Schroeder;6%;4.380.237,66
Massaranduba;6%;4.263.957,97
Concórdia;6%;4.153.289,53
Guarda-Mor;1,95%;4.017.500,00
Paranã;0,80%;3.800.000,00
Morro da Fumaça;6%;3.747.029,52
Jaguaré;1,30%;3.552.449,36
Ponte Nova;1,23%;3.417.224,72
Pojuca;0,75%;3.399.000,00
Candeias;1,78%;3.188.187,54
Barracão;2,76%;3.146.598,15
Ponte Serrada;2,11%;2.850.000,00
Viçosa;1,52%;2.707.022,48
São Gabriel do Oeste;4,38%;2.701.424,00
Roca Sales;1,70%;2.348.123,83
Sonora;6%;2.293.574,85
Garça;5,20%;2.255.624,68
Capitólio;1,48%;2.152.260,98
Doutor Pedrinho;2,09%;2.086.802,85
Itá;3,83%;2.085.410,24
