Relatório de Percentual Vincendo Garantias;;;;;;;;;;;;;;
Data de Emissão: 11/05/2021 11:53;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;
Data de Referência: 30/04/2021;;;;;;;;;;;;;;
Data Inicial: 01/05/2021;;;;;;;;;;;;;;
Data Final: 01/01/2100;;;;;;;;;;;;;;
Base de Cálculo: Valor Desembolsado/Tranches Efetivas;;;;;;;;;;;;;;
Cenário: Não Informado;;;;;;;;;;;;;;
Tipo de Cálculo: Valor Corrente;;;;;;;;;;;;;;
Tipo Percentual Vincendo: Tipo de Mutuário;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%)
Garantia Total;32.138.964.540,00;9,05%;31.558.485.070,66;8,88%;29.410.412.071,26;8,28%;27.896.754.138,24;7,85%;26.738.278.040,71;7,53%;207.485.437.247,08;58,41%;355.228.331.107,94;100%
Estados;24.128.758.385,35;8,72%;24.033.139.489,35;8,68%;22.529.203.284,49;8,14%;21.571.222.269,79;7,79%;20.901.372.339,57;7,55%;163.627.318.006,02;59,12%;276.791.013.774,57;100%
Acre;232.688.727,58;6,75%;233.726.761,46;6,78%;217.696.810,41;6,32%;214.087.458,96;6,21%;210.319.263,08;6,10%;2.338.037.779,81;67,84%;3.446.556.801,30;100%
Alagoas;260.450.743,33;7,13%;281.455.157,73;7,71%;277.446.299,89;7,60%;275.999.323,17;7,56%;270.389.761,45;7,40%;2.286.800.465,77;62,61%;3.652.541.751,33;100%
Amapá;184.484.877,10;9,21%;177.773.059,51;8,87%;171.939.774,68;8,58%;166.286.068,88;8,30%;160.416.641,42;8,01%;1.142.474.691,89;57,03%;2.003.375.113,48;100%
Amazonas;696.694.643,27;9,20%;695.478.849,72;9,19%;681.269.534,58;9,00%;667.671.803,65;8,82%;584.396.844,90;7,72%;4.244.477.702,55;56,07%;7.569.989.378,65;100%
Bahia;1.390.311.750,76;7,18%;1.499.783.255,51;7,74%;1.478.681.938,51;7,63%;1.465.495.701,80;7,57%;1.465.270.950,49;7,56%;12.070.599.713,90;62,32%;19.370.143.310,98;100%
Ceará;1.233.775.465,47;7,60%;1.323.471.306,75;8,15%;1.320.224.719,16;8,13%;1.308.275.670,17;8,06%;1.246.881.724,76;7,68%;9.799.858.488,07;60,37%;16.232.487.374,38;100%
Distrito Federal;412.759.698,86;13,24%;385.091.432,79;12,36%;362.573.022,82;11,63%;351.444.545,46;11,28%;228.706.633,15;7,34%;1.375.826.540,39;44,15%;3.116.401.873,47;100%
Espírito Santo;544.748.318,78;7,83%;535.449.556,59;7,70%;529.242.257,61;7,61%;520.798.068,86;7,49%;508.574.924,41;7,31%;4.314.051.768,20;62,05%;6.952.864.894,45;100%
Goiás;1.233.301.006,14;10,24%;1.203.258.528,73;9,99%;1.176.407.098,25;9,76%;1.150.808.725,73;9,55%;1.122.901.744,83;9,32%;6.160.679.240,66;51,14%;12.047.356.344,33;100%
Maranhão;1.028.710.991,32;16,66%;1.071.647.507,60;17,36%;777.234.434,71;12,59%;468.507.801,53;7,59%;450.687.584,13;7,30%;2.377.245.782,29;38,50%;6.174.034.101,59;100%
Mato Grosso;444.091.973,16;12,02%;441.498.226,45;11,95%;356.086.385,66;9,64%;271.162.138,79;7,34%;213.092.146,58;5,77%;1.968.116.580,08;53,28%;3.694.047.450,71;100%
Mato Grosso do Sul;271.357.278,73;10,51%;274.971.242,79;10,65%;211.444.610,61;8,19%;169.995.812,18;6,58%;168.323.491,44;6,52%;1.485.934.051,72;57,55%;2.582.026.487,48;100%
Minas Gerais;2.976.147.317,83;9,77%;2.924.759.044,30;9,60%;2.816.074.168,44;9,25%;2.686.390.991,98;8,82%;2.596.116.079,83;8,52%;16.456.717.162,29;54,03%;30.456.204.764,66;100%
Paraná;439.452.638,75;7,44%;523.086.857,03;8,86%;460.449.923,28;7,80%;461.648.107,74;7,82%;469.353.397,45;7,95%;3.549.606.409,89;60,13%;5.903.597.334,14;100%
Paraíba;212.405.695,91;10,36%;242.897.367,43;11,85%;192.572.411,35;9,39%;156.634.004,36;7,64%;151.788.142,19;7,40%;1.093.989.800,99;53,36%;2.050.287.422,23;100%
Pará;364.632.811,01;9,94%;391.963.796,76;10,69%;406.884.509,63;11,09%;364.476.112,92;9,94%;336.639.966,17;9,18%;1.803.360.459,15;49,17%;3.667.957.655,64;100%
Pernambuco;914.729.466,66;7,35%;935.921.812,48;7,52%;867.337.270,05;6,97%;764.701.218,47;6,15%;756.784.452,48;6,08%;8.204.126.814,53;65,93%;12.443.601.034,66;100%
Piauí;489.271.012,75;8,60%;505.056.654,99;8,88%;488.539.546,19;8,59%;482.389.300,07;8,48%;473.108.848,80;8,32%;3.249.099.776,49;57,13%;5.687.465.139,29;100%
Rio Grande do Norte;162.383.021,43;7,31%;158.804.139,44;7,15%;155.900.081,78;7,02%;142.867.465,59;6,44%;130.232.589,31;5,87%;1.469.802.854,15;66,21%;2.219.990.151,70;100%
Rio Grande do Sul;895.073.834,62;6,82%;905.889.864,44;6,90%;1.074.380.772,19;8,18%;1.146.845.463,61;8,73%;1.256.196.063,73;9,56%;7.855.388.121,84;59,81%;13.133.774.120,43;100%
Rio de Janeiro;3.645.029.118,12;7,61%;3.541.335.558,69;7,40%;3.530.747.590,69;7,38%;3.484.831.629,07;7,28%;3.354.704.030,39;7,01%;30.312.872.899,49;63,32%;47.869.520.826,45;100%
Rondônia;45.791.486,71;12,12%;37.052.151,68;9,81%;35.795.621,06;9,48%;34.570.692,43;9,15%;33.306.368,34;8,82%;191.253.929,56;50,63%;377.770.249,77;100%
Roraima;88.152.555,64;9,54%;85.056.793,16;9,20%;82.235.454,58;8,90%;79.420.675,55;8,59%;76.603.172,04;8,29%;512.686.756,63;55,48%;924.155.407,60;100%
Santa Catarina;1.662.183.546,31;12,65%;1.662.135.516,94;12,65%;973.671.021,75;7,41%;937.757.474,50;7,14%;903.326.069,08;6,88%;6.998.029.337,20;53,27%;13.137.102.965,78;100%
Sergipe;152.103.239,86;6,68%;158.937.830,28;6,98%;150.763.781,66;6,62%;142.984.865,55;6,28%;142.786.663,91;6,27%;1.530.268.945,58;67,18%;2.277.845.326,84;100%
São Paulo;3.856.113.124,85;8,25%;3.550.425.592,71;7,60%;3.473.816.704,97;7,44%;3.420.085.693,94;7,32%;3.360.814.200,63;7,19%;29.058.228.945,42;62,20%;46.719.484.262,52;100%
Tocantins;291.914.040,42;9,48%;286.211.623,38;9,29%;259.787.539,99;8,43%;235.085.454,84;7,63%;229.650.584,59;7,46%;1.777.782.987,49;57,71%;3.080.432.230,70;100%
Municípios;2.839.140.179,74;8,92%;2.890.683.238,48;9,08%;2.917.570.001,46;9,16%;2.798.698.355,50;8,79%;2.563.470.145,99;8,05%;17.832.255.431,74;56,00%;31.841.817.352,91;100%
Abdon Batista;226.258,50;10,14%;272.942,60;12,23%;264.255,13;11,84%;257.034,40;11,52%;248.489,67;11,14%;962.543,48;43,13%;2.231.523,78;100%
Abelardo Luz;44.177,27;9,31%;57.888,03;12,20%;56.045,64;11,81%;54.602,87;11,51%;52.832,01;11,14%;208.885,06;44,03%;474.430,88;100%
Alagoinhas;6.272.477,90;9,61%;6.143.980,57;9,42%;6.032.846,79;9,25%;5.926.736,83;9,08%;5.808.600,09;8,90%;35.062.199,73;53,74%;65.246.841,91;100%
Alto Feliz;182.973,60;5,67%;182.171,99;5,65%;180.978,31;5,61%;179.711,03;5,57%;178.365,58;5,53%;2.322.857,35;71,98%;3.227.057,86;100%
Aparecida de Goiânia;18.538.466,05;13,76%;18.117.764,14;13,44%;17.655.436,95;13,10%;17.788.962,69;13,20%;17.330.080,91;12,86%;45.337.350,99;33,64%;134.768.061,73;100%
Aquidauana;1.509.457,29;5,62%;1.502.243,45;5,60%;1.492.508,06;5,56%;1.482.172,21;5,52%;1.471.198,86;5,48%;19.378.873,65;72,21%;26.836.453,52;100%
Aracaju;9.440.459,24;8,35%;8.810.699,86;7,80%;8.177.265,11;7,24%;7.619.446,91;6,74%;7.478.179,45;6,62%;71.483.678,64;63,25%;113.009.729,21;100%
Aracati;3.283.649,32;11,78%;3.415.353,69;12,25%;3.302.202,07;11,84%;3.206.371,09;11,50%;3.103.247,04;11,13%;11.570.370,49;41,50%;27.881.193,70;100%
Araguaína;842.054,41;1,75%;780.556,12;1,62%;778.417,63;1,62%;4.162.808,92;8,65%;4.093.663,76;8,51%;37.464.157,12;77,85%;48.121.657,96;100%
Araquari;859.365,39;5,60%;854.705,08;5,57%;849.196,54;5,54%;843.348,21;5,50%;837.139,19;5,46%;11.089.366,02;72,32%;15.333.120,43;100%
Bagé;2.303.075,80;14,36%;2.297.562,40;14,32%;2.292.117,27;14,29%;2.286.535,66;14,26%;2.281.022,32;14,22%;4.579.533,32;28,55%;16.039.846,77;100%
Balneário Camboriú;108.611,11;100%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;108.611,11;100%
Barracão;488.340,65;13,32%;475.086,09;12,96%;459.540,05;12,54%;446.940,34;12,19%;431.703,77;11,78%;1.364.300,14;37,22%;3.665.911,04;100%
Barrocas;730.668,68;14,07%;710.394,23;13,68%;687.763,35;13,25%;666.958,15;12,85%;644.070,53;12,41%;1.752.122,69;33,75%;5.191.977,63;100%
Belford Roxo;3.055.052,05;8,21%;3.023.746,30;8,13%;2.992.143,85;8,04%;2.958.596,67;7,95%;2.926.953,27;7,87%;22.254.191,53;59,81%;37.210.683,66;100%
Belo Horizonte;160.978.031,21;8,27%;157.645.678,30;8,10%;159.313.680,48;8,18%;163.114.208,96;8,38%;160.094.101,76;8,22%;1.145.496.355,27;58,84%;1.946.642.055,99;100%
Belém;22.904.437,89;7,78%;22.347.067,69;7,59%;22.630.990,48;7,69%;22.387.691,68;7,61%;22.145.254,88;7,52%;181.916.642,16;61,81%;294.332.084,78;100%
Betim;9.125.799,66;100%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.125.799,66;100%
Blumenau;19.403.094,22;6,77%;19.203.546,13;6,70%;19.010.554,62;6,63%;18.801.164,51;6,56%;18.607.898,08;6,49%;191.583.447,42;66,84%;286.609.704,98;100%
Boa Vista;4.475.663,68;13,93%;4.352.501,49;13,55%;4.209.253,21;13,11%;4.091.558,05;12,74%;3.951.084,06;12,30%;11.039.044,91;34,37%;32.119.105,40;100%
Bom Jesus;200.238,14;5,74%;198.815,04;5,70%;197.303,79;5,66%;195.699,34;5,61%;193.995,91;5,56%;2.502.733,49;71,74%;3.488.785,71;100%
Caarapó;172.681,93;5,72%;171.869,85;5,69%;170.731,22;5,66%;169.522,31;5,62%;168.238,85;5,57%;2.165.885,34;71,74%;3.018.929,50;100%
Cachoeirinha;3.843.897,69;14,40%;3.756.369,58;14,07%;3.670.040,54;13,75%;3.581.313,45;13,41%;3.493.785,33;13,09%;8.351.797,66;31,28%;26.697.204,25;100%
Camaçari;3.110.361,33;1,52%;2.989.094,42;1,46%;2.989.094,42;1,46%;10.812.995,46;5,29%;18.356.003,55;8,99%;165.996.446,29;81,27%;204.253.995,47;100%
Camboriú;1.603.153,28;10,16%;1.926.127,75;12,21%;1.866.950,80;11,84%;1.814.986,71;11,51%;1.754.433,84;11,12%;6.808.867,80;43,16%;15.774.520,18;100%
Camocim;2.380.861,48;10,91%;2.667.412,65;12,22%;2.581.396,49;11,83%;2.513.593,35;11,51%;2.430.817,32;11,14%;9.254.797,62;42,40%;21.828.878,91;100%
Campinas;6.978.183,64;100%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.978.183,64;100%
Campinas das Missões;88.214,92;5,68%;87.673,82;5,64%;87.099,34;5,61%;86.489,44;5,57%;85.841,91;5,53%;1.117.921,17;71,97%;1.553.240,60;100%
Campo Grande;14.325.380,08;6,22%;19.085.319,71;8,28%;18.812.202,90;8,16%;18.533.953,37;8,04%;18.268.393,34;7,93%;141.387.958,59;61,36%;230.413.207,99;100%
Candeias;470.684,91;12,55%;458.207,76;12,22%;443.380,95;11,82%;431.634,69;11,51%;417.133,20;11,12%;1.529.491,52;40,78%;3.750.533,03;100%
Canoas;33.349.841,02;19,28%;32.425.818,06;18,75%;31.625.286,16;18,29%;30.817.024,97;17,82%;30.022.013,93;17,36%;14.708.460,89;8,50%;172.948.445,04;100%
Capinzal;24.829,51;4,96%;26.927,51;5,38%;26.763,24;5,34%;26.588,85;5,31%;26.403,68;5,27%;369.457,24;73,75%;500.970,03;100%
Capitólio;280.824,76;11,20%;339.619,09;13,55%;328.719,56;13,11%;318.852,80;12,72%;308.466,11;12,30%;930.435,76;37,11%;2.506.918,08;100%
Carandaí;638.789,33;10,08%;771.519,55;12,17%;748.086,71;11,80%;728.182,10;11,49%;704.947,79;11,12%;2.747.757,41;43,34%;6.339.282,89;100%
Cariacica;6.201.875,60;13,80%;6.041.594,86;13,44%;5.845.139,24;13,01%;5.666.825,60;12,61%;5.479.376,64;12,19%;15.709.193,08;34,95%;44.944.005,02;100%
Cascavel;12.525.730,25;6,97%;13.116.913,32;7,30%;12.899.084,58;7,18%;12.678.243,44;7,05%;12.467.356,50;6,94%;116.084.140,72;64,57%;179.771.468,80;100%
Castro;665.322,32;5,47%;661.437,41;5,44%;657.312,84;5,40%;652.933,90;5,37%;648.284,86;5,33%;8.877.770,12;72,99%;12.163.061,45;100%
Catanduva;2.585.965,59;7,41%;2.559.967,72;7,34%;2.533.712,68;7,26%;2.505.600,77;7,18%;2.479.311,63;7,11%;22.212.630,59;63,69%;34.877.188,98;100%
Caucaia;5.443.962,24;1,69%;5.414.132,32;1,68%;18.039.447,56;5,59%;30.234.262,79;9,37%;29.739.357,12;9,22%;233.691.021,25;72,45%;322.562.183,29;100%
Caxias do Sul;18.505.650,91;10,04%;26.107.487,69;14,17%;25.523.114,51;13,85%;24.969.933,74;13,55%;11.911.809,47;6,46%;77.289.181,34;41,93%;184.307.177,65;100%
Chapecó;6.258.083,14;14,51%;6.093.288,37;14,13%;5.940.179,07;13,77%;5.788.957,41;13,42%;5.633.960,47;13,06%;13.415.204,69;31,10%;43.129.673,14;100%
Colatina;3.101.150,94;6,58%;3.070.746,47;6,51%;3.040.024,20;6,45%;3.006.750,12;6,38%;2.975.987,79;6,31%;31.953.731,32;67,77%;47.148.390,85;100%
Concórdia;488.339,31;5,81%;484.768,63;5,76%;480.854,12;5,72%;476.698,22;5,67%;472.285,93;5,61%;6.008.774,62;71,43%;8.411.720,83;100%
Contagem;1.072.545,79;1,65%;1.053.957,89;1,62%;1.056.853,40;1,62%;3.563.770,09;5,47%;5.998.694,41;9,21%;52.372.906,20;80,43%;65.118.727,77;100%
Correia Pinto;39.057,02;4,83%;43.146,42;5,34%;42.886,08;5,30%;42.609,68;5,27%;42.316,15;5,23%;598.429,25;74,02%;808.444,60;100%
Corumbá;4.323.205,35;2,58%;9.694.717,93;5,78%;15.116.638,66;9,01%;14.793.092,13;8,82%;14.450.379,29;8,61%;109.385.984,72;65,20%;167.764.018,08;100%
Costa Rica;920.351,05;5,58%;914.827,96;5,55%;908.964,34;5,52%;902.739,03;5,48%;896.129,74;5,44%;11.937.630,09;72,43%;16.480.642,21;100%
Cotiporã;227.237,82;5,75%;225.820,83;5,72%;224.316,42;5,68%;222.719,26;5,64%;221.023,58;5,60%;2.828.948,33;71,62%;3.950.066,24;100%
Criciúma;3.872.105,84;6,06%;3.753.581,84;5,87%;3.664.167,41;5,73%;5.142.921,28;8,04%;6.538.087,16;10,22%;40.977.777,52;64,08%;63.948.641,03;100%
Crucilândia;67.275,64;9,41%;87.302,97;12,21%;84.607,73;11,84%;82.188,04;11,50%;79.447,67;11,11%;313.960,01;43,92%;714.782,06;100%
Curitiba;74.790.087,86;12,49%;74.702.292,65;12,47%;73.031.837,17;12,19%;44.162.892,41;7,37%;43.731.396,65;7,30%;288.615.919,59;48,18%;599.034.426,33;100%
Doutor Pedrinho;336.333,24;13,93%;327.597,10;13,57%;316.912,44;13,12%;307.376,44;12,73%;296.979,06;12,30%;829.481,07;34,35%;2.414.679,35;100%
Entre Rios;92.127,28;5,74%;91.472,56;5,70%;90.777,22;5,66%;90.039,06;5,61%;89.255,33;5,56%;1.151.479,07;71,74%;1.605.150,52;100%
