"","Inicio","Classificador","UF","Credor","tipo_credor","Projeto","honras","data","Moeda","valor","data_date"
"1","Banco do Brasil","Bancos Federais","0","BNDES","Bancos Federais","Linhas de crédito para empréstimos no âmbito do Programa de Aceleração do Crescimento (PAC), do Programa Minha Cassa Minha Vida (PMCMV) e dos projetos de mobilidade urbana diretamentte associados à Copa de 2014.",NA,"27/06/2014","R$",5e+08,2014-06-27
"2","Banco do Nordeste","Bancos Federais","0","BID","Organismos Multilaterais","Projeto 1",NA,"31/07/2003","USD",1.5e+08,2003-07-31
"3","Banco do Nordeste","Bancos Federais","0","BID","Organismos Multilaterais","A definir",NA,"27/09/2002","USD",2.4e+08,2002-09-27
"4","Banco do Nordeste","Bancos Federais","0","BID","Organismos Multilaterais","A definir",NA,"12/12/1994","USD",4e+08,1994-12-12
"5","BNDES","Bancos Federais","0","BID","Organismos Multilaterais","Programa de Financiamento para Energia Sustentável - Convênio de Linha de Crédito Condicional (CCLIP)",NA,"10/11/2017","USD",7.5e+08,2017-11-10
"6","BNDES","Bancos Federais","0","BID","Organismos Multilaterais","Programa BNDES de Crédito Multissetorial de Apoio às Micro, Pequenas e Médias Empresas - CCLIP II",NA,"13/12/2010","USD",1e+09,2010-12-13
"7","BNDES","Bancos Federais","0","NIB","Organismos Multilaterais","Programa Multissetorial NIB III - Linha de Crédito - Países Nórdicos",NA,"13/10/2010","USD",6e+07,2010-10-13
"8","BNDES","Bancos Federais","0","BID","Organismos Multilaterais","Programa BNDES de Crédito Multisetorial de Apoio às Micro, Pequenas e Médias Empresas - Terceira Etapa do Convênio de Linha de Crédito Condicional(CCLIP).",NA,"19/03/2009","USD",1e+09,2009-03-19
"9","BNDES","Bancos Federais","0","BID","Organismos Multilaterais","Programa BNDES de Crédito Multisetorial de Apoio às Micro, Pequenas e Médias Empresas",NA,"19/10/2007","USD",1e+09,2007-10-19
"10","BNDES","Bancos Federais","0","NIB","Organismos Multilaterais","Programa Multissetorial NIB II",NA,"09/11/2005","USD",6e+07,2005-11-09
"11","BNDES","Bancos Federais","0","BID","Organismos Multilaterais","A definir",NA,"23/09/2005","USD",1e+09,2005-09-23
"12","BNDES","Bancos Federais","0","NIB","Organismos Multilaterais","Projeto de Financiamento à Indústria no Âmbito do Programa Multisselorial",NA,"17/07/2002","USD",1e+08,2002-07-17
"13","BNDES","Bancos Federais","0","JBIC","Agências Governamentais","A definir",NA,"12/07/2002","JPY",4.5e+10,2002-07-12
"14","BNDES","Bancos Federais","0","BID","Organismos Multilaterais","A definir",NA,"09/05/2002","USD",9e+08,2002-05-09
"15","BNDES","Bancos Federais","0","BID","Organismos Multilaterais","A definir.",NA,"14/03/1999","USD",1.1e+09,1999-03-14
