"","data","tipo_divida","Credor","tipo_credor","mutuario","tipo_mutuario","Status","valor","mes","ano","mes_ano","mutuario_cat","estados","credor_cat","qde_credor","data_mes","pos"
"1",2016-04-30,"Externa","Agência Francesa de Desevolvimento","Agências Governamentais","Rio de Janeiro","Estados","Honra de Aval",301626881,"04",2016,"201604","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",14,2016-04-01,1
"2",2016-04-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",814584,"04",2016,"201604","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-04-01,2
"3",2016-04-25,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",796704655,"04",2016,"201604","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-04-01,3
"4",2016-04-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",251708246,"04",2016,"201604","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-04-01,4
"5",2016-04-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",82642,"04",2016,"201604","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-04-01,5
"6",2016-05-23,"Externa","Corporacão Andina de Fomento","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",207600937,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",41,2016-05-01,1
"7",2016-05-25,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",804564388,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-05-01,2
"8",2016-05-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",137076161,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-05-01,3
"9",2016-05-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",965900604,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-05-01,4
"10",2016-05-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",4879131,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-05-01,5
"11",2016-05-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",655810824,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-05-01,6
"12",2016-05-16,"Externa","BID","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",90194802,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",99,2016-05-01,7
"13",2016-05-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",56524341,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-05-01,8
"14",2016-05-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",251847073,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-05-01,9
"15",2016-05-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",83726147,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-05-01,10
"16",2016-05-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",5942929911,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-05-01,11
"17",2016-05-16,"Interna","Banco do Brasil S/A","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",996930578,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Banco do Brasil S/A",111,2016-05-01,12
"18",2016-05-16,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",919571993,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-05-01,13
"19",2016-05-09,"Interna","Banco do Brasil S/A","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",11694777221,"05",2016,"201605","Estado do Rio de Janeiro","Rio de Janeiro","Banco do Brasil S/A",111,2016-05-01,14
"20",2016-06-15,"Externa","BID","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",492384753,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",99,2016-06-01,1
"21",2016-06-27,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",81176915,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-06-01,2
"22",2016-06-15,"Externa","BID","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",678144746,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",99,2016-06-01,3
"23",2016-06-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",55705011,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-06-01,4
"24",2016-06-06,"Externa","Corporacão Andina de Fomento","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",383405,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",41,2016-06-01,5
"25",2016-06-16,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",910437219,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-06-01,6
"26",2016-06-20,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",251843453,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-06-01,7
"27",2016-06-20,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",83697239,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-06-01,8
"28",2016-06-16,"Interna","Banco do Brasil S/A","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",16280880116,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Banco do Brasil S/A",111,2016-06-01,9
"29",2016-06-15,"Interna","Banco do Brasil S/A","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",9873216,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Banco do Brasil S/A",111,2016-06-01,10
"30",2016-06-06,"Externa","Corporacão Andina de Fomento","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",3120498661,"06",2016,"201606","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",41,2016-06-01,11
"31",2016-06-10,"Externa","Fundo Financeiro para Desenvolvimento da Bacia do Prata","Organismos Multilaterais","Chapecó","Municípios","Honra de Aval",226668908,"06",2016,"201606","Demais entes","Demais","Demais credores",6,2016-06-01,12
"32",2016-07-28,"Externa","BID","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",207045606,"07",2016,"201607","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",99,2016-07-01,1
"33",2016-07-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",479215529,"07",2016,"201607","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-07-01,2
"34",2016-07-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",45501377,"07",2016,"201607","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-07-01,3
"35",2016-07-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",555441792,"07",2016,"201607","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-07-01,4
"36",2016-07-25,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",810154131,"07",2016,"201607","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-07-01,5
"37",2016-07-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",83801199,"07",2016,"201607","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-07-01,6
"38",2016-07-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",252240228,"07",2016,"201607","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-07-01,7
"39",2016-07-15,"Interna","Banco do Brasil S/A","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",980729293,"07",2016,"201607","Estado do Rio de Janeiro","Rio de Janeiro","Banco do Brasil S/A",111,2016-07-01,8
"40",2016-07-15,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",906477035,"07",2016,"201607","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-07-01,9
"41",2016-07-25,"Interna","Caixa Econômica Federal","Bancos Federais","Roraima","Estados","Honra de Aval",991394542,"07",2016,"201607","Demais entes","Roraima","Caixa Econômica Federal",377,2016-07-01,10
"42",2016-07-12,"Interna","Caixa Econômica Federal","Bancos Federais","Natal","Municípios","Honra de Aval",217010348,"07",2016,"201607","Demais entes","Demais","Caixa Econômica Federal",377,2016-07-01,11
"43",2016-07-15,"Interna","Caixa Econômica Federal","Bancos Federais","Roraima","Estados","Honra de Aval",284025009,"07",2016,"201607","Demais entes","Roraima","Caixa Econômica Federal",377,2016-07-01,12
"44",2016-08-01,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",3220371511,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-08-01,1
"45",2016-08-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",714413702,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-08-01,2
"46",2016-08-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",30389011,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-08-01,3
"47",2016-08-25,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",816732938,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-08-01,4
"48",2016-08-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",1190689499,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-08-01,5
"49",2016-08-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",561370439,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-08-01,6
"50",2016-08-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",253024724,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-08-01,7
"51",2016-08-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",8403368,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-08-01,8
"52",2016-08-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",5966884472,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-08-01,9
"53",2016-08-15,"Interna","Banco do Brasil S/A","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",993024035,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Banco do Brasil S/A",111,2016-08-01,10
"54",2016-08-15,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",90908054,"08",2016,"201608","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-08-01,11
"55",2016-08-15,"Interna","Caixa Econômica Federal","Bancos Federais","Roraima","Estados","Honra de Aval",289555606,"08",2016,"201608","Demais entes","Roraima","Caixa Econômica Federal",377,2016-08-01,12
"56",2016-08-25,"Interna","Caixa Econômica Federal","Bancos Federais","Roraima","Estados","Honra de Aval",295554786,"08",2016,"201608","Demais entes","Roraima","Caixa Econômica Federal",377,2016-08-01,13
"57",2016-08-12,"Interna","Caixa Econômica Federal","Bancos Federais","Natal","Municípios","Honra de Aval",218369605,"08",2016,"201608","Demais entes","Demais","Caixa Econômica Federal",377,2016-08-01,14
"58",2016-09-20,"Externa","Japan International Cooperation Agency","Agências Governamentais","Rio de Janeiro","Estados","Honra de Aval",1429564,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",12,2016-09-01,1
"59",2016-09-20,"Externa","Japan International Cooperation Agency","Agências Governamentais","Rio de Janeiro","Estados","Honra de Aval",300278711,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",12,2016-09-01,2
"60",2016-09-25,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",819056218,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-09-01,3
"61",2016-09-15,"Interna","Banco do Brasil S/A","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",1002383004,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Banco do Brasil S/A",111,2016-09-01,4
"62",2016-09-15,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",906758406,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-09-01,5
"63",2016-09-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",253157085,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-09-01,6
"64",2016-09-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",84049327,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-09-01,7
"65",2016-09-15,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",559168812,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-09-01,8
"66",2016-09-13,"Externa","Corporacão Andina de Fomento","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",1928559656,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",41,2016-09-01,9
"67",2016-09-13,"Externa","Corporacão Andina de Fomento","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",4754738615,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",41,2016-09-01,10
"68",2016-09-15,"Interna","Credit Suisse","Credores Privados","Rio de Janeiro","Estados","Honra de Aval",7858397029,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Credit Suisse",14,2016-09-01,11
"69",2016-09-09,"Externa","BID","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",569275267,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",99,2016-09-01,12
"70",2016-09-09,"Externa","BID","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",4155236603,"09",2016,"201609","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",99,2016-09-01,13
"71",2016-09-25,"Interna","Caixa Econômica Federal","Bancos Federais","Roraima","Estados","Honra de Aval",3002202,"09",2016,"201609","Demais entes","Roraima","Caixa Econômica Federal",377,2016-09-01,14
"72",2016-09-15,"Interna","Caixa Econômica Federal","Bancos Federais","Roraima","Estados","Honra de Aval",287981972,"09",2016,"201609","Demais entes","Roraima","Caixa Econômica Federal",377,2016-09-01,15
"73",2016-09-12,"Interna","Caixa Econômica Federal","Bancos Federais","Natal","Municípios","Honra de Aval",218401212,"09",2016,"201609","Demais entes","Demais","Caixa Econômica Federal",377,2016-09-01,16
"74",2016-09-12,"Externa","Bank of America","Credores Privados","Mato Grosso","Estados","Honra de Aval",10713409046,"09",2016,"201609","Demais entes","Mato Grosso","Demais credores",2,2016-09-01,17
"75",2016-10-31,"Externa","Agência Francesa de Desevolvimento","Agências Governamentais","Rio de Janeiro","Estados","Honra de Aval",2879193748,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",14,2016-10-01,1
"76",2016-10-03,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",981616447,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-10-01,2
"77",2016-10-17,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",4727053507,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-10-01,3
"78",2016-10-25,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",818612577,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-10-01,4
"79",2016-10-15,"Externa","BID","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",29097036,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",99,2016-10-01,5
"80",2016-10-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",198947296,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-10-01,6
"81",2016-10-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",461453863,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-10-01,7
"82",2016-10-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",974409796,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-10-01,8
"83",2016-10-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",380164114,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-10-01,9
"84",2016-10-17,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",566577255,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-10-01,10
"85",2016-10-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",254109099,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-10-01,11
"86",2016-10-19,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",8433681,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-10-01,12
"87",2016-10-17,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",492689675,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-10-01,13
"88",2016-10-17,"Interna","Banco do Brasil S/A","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",1012640777,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Banco do Brasil S/A",111,2016-10-01,14
"89",2016-10-17,"Interna","Credit Suisse","Credores Privados","Rio de Janeiro","Estados","Honra de Aval",10443286906,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Credit Suisse",14,2016-10-01,15
"90",2016-10-15,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",90807231,"10",2016,"201610","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-10-01,16
"91",2016-10-20,"Externa","Fundo Financeiro para Desenvolvimento da Bacia do Prata","Organismos Multilaterais","Cachoeirinha","Municípios","Honra de Aval",144677051,"10",2016,"201610","Demais entes","Demais","Demais credores",6,2016-10-01,17
"92",2016-10-15,"Externa","BID","Organismos Multilaterais","Belford Roxo","Municípios","Honra de Aval",117027243,"10",2016,"201610","Demais entes","Demais","Demais credores",99,2016-10-01,18
"93",2016-10-12,"Interna","Caixa Econômica Federal","Bancos Federais","Natal","Municípios","Honra de Aval",218890565,"10",2016,"201610","Demais entes","Demais","Caixa Econômica Federal",377,2016-10-01,19
"94",2016-10-15,"Interna","Caixa Econômica Federal","Bancos Federais","Roraima","Estados","Honra de Aval",292777146,"10",2016,"201610","Demais entes","Roraima","Caixa Econômica Federal",377,2016-10-01,20
"95",2016-11-22,"Externa","Corporacão Andina de Fomento","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",2065298883,"11",2016,"201611","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",41,2016-11-01,1
"96",2016-11-01,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",12655627901,"11",2016,"201611","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-11-01,2
"97",2016-11-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",153448106,"11",2016,"201611","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-11-01,3
"98",2016-11-25,"Interna","Caixa Econômica Federal","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",820923928,"11",2016,"201611","Estado do Rio de Janeiro","Rio de Janeiro","Caixa Econômica Federal",377,2016-11-01,4
"99",2016-11-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",4555696288,"11",2016,"201611","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-11-01,5
"100",2016-11-15,"Externa","BID","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",76540957,"11",2016,"201611","Estado do Rio de Janeiro","Rio de Janeiro","Demais credores",99,2016-11-01,6
"101",2016-11-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",909450036,"11",2016,"201611","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-11-01,7
"102",2016-11-15,"Externa","Banco Mundial","Organismos Multilaterais","Rio de Janeiro","Estados","Honra de Aval",12552065,"11",2016,"201611","Estado do Rio de Janeiro","Rio de Janeiro","Banco Mundial",143,2016-11-01,8
"103",2016-11-16,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","Bancos Federais","Rio de Janeiro","Estados","Honra de Aval",548792061,"11",2016,"201611","Estado do Rio de Janeiro","Rio de Janeiro","Banco Nacional de Desenvolvimento Econômico e Social",266,2016-11-01,9
