"","Inicio","Classificador","Periodo","total_total","interna_cambial","interna_total","externa_total","ATM_Total","Custo_Total","Ate_12_meses","Ate_12_meses_percentual","De_1_2_anos","De_1_2_anos_percentual","De_2_3_anos","De_2_3_anos_percentual","De_3_4_anos","De_3_4_anos_percentual","De_4_5_anos","De_4_5_anos_percentual","Acima_5_anos","Acima_5_anos_percentual","interna_demais"
"1",NA,NA,2020-04-30,43918440383.33,14604951110.9,26625060972.57,17293379410.76,7.844602914,NA,9042204772,NA,4159075862,NA,4035714013,NA,4006747901,NA,3937629247,NA,36438956926,NA,12020109861.67
"2",NA,NA,2020-04-30,42805928990.51,7605523519.94,10782776653.75,32023152336.76,8.132678233,NA,4511879009,NA,4401301951,NA,4040810666,NA,3930848200,NA,3844284235,NA,35037501654,NA,3177253133.81
"3",NA,NA,2020-04-30,28289058489.54,10339707369.61,11772602594.44,16516455895.1,7.163270613,NA,3560382512,NA,3443661091,NA,3358542178,NA,3213700343,NA,3083337330,NA,21434873444,NA,1432895224.83
"4",NA,NA,2020-04-30,17425150030.78,1992816092.32,4094877026.69,13330273004.09,8.595879471,NA,1610092374,NA,1600731930,NA,1706728357,NA,1669846726,NA,1646743826,NA,14570880396,NA,2102060934.37
"5",NA,NA,2020-04-30,13733161859.84,131814583.03,3649427870.75,10083733989.09,8.45578951,NA,1197025247,NA,1259752339,NA,1334054151,NA,1329568427,NA,1309976106,NA,11384424945,NA,3517613287.72
"6",NA,NA,2020-04-30,12812307996.18,0,1380853289.28,11431454706.9,8.399141926,NA,960212766.7,NA,1077903587,NA,1081493394,NA,1256575493,NA,1291298319,NA,10367367793,NA,1380853289.28
"7",NA,NA,2020-04-30,11772165246.99,171642109.4,1605039880.5,10167125366.49,9.193294214,NA,1106581069,NA,1074995590,NA,1078601688,NA,957007251.3,NA,891093120.7,NA,10118289580,NA,1433397771.1
"8",NA,NA,2020-04-30,11148399228.51,1706655990.63,7034521121.38,4113878107.13,6.444567513,NA,1781412645,NA,1759660702,NA,1734127987,NA,973484969.2,NA,946627697.6,NA,7617798278,NA,5327865130.75
"9",NA,NA,2020-04-30,9215696003.79,2875729203.27,9163219157.8,52476845.99,6.354870814,NA,1280103016,NA,1242197902,NA,1209627015,NA,1179626756,NA,1151059877,NA,6783276899,NA,6287489954.53
"10",NA,NA,2020-04-30,7015031757.92,0,1898537922.3,5116493835.62,7.286280406,NA,756466948.4,NA,725892746.5,NA,710871401.6,NA,695669336.4,NA,680799287.3,NA,5107303156,NA,1898537922.3
"11",NA,NA,2020-04-30,5407755493.02,0,3845549032.56,1562206460.46,7.934181517,NA,581082438.4,NA,561076108.5,NA,549812667.1,NA,542441923.1,NA,532297450.2,NA,4649953618,NA,3845549032.56
"12",NA,NA,2020-04-30,5143804741.38,0,3247270793.63,1896533947.75,4.937573383,NA,1029839382,NA,1049609816,NA,1095164264,NA,774154715.8,NA,436409496.1,NA,2353054792,NA,3247270793.63
"13",NA,NA,2020-04-30,5025953167.95,965057290.72,1812254669,3213698498.95,6.994441933,NA,562720498.3,NA,549874802.7,NA,561629127.8,NA,539409590.8,NA,528456112.9,NA,3834383919,NA,847197378.28
"14",NA,NA,2020-04-30,3659017939.79,0,925733311.25,2733284628.54,7.174637306,NA,362466452.6,NA,402560299.6,NA,457540946.4,NA,378471908.3,NA,380959163.6,NA,2773587905,NA,925733311.25
