"","Classificador","total_classificador","rank_classificadores","Inicio","valor","rank_geral"
"1","Estados",245296284977.37,1,"Rio de Janeiro",43918440383.33,1
"2","Estados",245296284977.37,1,"Sao Paulo",42805928990.51,2
"3","Estados",245296284977.37,1,"Minas Gerais",28289058489.54,3
"4","Estados",245296284977.37,1,"Bahia",17425150030.78,4
"5","Estados",245296284977.37,1,"Ceara",13733161859.84,6
"6","Estados",245296284977.37,1,"Rio Grande do Sul",12812307996.18,7
"7","Estados",245296284977.37,1,"Pernambuco",11772165246.99,8
"8","Estados",245296284977.37,1,"Santa Catarina",11148399228.51,9
"9","Estados",245296284977.37,1,"Goias",9215696003.79,10
"10","Estados",245296284977.37,1,"Amazonas",7015031757.92,12
"11","Estados",245296284977.37,1,"Espirito Santo",5407755493.02,14
"12","Estados",245296284977.37,1,"Maranhao",5143804741.38,15
"13","Estados",245296284977.37,1,"Piaui",5025953167.95,17
"14","Estados",245296284977.37,1,"Parana",3659017939.79,18
"15","Estados",245296284977.37,1,"Mato Grosso",3197947550.62,20
"16","Estados",245296284977.37,1,"Acre",3100112207.63,22
"17","Estados",245296284977.37,1,"Alagoas",2989938360.83,23
"18","Estados",245296284977.37,1,"Tocantins",2883181471.36,24
"19","Estados",245296284977.37,1,"Para",2813311975.4,25
"20","Estados",245296284977.37,1,"Distrito Federal",2692224463.83,26
"21","Estados",245296284977.37,1,"Mato Grosso do Sul",2431900699.78,27
"22","Estados",245296284977.37,1,"Rio Grande do Norte",1926917939.68,28
"23","Estados",245296284977.37,1,"Sergipe",1921343185.19,29
"24","Estados",245296284977.37,1,"Paraiba",1493039633.56,35
"25","Estados",245296284977.37,1,"Amapa",1451081167.97,36
"26","Estados",245296284977.37,1,"Roraima",696179484.86,40
"27","Estados",245296284977.37,1,"Rondonia",327235507.13,53
"28","Municipios",25316601301.53,2,"Rio de Janeiro",8089556908.69,11
"29","Municipios",25316601301.53,2,"Manaus",1858195060.35,30
"30","Municipios",25316601301.53,2,"Fortaleza",1795419126.39,32
"31","Municipios",25316601301.53,2,"Belo Horizonte",1777054848.04,33
"32","Municipios",25316601301.53,2,"Sao Bernardo do Campo",1761765153.48,34
"33","Municipios",25316601301.53,2,"Sao Paulo",1143871091.43,37
"34","Municipios",25316601301.53,2,"Porto Alegre",669017918.83,41
"35","Municipios",25316601301.53,2,"Salvador",640833072.5,43
"36","Municipios",25316601301.53,2,"Recife",635179632.41,44
"37","Municipios",25316601301.53,2,"Maua",532033333.15,47
"38","Municipios",25316601301.53,2,"Curitiba",489631257.12,49
"39","Municipios",25316601301.53,2,"Niteroi",368086231.31,50
"40","Municipios",25316601301.53,2,"Sao Jose dos Campos",367900507.05,51
"41","Municipios",25316601301.53,2,"Goiania",361290682.97,52
"42","Municipios",25316601301.53,2,"Florianopolis",313678302.97,54
"43","Municipios",25316601301.53,2,"Taubate",292550988.82,55
"44","Municipios",25316601301.53,2,"Blumenau",287489682.55,56
"45","Municipios",25316601301.53,2,"Belem",284963669.06,57
"46","Municipios",25316601301.53,2,"Teresina",282913122.66,58
"47","Municipios",25316601301.53,2,"Campo Grande",217500954.05,62
"48","Municipios",25316601301.53,2,"Natal",202439086.98,63
"49","Municipios",25316601301.53,2,"Canoas",195974999.94,64
"50","Municipios",25316601301.53,2,"Joinville",178628837.65,65
"51","Municipios",25316601301.53,2,"Cascavel",144935519.32,66
"52","Municipios",25316601301.53,2,"Sao Luis",142264980.05,67
"53","Municipios",25316601301.53,2,"Vitoria",136035431.82,68
"54","Municipios",25316601301.53,2,"Aparecida de Goiania",134544375.13,69
"55","Municipios",25316601301.53,2,"Hortolandia",119094831.74,71
"56","Municipios",25316601301.53,2,"Ribeirao Preto",109183119.22,72
"57","Municipios",25316601301.53,2,"Aracaju",107628014.79,73
"58","Municipios",25316601301.53,2,"Caucaia",104658230.09,75
"59","Municipios",25316601301.53,2,"Novo Hamburgo",102095295.86,76
"60","Municipios",25316601301.53,2,"Corumba",101834385.61,77
"61","Municipios",25316601301.53,2,"Caxias do Sul",99915192.57,78
"62","Municipios",25316601301.53,2,"Santos",96090063.01,79
"63","Municipios",25316601301.53,2,"Toledo",72659316.49,80
"64","Municipios",25316601301.53,2,"Camacari",65533830.76,82
"65","Municipios",25316601301.53,2,"Paranagua",63162372.59,83
"66","Municipios",25316601301.53,2,"Alagoinhas",62410500,84
"67","Municipios",25316601301.53,2,"Serra",59303571.42,85
"68","Municipios",25316601301.53,2,"Colatina",47080459.97,86
"69","Municipios",25316601301.53,2,"Itajai",45645303.49,87
"70","Municipios",25316601301.53,2,"Chapeco",45367785.22,88
"71","Municipios",25316601301.53,2,"Sobral",43908869.29,89
"72","Municipios",25316601301.53,2,"Sete Lagoas",41476594.53,90
"73","Municipios",25316601301.53,2,"Maringa",41422330.22,91
"74","Municipios",25316601301.53,2,"Passo Fundo",39756306.46,92
"75","Municipios",25316601301.53,2,"Belford Roxo",38472973.56,93
"76","Municipios",25316601301.53,2,"Rio Branco",37636904.77,94
"77","Municipios",25316601301.53,2,"Catanduva",35493801.08,95
"78","Municipios",25316601301.53,2,"Pelotas",34304361.09,96
"79","Municipios",25316601301.53,2,"Santa Maria",33103928.88,97
"80","Municipios",25316601301.53,2,"Ponta Grossa",30438802.44,98
"81","Municipios",25316601301.53,2,"Uberaba",28893189.91,99
"82","Municipios",25316601301.53,2,"Cachoeirinha",28345782.37,100
"83","Municipios",25316601301.53,2,"Palmas",23257413.93,101
"84","Municipios",25316601301.53,2,"Criciuma",20503409.51,102
"85","Municipios",25316601301.53,2,"Votuporanga",2e+07,103
"86","Municipios",25316601301.53,2,"Bage",18870535.98,104
"87","Municipios",25316601301.53,2,"Betim",18809149.88,105
"88","Municipios",25316601301.53,2,"Maceio",18338576.5,106
