"","Escopo","tipo_divida","valor"
"1","Estados","Divida_Total",921919098240.3
"2","Municípios","Divida_Total",167097329874.16
"3","Total","Divida_Total",1089016428114.46
"4","Estados","Divida_Uniao",542204615704.964
"5","Municípios","Divida_Uniao",98274288603.7157
"6","Total","Divida_Uniao",640478904308.68
"7","Estados","Divida_Garantida",200495472414.37
"8","Municípios","Divida_Garantida",19475684466.16
"9","Total","Divida_Garantida",219971156880.53
"10","Estados","Divida_demais",179219010120.966
"11","Municípios","Divida_demais",49347356804.2843
"12","Total","Divida_demais",228566366925.25
