"","x","y","nome"
"1",2,33,"bolha 1"
"2",2,34,"bolha 2"
"3",2,35,"bolha 3"
"4",2,36,"bolha 4"
"5",2,37,"bolha 5"
"6",2,38,"bolha 6"
"7",3,33,"bolha 7"
"8",3,34,"bolha 8"
"9",3,35,"bolha 9"
"10",3,36,"bolha 10"
"11",3,37,"bolha 11"
"12",3,38,"bolha 12"
"13",3,39,"bolha 13"
"14",4,39,"bolha 14"
"15",5,39,"bolha 15"
"16",6,39,"bolha 16"
"17",7,33,"bolha 17"
"18",7,34,"bolha 18"
"19",7,35,"bolha 19"
"20",7,36,"bolha 20"
"21",7,37,"bolha 21"
"22",7,38,"bolha 22"
"23",8,33,"bolha 23"
"24",8,34,"bolha 24"
"25",8,35,"bolha 25"
"26",8,36,"bolha 26"
"27",8,37,"bolha 27"
"28",8,38,"bolha 28"
"29",10,3,"bolha 29"
"30",10,4,"bolha 30"
"31",10,5,"bolha 31"
"32",10,17,"bolha 32"
"33",10,18,"bolha 33"
"34",10,19,"bolha 34"
"35",10,20,"bolha 35"
"36",10,21,"bolha 36"
"37",10,22,"bolha 37"
"38",10,23,"bolha 38"
"39",10,33,"bolha 39"
"40",10,34,"bolha 40"
"41",10,35,"bolha 41"
"42",10,36,"bolha 42"
"43",10,37,"bolha 43"
"44",10,38,"bolha 44"
"45",10,39,"bolha 45"
"46",11,2,"bolha 46"
"47",11,3,"bolha 47"
"48",11,4,"bolha 48"
"49",11,5,"bolha 49"
"50",11,6,"bolha 50"
"51",11,17,"bolha 51"
"52",11,18,"bolha 52"
"53",11,19,"bolha 53"
"54",11,20,"bolha 54"
"55",11,21,"bolha 55"
"56",11,22,"bolha 56"
"57",11,23,"bolha 57"
"58",11,33,"bolha 58"
"59",11,34,"bolha 59"
"60",11,35,"bolha 60"
"61",11,36,"bolha 61"
"62",11,37,"bolha 62"
"63",11,38,"bolha 63"
"64",11,39,"bolha 64"
"65",12,1,"bolha 65"
"66",12,2,"bolha 66"
"67",12,6,"bolha 67"
"68",12,7,"bolha 68"
"69",12,17,"bolha 69"
"70",12,21,"bolha 70"
"71",12,34,"bolha 71"
"72",12,35,"bolha 72"
"73",12,36,"bolha 73"
"74",13,1,"bolha 74"
"75",13,7,"bolha 75"
"76",13,17,"bolha 76"
"77",13,21,"bolha 77"
"78",13,22,"bolha 78"
"79",13,35,"bolha 79"
"80",13,36,"bolha 80"
"81",13,37,"bolha 81"
"82",14,1,"bolha 82"
"83",14,7,"bolha 83"
"84",14,17,"bolha 84"
"85",14,20,"bolha 85"
"86",14,21,"bolha 86"
"87",14,22,"bolha 87"
"88",14,23,"bolha 88"
"89",14,34,"bolha 89"
"90",14,35,"bolha 90"
"91",14,36,"bolha 91"
"92",15,1,"bolha 92"
"93",15,2,"bolha 93"
"94",15,6,"bolha 94"
"95",15,7,"bolha 95"
"96",15,17,"bolha 96"
"97",15,18,"bolha 97"
"98",15,19,"bolha 98"
"99",15,20,"bolha 99"
"100",15,22,"bolha 100"
"101",15,23,"bolha 101"
"102",15,33,"bolha 102"
"103",15,34,"bolha 103"
"104",15,35,"bolha 104"
"105",15,36,"bolha 105"
"106",15,37,"bolha 106"
"107",15,38,"bolha 107"
"108",15,39,"bolha 108"
"109",16,2,"bolha 109"
"110",16,6,"bolha 110"
"111",16,18,"bolha 111"
"112",16,19,"bolha 112"
"113",16,20,"bolha 113"
"114",16,23,"bolha 114"
"115",16,33,"bolha 115"
"116",16,34,"bolha 116"
"117",16,35,"bolha 117"
"118",16,36,"bolha 118"
"119",16,37,"bolha 119"
"120",16,38,"bolha 120"
"121",16,39,"bolha 121"
"122",18,3,"bolha 122"
"123",18,4,"bolha 123"
"124",18,5,"bolha 124"
"125",18,6,"bolha 125"
"126",18,7,"bolha 126"
"127",19,2,"bolha 127"
"128",19,3,"bolha 128"
"129",19,4,"bolha 129"
"130",19,5,"bolha 130"
"131",19,6,"bolha 131"
"132",19,7,"bolha 132"
"133",19,17,"bolha 133"
"134",19,18,"bolha 134"
"135",19,19,"bolha 135"
"136",19,20,"bolha 136"
"137",19,21,"bolha 137"
"138",19,22,"bolha 138"
"139",19,23,"bolha 139"
"140",20,1,"bolha 140"
"141",20,2,"bolha 141"
"142",20,5,"bolha 142"
"143",20,17,"bolha 143"
"144",20,18,"bolha 144"
"145",20,19,"bolha 145"
"146",20,20,"bolha 146"
"147",20,21,"bolha 147"
"148",20,22,"bolha 148"
"149",20,23,"bolha 149"
"150",21,1,"bolha 150"
"151",21,5,"bolha 151"
"152",21,17,"bolha 152"
"153",21,20,"bolha 153"
"154",21,23,"bolha 154"
"155",22,1,"bolha 155"
"156",22,2,"bolha 156"
"157",22,5,"bolha 157"
"158",22,17,"bolha 158"
"159",22,20,"bolha 159"
"160",22,23,"bolha 160"
"161",23,2,"bolha 161"
"162",23,3,"bolha 162"
"163",23,4,"bolha 163"
"164",23,5,"bolha 164"
"165",23,6,"bolha 165"
"166",23,7,"bolha 166"
"167",23,17,"bolha 167"
"168",23,20,"bolha 168"
"169",23,23,"bolha 169"
"170",24,3,"bolha 170"
