"","Classificador","total_classificador","rank_classificadores","Inicio","valor","rank_geral"
"1","Estados",197632485687.76,1,"Rio de Janeiro",36966246894.27,1
"2","Estados",197632485687.76,1,"São Paulo",32004368863.37,2
"3","Estados",197632485687.76,1,"Minas Gerais",22601367433.58,3
"4","Estados",197632485687.76,1,"Bahia",13424709091.69,4
"5","Estados",197632485687.76,1,"Santa Catarina",10194524410.85,6
"6","Estados",197632485687.76,1,"Rio Grande do Sul",9966568932.39,7
"7","Estados",197632485687.76,1,"Pernambuco",9272819192.7,8
"8","Estados",197632485687.76,1,"Goiás",9027618584.29,9
"9","Estados",197632485687.76,1,"Ceará",8520396955.39,10
"10","Estados",197632485687.76,1,"Amazonas",5330442791.92,14
"11","Estados",197632485687.76,1,"Maranhão",4909209051.33,15
"12","Estados",197632485687.76,1,"Espírito Santo",4843088727.67,16
"13","Estados",197632485687.76,1,"Piauí",3969255331.86,19
"14","Estados",197632485687.76,1,"Mato Grosso",3028279765.37,21
"15","Estados",197632485687.76,1,"Paraná",2882789732.68,22
"16","Estados",197632485687.76,1,"Acre",2486795390.1,23
"17","Estados",197632485687.76,1,"Alagoas",2451224113.94,24
"18","Estados",197632485687.76,1,"Tocantins",2370416240.29,25
"19","Estados",197632485687.76,1,"Distrito Federal",2166904265.98,26
"20","Estados",197632485687.76,1,"Pará",2108076809.89,27
"21","Estados",197632485687.76,1,"Mato Grosso do Sul",2030733816.2,28
"22","Estados",197632485687.76,1,"Sergipe",1574821271.06,29
"23","Estados",197632485687.76,1,"Amapá",1556916490.34,30
"24","Estados",197632485687.76,1,"Rio Grande do Norte",1432745473.46,31
"25","Estados",197632485687.76,1,"Paraíba",1411471388.55,32
"26","Estados",197632485687.76,1,"Roraima",745488477.03,38
"27","Estados",197632485687.76,1,"Rondônia",355206191.56,47
"28","Bancos Federais",18743246087.28,2,"BNDES",12266210472.61,5
"29","Bancos Federais",18743246087.28,2,"CAIXA",5766370005.92,13
"30","Bancos Federais",18743246087.28,2,"Banco do Nordeste",560124793.22,39
"31","Bancos Federais",18743246087.28,2,"Banco do Brasil",150540815.53,60
"32","Municípios",17453188389.88,3,"Rio de Janeiro",6994213939.43,11
"33","Municípios",17453188389.88,3,"Belo Horizonte",1264717255.19,33
"34","Municípios",17453188389.88,3,"Fortaleza",1070315915.53,34
"35","Municípios",17453188389.88,3,"Manaus",1031107701.15,35
"36","Municípios",17453188389.88,3,"São Bernardo do Campo",1019905146.28,36
"37","Municípios",17453188389.88,3,"São Paulo",544742890.67,40
"38","Municípios",17453188389.88,3,"Mauá",531680199.47,42
"39","Municípios",17453188389.88,3,"Porto Alegre",527328439.5,43
"40","Municípios",17453188389.88,3,"Curitiba",421124901.87,44
"41","Municípios",17453188389.88,3,"Recife",381723366,46
"42","Municípios",17453188389.88,3,"Niterói",229650184.9,51
"43","Municípios",17453188389.88,3,"Belém",221035455.74,52
"44","Municípios",17453188389.88,3,"Natal",206278208.23,54
"45","Municípios",17453188389.88,3,"São José dos Campos",194217466.98,55
"46","Municípios",17453188389.88,3,"Goiânia",180153030.82,56
"47","Municípios",17453188389.88,3,"Canoas",164387499.97,57
"48","Municípios",17453188389.88,3,"Blumenau",160442016.79,58
"49","Municípios",17453188389.88,3,"Florianópolis",158400118.61,59
"50","Municípios",17453188389.88,3,"Campo Grande",150503844.88,61
"51","Municípios",17453188389.88,3,"Teresina",149794859.17,62
"52","Municípios",17453188389.88,3,"Salvador",118810749.24,66
"53","Municípios",17453188389.88,3,"Joinville",116388475.65,67
"54","Municípios",17453188389.88,3,"Aparecida de Goiânia",109317687.57,68
"55","Municípios",17453188389.88,3,"Vitória",105227161.19,69
"56","Municípios",17453188389.88,3,"Taubaté",100236564.92,70
"57","Municípios",17453188389.88,3,"Cascavel",92325074.99,71
"58","Municípios",17453188389.88,3,"Ribeirão Preto",89964853.22,72
"59","Municípios",17453188389.88,3,"Aracaju",83133196.42,74
"60","Municípios",17453188389.88,3,"São Luís",81317113.52,75
"61","Municípios",17453188389.88,3,"Caxias do Sul",77764860.17,76
"62","Municípios",17453188389.88,3,"Santos",73437361.36,77
"63","Municípios",17453188389.88,3,"Hortolândia",66703178.85,78
"64","Municípios",17453188389.88,3,"Toledo",57896681.71,79
"65","Municípios",17453188389.88,3,"Novo Hamburgo",51790648.58,80
"66","Municípios",17453188389.88,3,"Paranaguá",49162275.36,81
"67","Municípios",17453188389.88,3,"Sete Lagoas",43052874.24,82
"68","Municípios",17453188389.88,3,"Corumbá",37756887.12,83
"69","Municípios",17453188389.88,3,"Chapecó",36861454.62,84
"70","Municípios",17453188389.88,3,"Colatina",36182168.13,85
"71","Municípios",17453188389.88,3,"Maringá",32120586.09,86
"72","Municípios",17453188389.88,3,"Pelotas",31187355.24,87
"73","Municípios",17453188389.88,3,"Passo Fundo",30828682.46,88
"74","Municípios",17453188389.88,3,"Belford Roxo",29966718.52,89
"75","Municípios",17453188389.88,3,"Alagoinhas",29699232.08,90
"76","Municípios",17453188389.88,3,"Santa Maria",27775469.67,91
"77","Municípios",17453188389.88,3,"Catanduva",27467869.03,92
"78","Municípios",17453188389.88,3,"Uberaba",26268450.44,93
"79","Municípios",17453188389.88,3,"Ponta Grossa",23603504.92,94
"80","Municípios",17453188389.88,3,"Cachoeirinha",23031028.83,95
"81","Municípios",17453188389.88,3,"Itajaí",20704126.95,96
"82","Municípios",17453188389.88,3,"Betim",20490494.76,97
"83","Municípios",17453188389.88,3,"Caucaia",16604702.75,98
"84","Municípios",17453188389.88,3,"Campinas",15480128.08,99
"85","Municípios",17453188389.88,3,"Bagé",15430022.5,100
"86","Municípios",17453188389.88,3,"Rio Branco",14500000,101
"87","Municípios",17453188389.88,3,"Rio Grande",14226326.54,102
"88","Municípios",17453188389.88,3,"Sobral",10221554.26,103
"89","Municípios",17453188389.88,3,"Sorocaba",6941999.96,104
"90","Municípios",17453188389.88,3,"Uruguaiana",6404720.4,105
"91","Municípios",17453188389.88,3,"Santo André",1183708.36,106
"92","Municípios",17453188389.88,3,"Morro Grande",0,117
"93","Municípios",17453188389.88,3,"Garça",0,117
"94","Municípios",17453188389.88,3,"Santa Vitória",0,117
"95","Municípios",17453188389.88,3,"Palmas",0,117
"96","Municípios",17453188389.88,3,"Maracanaú",0,117
"97","Municípios",17453188389.88,3,"Maceió",0,117
"98","Municípios",17453188389.88,3,"Serra",0,117
"99","Municípios",17453188389.88,3,"Massaranduba",0,117
"100","Municípios",17453188389.88,3,"Cotiporã",0,117
"101","Municípios",17453188389.88,3,"Caarapó",0,117
"102","Municípios",17453188389.88,3,"Morro da Fumaça",0,117
"103","Municípios",17453188389.88,3,"Sonora",0,117
"104","Municípios",17453188389.88,3,"Prudentópolis",0,117
"105","Municípios",17453188389.88,3,"João Pessoa",0,117
"106","Municípios",17453188389.88,3,"Jaquirana",0,117
"107","Municípios",17453188389.88,3,"Paraíso das Águas",0,117
"108","Municípios",17453188389.88,3,"Ponta Porã",0,117
"109","Estatais Federais",14326152101.59,4,"FINEP",6250920427.09,12
"110","Estatais Federais",14326152101.59,4,"ELETROBRÁS",4438958297.65,18
"111","Estatais Federais",14326152101.59,4,"ELETRONUCLEAR",3249092409.39,20
"112","Estatais Federais",14326152101.59,4,"Furnas Centrais Elétricas",387180967.46,45
"113","Entidades Estaduais Controladas",7601053540.76,5,"SABESP-SP",4728532121.63,17
"114","Entidades Estaduais Controladas",7601053540.76,5,"CEEE-D-RS",770786142.53,37
"115","Entidades Estaduais Controladas",7601053540.76,5,"CEEE-GT-RS",537089260.82,41
"116","Entidades Estaduais Controladas",7601053540.76,5,"CELESC-SC",315934223.08,48
"117","Entidades Estaduais Controladas",7601053540.76,5,"CAESB-DF",303830120.84,49
"118","Entidades Estaduais Controladas",7601053540.76,5,"COPASA-MG",245551088.18,50
"119","Entidades Estaduais Controladas",7601053540.76,5,"CAGECE-CE",212507385.57,53
"120","Entidades Estaduais Controladas",7601053540.76,5,"DAEE-SP",141751314.69,63
"121","Entidades Estaduais Controladas",7601053540.76,5,"CASAN-SC",130722616.06,64
"122","Entidades Estaduais Controladas",7601053540.76,5,"CESP-SP",127679488.84,65
"123","Entidades Estaduais Controladas",7601053540.76,5,"SANEAGO-GO",86441623.33,73
