"","Classificador","total_classificador","rank_classificadores","Inicio","valor","rank_geral"
"1","Estados",200495472414.37,1,"Rio de Janeiro",36033371146.68,1
"2","Estados",200495472414.37,1,"Sao Paulo",33270233914.18,2
"3","Estados",200495472414.37,1,"Minas Gerais",22215116968.03,3
"4","Estados",200495472414.37,1,"Bahia",13693232436.26,4
"5","Estados",200495472414.37,1,"Ceara",11085176200.4,6
"6","Estados",200495472414.37,1,"Rio Grande do Sul",10044071168.24,7
"7","Estados",200495472414.37,1,"Santa Catarina",9802996633.09,8
"8","Estados",200495472414.37,1,"Pernambuco",9191267123.8,9
"9","Estados",200495472414.37,1,"Goias",8711573922.46,10
"10","Estados",200495472414.37,1,"Amazonas",5780763151.55,12
"11","Estados",200495472414.37,1,"Espirito Santo",4981331057.14,14
"12","Estados",200495472414.37,1,"Maranhao",4852114723.84,15
"13","Estados",200495472414.37,1,"Piaui",4007165534.49,17
"14","Estados",200495472414.37,1,"Parana",3002837878.63,21
"15","Estados",200495472414.37,1,"Mato Grosso",2908190113.17,22
"16","Estados",200495472414.37,1,"Alagoas",2501608043.78,23
"17","Estados",200495472414.37,1,"Acre",2425705474.03,24
"18","Estados",200495472414.37,1,"Tocantins",2349147234.97,25
"19","Estados",200495472414.37,1,"Para",2312352381.13,26
"20","Estados",200495472414.37,1,"Distrito Federal",2243113582.53,27
"21","Estados",200495472414.37,1,"Mato Grosso do Sul",1996465655,28
"22","Estados",200495472414.37,1,"Sergipe",1607520366.76,29
"23","Estados",200495472414.37,1,"Rio Grande do Norte",1556987601.55,30
"24","Estados",200495472414.37,1,"Amapa",1486048645.07,31
"25","Estados",200495472414.37,1,"Paraiba",1393012550.03,34
"26","Estados",200495472414.37,1,"Roraima",712730904,39
"27","Estados",200495472414.37,1,"Rondonia",331338003.56,50
"28","Municipios",19475684466.16,2,"Rio de Janeiro",6710872826.24,11
"29","Municipios",19475684466.16,2,"Manaus",1435125484.98,32
"30","Municipios",19475684466.16,2,"Fortaleza",1410934541.22,33
"31","Municipios",19475684466.16,2,"Belo Horizonte",1356800661.12,35
"32","Municipios",19475684466.16,2,"Sao Bernardo do Campo",1233228943.19,36
"33","Municipios",19475684466.16,2,"Sao Paulo",741531440.4,38
"34","Municipios",19475684466.16,2,"Porto Alegre",547170048.36,40
"35","Municipios",19475684466.16,2,"Maua",531909694.9,41
"36","Municipios",19475684466.16,2,"Recife",435821449.67,45
"37","Municipios",19475684466.16,2,"Curitiba",395175613.38,47
"38","Municipios",19475684466.16,2,"Salvador",332026612.48,49
"39","Municipios",19475684466.16,2,"Goiania",307917537.46,51
"40","Municipios",19475684466.16,2,"Sao Jose dos Campos",285124440.37,52
"41","Municipios",19475684466.16,2,"Niteroi",264987350.32,53
"42","Municipios",19475684466.16,2,"Teresina",223145505.85,54
"43","Municipios",19475684466.16,2,"Belem",211646040.33,55
"44","Municipios",19475684466.16,2,"Natal",201019445.59,58
"45","Municipios",19475684466.16,2,"Florianopolis",192884387.36,59
"46","Municipios",19475684466.16,2,"Blumenau",191691326.11,60
"47","Municipios",19475684466.16,2,"Taubate",188260196.53,61
"48","Municipios",19475684466.16,2,"Campo Grande",165712550.13,62
"49","Municipios",19475684466.16,2,"Canoas",145553055.51,64
"50","Municipios",19475684466.16,2,"Joinville",113349243.87,66
"51","Municipios",19475684466.16,2,"Cascavel",110554737.39,67
"52","Municipios",19475684466.16,2,"Aparecida de Goiania",105805875.08,68
"53","Municipios",19475684466.16,2,"Sao Luis",105661959.66,69
"54","Municipios",19475684466.16,2,"Ribeirao Preto",103822777.8,70
"55","Municipios",19475684466.16,2,"Vitoria",103665448.23,71
